source_bus,model_bus,device_key,base_kv,source_vm_pu,regional_vm_pu,delta_vm_pu,source_va_deg,regional_va_deg,source_va_aligned_deg,regional_va_aligned_deg,delta_va_deg
2,20002,PERFORM2019:BUS:2,69,1.00956364680907,1.04762976369627,0.0380661168872019,0.0848020017169208,-0.779836256642661,0.0848020017169208,-0.779836256642661,-0.864638258359577
3,20003,PERFORM2019:BUS:3,115,1.01663867972829,1.05385384858895,0.037215168860661,5.1714959783491,4.82763881482612,5.1714959783491,4.82763881482612,-0.343857163522983
4,20004,PERFORM2019:BUS:4,115,1.01250606834053,1.04787623727738,0.0353701689368582,16.0734111206851,15.0961175530146,16.0734111206851,15.0961175530146,-0.977293567670529
5,20005,PERFORM2019:BUS:5,115,1.01847535322033,1.05566478770199,0.0371894344816537,8.29504253517196,7.75819456734474,8.29504253517196,7.75819456734474,-0.536847967827214
6,20006,PERFORM2019:BUS:6,115,1.03541833777559,1.06923219063609,0.0338138528604943,5.62815562727469,5.31294834082902,5.62815562727469,5.31294834082902,-0.315207286445656
7,20007,PERFORM2019:BUS:7,115,1.03267872776206,1.0675331194162,0.0348543916541402,4.85456298213884,4.57608628909591,4.85456298213884,4.57608628909591,-0.278476693042933
8,20008,PERFORM2019:BUS:8,115,1.01335272272013,1.04904173866779,0.0356890159476548,5.28133268685064,4.87763099989126,5.28133268685064,4.87763099989126,-0.40370168695938
9,20009,PERFORM2019:BUS:9,115,1.05585832207041,1.08269916387575,0.026840841805337,-7.04913888206375,-6.68557268452393,-7.04913888206375,-6.68557268452393,0.363566197539825
10,20010,PERFORM2019:BUS:10,115,1.00316455948391,1.0392422791769,0.0360777196929907,12.7950535048827,12.019799669177,12.7950535048827,12.019799669177,-0.775253835705712
11,20011,PERFORM2019:BUS:11,115,1.01682515351153,1.05402841143667,0.0372032579251353,5.13422392632202,4.7922862615103,5.13422392632202,4.7922862615103,-0.341937664811724
12,20012,PERFORM2019:BUS:12,115,1.0238847283734,1.0580093553153,0.0341246269418976,4.07602207300051,3.81186801680037,4.07602207300051,3.81186801680037,-0.264154056200141
13,20013,PERFORM2019:BUS:13,115,1.01929021004424,1.05361770353707,0.034327493492829,3.29425893015398,3.03306559387127,3.29425893015398,3.03306559387127,-0.261193336282702
14,20014,PERFORM2019:BUS:14,115,1.0192156085418,1.05214396384725,0.0329283553054451,1.26102048915733,0.287996267273245,1.26102048915733,0.287996267273245,-0.973024221884089
15,20015,PERFORM2019:BUS:15,115,1.02675301736705,1.06236983248185,0.0356168151148006,21.3150778267516,16.2970796087194,21.3150778267516,16.2970796087194,-5.01799821803215
16,20016,PERFORM2019:BUS:16,115,1.00462210387368,1.04867489477614,0.0440527909024659,10.5609028693653,5.53242966571016,10.5609028693653,5.53242966571016,-5.0284732036551
17,20017,PERFORM2019:BUS:17,138,1.06356342351299,1.08105066635441,0.0174872428414146,-25.6195953715976,-24.6592910752914,-25.6195953715976,-24.6592910752914,0.960304296306191
18,20018,PERFORM2019:BUS:18,69,1.06856561610029,1.08140729499174,0.0128416788914527,-16.2827300214403,-15.5537415386619,-16.2827300214403,-15.5537415386619,0.728988482778419
19,20019,PERFORM2019:BUS:19,115,1.03691516002248,1.06456026490053,0.0276451048780522,-15.3977854690383,-14.8327598256552,-15.3977854690383,-14.8327598256552,0.565025643383109
20,20020,PERFORM2019:BUS:20,115,1.0192907216425,1.04879686726743,0.0295061456249319,23.1154624058066,19.1520853983983,23.1154624058066,19.1520853983983,-3.96337700740821
21,20021,PERFORM2019:BUS:21,115,1.01914733777935,1.048934537986,0.0297872002066497,23.1705757896679,19.1732814728208,23.1705757896679,19.1732814728208,-3.9972943168471
22,20022,PERFORM2019:BUS:22,69,1.00557891089221,1.04365261933555,0.0380737084433327,-0.234664825813203,-1.50483305438458,-0.234664825813203,-1.50483305438458,-1.27016822857138
23,20023,PERFORM2019:BUS:23,115,0.999656164788245,1.038431815396,0.0387756506077549,2.6126748839219,0.254802610889412,2.6126748839219,0.254802610889412,-2.35787227303248
25,20025,PERFORM2019:BUS:25,115,1.03140206126846,1.0722093800571,0.0408073187886397,19.0525716247685,13.1845271461658,19.0525716247685,13.1845271461658,-5.86804447860277
26,20026,PERFORM2019:BUS:26,345,1.07531962286332,1.08409041690419,0.00877079404087455,-12.4980239383731,-11.8878716593043,-12.4980239383731,-11.8878716593043,0.610152279068757
28,20028,PERFORM2019:BUS:28,115,1.01903510384638,1.0624385846612,0.0434034808148154,20.1327135830256,10.1175973533564,20.1327135830256,10.1175973533564,-10.0151162296692
31,20031,PERFORM2019:BUS:31,115,1.01431009551866,1.05121904280972,0.0369089472910624,6.4427488756792,5.94168973304328,6.4427488756792,5.94168973304328,-0.50105914263591
