source_branch_row,model_branch_row,device_key,source_from_bus,source_to_bus,model_from_bus,model_to_bus,online,source_device_role,raw_circuit_id,identity_confidence,individual_circuit_identity_resolved,both_terminals_exact,crosses_aggregation_boundary,from_base_kv,to_base_kv,source_p_from_mw,regional_p_from_mw,delta_p_from_mw,source_q_from_mvar,regional_q_from_mvar,delta_q_from_mvar,source_p_to_mw,regional_p_to_mw,delta_p_to_mw,source_q_to_mvar,regional_q_to_mvar,delta_q_to_mvar,source_i_from_ka,regional_i_from_ka,delta_i_from_ka,source_i_to_ka,regional_i_to_ka,delta_i_to_ka
19,35,PERFORM2019:AC:2:777:1,777,2,20777,20002,1,ac_branch_unresolved_line_cable_or_equivalent,1,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,69,69,1.54095347355585,1.54088594764104,-6.7525914811073e-05,-0.182409801879979,-0.196736083052614,-0.0143262811726347,-1.53999999999994,-1.53999999999998,-3.97459842815806e-14,-2.2422255024912e-13,2.07552725006721e-13,4.31775275255841e-13,0.012853930069583,0.0124008529362104,-0.000453077133372592,0.012763720898057,0.0122999451363733,-0.000463775761683674
20,36,PERFORM2019:AC:3:794:1,794,3,20794,20003,1,ac_branch_unresolved_line_cable_or_equivalent,1,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,3.42018564667299,3.42017277419953,-1.28724734578256e-05,-0.114998691149369,-0.123681735632833,-0.00868304448346391,-3.42000000000015,-3.42000000000013,1.59872115546023e-14,-2.24059659714726e-12,-1.7929546736184e-12,4.47641923528863e-13,0.0168984940925433,0.0163031932569724,-0.000595300835570928,0.0168888861936444,0.0162924820979468,-0.000596404095697521
21,37,PERFORM2019:AC:4:193:1,4,193,20004,20193,1,ac_branch_unresolved_line_cable_or_equivalent,1,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,25.0352465710225,25.0348196963641,-0.000426874658380427,-0.0583911291958588,-0.0657301122429468,-0.00733898304708802,-25.0290105294806,-25.0289977306981,1.27987824960485e-05,0.0123860559527147,0.0129146244658331,0.000528568513118444,0.124135772685197,0.119943717508202,-0.0041920551769954,0.124135269771097,0.11994313915216,-0.00419213061893703
22,38,PERFORM2019:AC:4:193:2,4,193,20004,20193,1,ac_branch_unresolved_line_cable_or_equivalent,2,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,24.2345122883785,24.2341030127479,-0.00040927563054538,-0.038068014540996,-0.0453270708639097,-0.00725905632291379,-24.228496914871,-24.2284870626613,9.85220969340617e-06,-0.0108050107770064,-0.0104477977605972,0.000357213016409119,0.120165201049094,0.116107226123376,-0.00405797492571766,0.120164995253847,0.11610695361458,-0.00405804163926615
23,39,PERFORM2019:AC:4:193:3,4,193,20004,20193,1,ac_branch_unresolved_line_cable_or_equivalent,3,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,24.7992067339594,24.7987835584719,-0.000423175487448191,-0.0598807819779346,-0.0671745905733436,-0.00729380859540907,-24.7930277375911,-24.7930148501553,1.28874357834263e-05,0.0136326117652796,0.0141321475712974,0.000499535806017803,0.122965407281794,0.118812876869672,-0.00415253041212203,0.122964879951074,0.11881227324386,-0.00415260670721408
24,40,PERFORM2019:AC:4:449:1,4,449,20004,20449,1,ac_branch_unresolved_line_cable_or_equivalent,1,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,12.8429135154535,12.9255336531512,0.0826201376977149,-1.39738501034883,-1.64132613787475,-0.243941127525913,-12.8325791306134,-12.9157275647114,-0.0831484340980531,0.993363568261107,1.20332245652028,0.209958888259173,0.0640564851110132,0.0624242792165179,-0.00163220589449535,0.0638510913379852,0.0621733950128729,-0.00167769632511235
25,41,PERFORM2019:AC:4:1527:1,4,1527,20004,21527,1,ac_branch_unresolved_line_cable_or_equivalent,1,electrically_identical_parallel_assignment_not_unique_physical_identity,0,1,0,115,115,-80.4809395544004,-80.5216199603717,-0.0406804059713437,0.776862468050403,0.909778955780062,0.132916487729659,80.7937290567661,80.813957909094,0.0202288523279321,0.278583219247182,0.0388230718444511,-0.23976014740273,0.399077430385476,0.385808474240506,-0.0132689561449698,0.399081674297957,0.385816150934106,-0.0132655233638511
26,42,PERFORM2019:AC:4:1527:2,4,1527,20004,21527,1,ac_branch_unresolved_line_cable_or_equivalent,2,electrically_identical_parallel_assignment_not_unique_physical_identity,0,1,0,115,115,-80.4809395544004,-80.5216199603717,-0.0406804059713437,0.776862468050403,0.909778955780062,0.132916487729659,80.7937290567661,80.813957909094,0.0202288523279321,0.278583219247182,0.0388230718444511,-0.23976014740273,0.399077430385476,0.385808474240506,-0.0132689561449698,0.399081674297957,0.385816150934106,-0.0132655233638511
27,43,PERFORM2019:AC:5:990:1,990,5,20990,20005,1,ac_branch_unresolved_line_cable_or_equivalent,1,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,3.42000563794394,3.42000524773722,-3.90206719824704e-07,-0.00309045676675418,-0.00332334818096253,-0.000232891414208347,-3.41999999997933,-3.42000000006551,-8.61795079742933e-11,-1.06732567228818e-10,5.17346721018441e-11,1.58467239330662e-10,0.0168584364525354,0.0162645409009669,-0.0005938955515685,0.0168584295217293,0.0162645331760019,-0.000593896345727374
28,44,PERFORM2019:AC:6:635:1,635,6,20635,20006,1,ac_branch_unresolved_line_cable_or_equivalent,1,unique_RAW_endpoint_and_electrical_parameter_match,1,1,0,115,115,-7.94337848211594,-7.94351859549465,-0.000140113378707341,-0.461673467342254,0.249756131982794,0.711429599325048,7.9455081153996,7.94551667789173,8.56249213221361e-06,0.20576360795556,-0.523815089783943,-0.729578697739503,0.0385922094200171,0.0373236404355059,-0.00126856898451116,0.0385383339580067,0.0373880982535628,-0.00115023570444384
