parent_branch_row,parent_from_bus,parent_to_bus,old_status,new_status,disposition
32,35,73,1,1,incident_branch_preserved
38,39,73,1,1,incident_branch_preserved
39,39,73,1,1,incident_branch_preserved
88,73,74,1,1,incident_branch_preserved
89,73,74,1,1,incident_branch_preserved
235,73,9002,1,0,exact_duplicate_aggregate_deactivated
236,9002,74,1,1,incident_branch_preserved
246,9001,73,1,1,incident_branch_preserved
254,73,858,1,1,incident_branch_preserved
255,73,858,1,1,incident_branch_preserved
256,73,9002,1,1,source_physical_circuit_retained
257,73,9002,1,1,source_physical_circuit_retained
258,858,9002,1,1,incident_branch_preserved
259,858,9002,1,1,incident_branch_preserved
