parent_branch_row,parent_from_bus,parent_to_bus,parent_status,disposition
1,1,2,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
2,1,4,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
3,2,33,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
4,4,5,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
5,5,6,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
6,5,31,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
7,6,7,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
8,7,8,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
9,7,10,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
10,7,12,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
11,7,15,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
12,8,9,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
13,8,18,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
14,9,30,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
15,12,13,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
16,13,14,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
17,14,15,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
18,16,17,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
19,16,29,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
20,17,18,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
21,17,19,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
22,17,20,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
23,19,20,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
24,29,30,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
25,29,37,1,replaced_downstate_regional_function
26,30,31,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
27,31,32,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
28,32,33,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
29,32,35,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
30,33,34,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
31,34,35,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
32,35,73,1,replaced_downstate_regional_function
33,37,38,1,replaced_downstate_regional_function
34,37,39,1,replaced_downstate_regional_function
35,37,40,1,replaced_downstate_regional_function
36,37,43,1,replaced_downstate_regional_function
37,38,69,1,replaced_downstate_regional_function
38,39,73,1,replaced_downstate_regional_function
39,39,73,1,replaced_downstate_regional_function
40,40,44,1,replaced_downstate_regional_function
41,41,42,1,replaced_downstate_regional_function
42,41,45,1,replaced_downstate_regional_function
43,43,44,1,replaced_downstate_regional_function
44,43,50,1,replaced_downstate_regional_function
45,43,50,1,replaced_downstate_regional_function
46,44,45,1,replaced_downstate_regional_function
47,44,48,1,replaced_downstate_regional_function
48,45,46,1,replaced_downstate_regional_function
49,45,51,1,replaced_downstate_regional_function
50,45,71,1,replaced_downstate_regional_function
51,46,47,1,replaced_downstate_regional_function
52,46,49,1,replaced_downstate_regional_function
53,47,48,1,replaced_downstate_regional_function
54,50,51,1,retained_upstate_NPCC_parameters
55,50,52,1,retained_upstate_NPCC_parameters
56,51,53,1,retained_upstate_NPCC_parameters
57,51,72,1,retained_upstate_NPCC_parameters
58,52,53,1,retained_upstate_NPCC_parameters
59,53,55,1,retained_upstate_NPCC_parameters
60,53,65,1,retained_upstate_NPCC_parameters
61,54,56,1,retained_upstate_NPCC_parameters
62,54,62,1,retained_upstate_NPCC_parameters
63,54,102,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
64,54,103,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
65,55,57,1,retained_upstate_NPCC_parameters
66,55,59,1,retained_upstate_NPCC_parameters
67,56,58,1,retained_upstate_NPCC_parameters
68,57,59,1,retained_upstate_NPCC_parameters
69,58,60,1,retained_upstate_NPCC_parameters
70,58,62,1,retained_upstate_NPCC_parameters
71,59,61,1,retained_upstate_NPCC_parameters
72,60,140,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
73,62,63,1,retained_upstate_NPCC_parameters
74,63,64,1,retained_upstate_NPCC_parameters
75,63,67,1,retained_upstate_NPCC_parameters
76,64,65,1,retained_upstate_NPCC_parameters
77,64,68,1,retained_upstate_NPCC_parameters
78,66,67,1,retained_upstate_NPCC_parameters
79,66,69,1,retained_upstate_NPCC_parameters
80,66,134,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
81,67,68,1,retained_upstate_NPCC_parameters
82,67,70,1,retained_upstate_NPCC_parameters
83,67,138,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
84,68,71,1,retained_upstate_NPCC_parameters
85,69,71,1,retained_upstate_NPCC_parameters
86,70,71,1,retained_upstate_NPCC_parameters
87,71,72,1,retained_upstate_NPCC_parameters
88,73,74,1,replaced_downstate_regional_function
89,73,74,1,replaced_downstate_regional_function
90,74,77,1,replaced_downstate_regional_function
91,74,78,1,replaced_downstate_regional_function
92,74,78,1,replaced_downstate_regional_function
93,75,124,1,replaced_downstate_regional_function
94,76,77,1,replaced_downstate_regional_function
95,78,79,1,replaced_downstate_regional_function
96,78,80,1,replaced_downstate_regional_function
97,78,81,1,replaced_downstate_regional_function
98,78,82,1,replaced_downstate_regional_function
99,81,125,1,replaced_downstate_regional_function
100,83,112,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
101,83,113,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
102,84,116,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
103,85,88,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
104,85,88,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
105,85,105,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
106,85,105,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
107,85,112,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
108,85,112,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
109,87,115,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
110,88,89,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
111,88,105,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
112,88,105,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
113,89,90,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
114,89,105,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
115,89,113,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
116,90,114,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
117,91,92,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
118,91,93,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
119,91,95,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
120,91,98,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
121,91,110,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
122,92,97,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
123,93,94,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
124,93,95,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
125,94,111,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
126,95,96,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
127,96,97,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
128,98,99,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
129,99,100,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
130,101,104,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
131,101,105,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
132,101,107,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
133,101,108,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
134,101,109,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
135,101,110,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
136,104,106,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
137,104,110,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
138,105,106,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
139,105,107,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
140,105,111,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
141,105,112,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
142,105,113,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
143,107,110,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
144,108,110,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
145,108,111,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
146,109,110,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
147,109,111,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
148,112,113,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
149,114,117,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
150,114,119,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
151,114,121,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
152,115,116,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
153,115,117,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
154,115,118,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
155,115,119,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
156,115,121,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
157,115,135,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
158,115,139,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
159,116,117,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
160,116,118,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
161,116,120,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
162,116,121,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
163,116,122,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
164,117,118,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
165,117,119,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
166,117,120,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
167,117,121,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
168,117,122,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
169,118,120,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
170,118,121,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
171,118,122,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
172,118,123,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
