scenario_id,model_gen_row,generator_key,model_bus,zone,online,pmin_mw,pmax_mw,within_zone_capacity_share,raw_prior_mw,bounded_prior_mw,clipped_prior_mw,sigma_before_floor_mw,sigma_mw,observed_generator_dispatch,solved_pg_mw,deviation_from_bounded_prior_mw,deviation_from_raw_source_assignment_mw,electrical_baseline_qualified
V4_2025_JUL25_NIGHT,1,NPCC_S7:GEN_ROW:10:BUS:42,42,F,1,0,568.003995,0.261993979858879,241.970285215992,241.970285215992,0,70.9100251456527,70.9100251456527,0,232.29502442995,-9.67526078604197,-9.67526078604197,1
V4_2025_JUL25_NIGHT,2,NPCC_S7:GEN_ROW:11:BUS:47,47,D,1,0,944.920662,0.959329106258799,293.572830849023,293.572830849023,0,48.9726736624313,48.9726736624313,0,288.705278339764,-4.86755250925972,-4.86755250925972,1
V4_2025_JUL25_NIGHT,3,NPCC_S7:GEN_ROW:12:BUS:48,48,D,1,0,40.0600457,0.0406708937412013,12.4460618685151,12.4460618685151,0,10.0835129966199,10.0835129966199,0,12.239517915976,-0.206543952539132,-0.206543952539132,1
V4_2025_JUL25_NIGHT,4,NPCC_S7:GEN_ROW:13:BUS:50,50,C,1,0,1105.24857748821,0.440127659082592,620.920841395725,620.920841395725,0,140.390643732124,140.390643732124,0,583.115838429131,-37.8050029665943,-37.8050029665943,1
V4_2025_JUL25_NIGHT,5,NPCC_S7:GEN_ROW:14:BUS:51,51,C,1,0,292.878562141814,0.116628927262589,164.537106797413,164.537106797413,0,72.268988290357,72.268988290357,0,154.611285339917,-9.92582145749572,-9.92582145749572,1
V4_2025_JUL25_NIGHT,6,NPCC_S7:GEN_ROW:15:BUS:53,53,B,1,0,288.8,1,204.339472576261,204.339472576261,0,50,50,0,199.407772667175,-4.93169990908663,-4.93169990908663,1
V4_2025_JUL25_NIGHT,7,NPCC_S7:GEN_ROW:16:BUS:54,54,A,1,0,197.192650893643,0.152531444069959,77.67376682555,77.67376682555,0,29.8322448648856,29.8322448648856,0,75.9857467243511,-1.6880201011989,-1.6880201011989,1
V4_2025_JUL25_NIGHT,8,NPCC_S7:GEN_ROW:17:BUS:54,54,A,1,0,197.192650893643,0.152531444069959,77.67376682555,77.67376682555,0,29.8322448648856,29.8322448648856,0,75.9857467243511,-1.6880201011989,-1.6880201011989,1
V4_2025_JUL25_NIGHT,9,NPCC_S7:GEN_ROW:18:BUS:55,55,A,1,0,197.192650893643,0.152531444069959,77.67376682555,77.67376682555,0,29.8322448648856,29.8322448648856,0,75.9858216236482,-1.6879452019018,-1.6879452019018,1
V4_2025_JUL25_NIGHT,10,NPCC_S7:GEN_ROW:19:BUS:56,56,A,1,0,495.093851384339,0.382962446924767,195.016417675383,195.016417675383,0,47.269862479598,47.269862479598,0,190.697783211372,-4.31863446401044,-4.31863446401044,1
