scenario_id,gen_row,generator_key,bus_id,raw_prior_pg_mw,solved_pg_mw,pg_departure_mw,initial_qg_mvar,solved_qg_mvar,qg_departure_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,23,NPCC_S7:GEN_ROW:50:BUS:82,82,92.5496872789565,92.5496872782962,-6.60236310068285e-10,0,0,0,0,900,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,24,NPCC_S7:GEN_ROW:51:BUS:81,81,92.5496872789565,92.5496872782954,-6.61060539641767e-10,0,0,0,0,900,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,25,NPCC_S7:GEN_ROW:52:BUS:43,43,67.1441194139378,67.1441194127764,-1.16138210159988e-09,0,0,0,0,400,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,26,NPCC_S7:GEN_ROW:53:BUS:44,44,33.5720597069689,33.5720597064135,-5.55409940261598e-10,0,0,0,0,200,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,27,NPCC_S7:GEN_ROW:54:BUS:38,38,29.25894180581,29.2589418054286,-3.81387366132913e-10,0,0,0,0,500,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,28,NPCC_S7:GEN_ROW:55:BUS:42,42,29.25894180581,29.2589418054237,-3.86254583872869e-10,0,0,0,0,500,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,29,NPCC_S7:GEN_ROW:56:BUS:41,41,17.555365083486,17.5553650832728,-2.13169926155388e-10,0,0,0,0,300,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,30,NPCC_S7:GEN_ROW:57:BUS:37,37,17.555365083486,17.5553650832758,-2.10185646665195e-10,0,0,0,0,300,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,31,NPCC_S7:GEN_ROW:58:BUS:73,73,109.897767741402,109.897767740648,-7.53246354179282e-10,0,0,0,0,900,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,32,NPCC_S7:GEN_ROW:59:BUS:76,76,85.4760415766456,85.4760415760637,-5.81877657168661e-10,0,0,0,0,700,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,33,NPCC_S7:GEN_ROW:60:BUS:39,39,73.2651784942677,73.2651784937785,-4.89137619297253e-10,0,0,0,0,600,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,34,NPCC_S7:GEN_ROW:61:BUS:80,80,73.3319477458393,73.331947744917,-9.22341314435471e-10,0,0,0,0,1200,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,35,NPCC_S7:GEN_ROW:62:BUS:9003,9003,36.6659738729197,36.6659738724806,-4.39030145571451e-10,0,0,0,0,600,-0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,36,NY2019:INDIAN_POINT:2,74,370.460334431414,367.951577013391,-2.50875741802309,0,-1.43423416740586,-1.43423416740586,0,367.951577018918,-120.939834841615,120.939834841615
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,37,NY2019:INDIAN_POINT:3,74,375.515841480873,372.972848170098,-2.54299331077442,0,-1.45380652177148,-1.45380652177148,0,372.972848174259,-122.590246858168,122.590246858168
