scenario_id,bus_id,bus_name,compact_zone,raw_source_pg_mw,solved_pg_mw,pg_departure_mw,initial_vm_pu,solved_vm_pu,vm_departure_pu
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,37,NEW SEATHED ,F,17.555365083486,17.5553650832758,-2.10185646665195e-10,1.02100313,1.0108118690584,-0.0101912609415993
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,38,GILBOA      ,F,29.25894180581,29.2589418054286,-3.81387366132913e-10,1.0319714,1.01713761548047,-0.0148337845195272
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS       ,G,73.2651784942677,73.2651784937785,-4.89137619297253e-10,0.999498185,1.00829877823318,0.00880059323318338
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,40,NEW SEATHED ,F,0,0,0,1.0474538,1.0050109313697,-0.0424428686303036
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,41,ROTTERDAM   ,F,17.555365083486,17.5553650832728,-2.13169926155388e-10,1.06962395,1.00851023859503,-0.0611137114049656
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,42,ALBANY      ,F,62.4973334761552,62.4973334753083,-8.46931413889251e-10,1.1,1.01584505708259,-0.0841549429174142
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,43,EDIC        ,E,67.1441194139378,67.1441194127764,-1.16138210159988e-09,1.0573451,0.999538865259826,-0.0578062347401743
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,44,PORTER      ,E,33.5720597069689,33.5720597064135,-5.55409940261598e-10,1.06365915,0.996686564240472,-0.0669725857595278
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,45,PORTER      ,E,0,0,0,1.0620279,0.990851807305994,-0.0711760926940062
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,46,COLTON      ,D,0,0,0,1.09322039,0.986359450752851,-0.106860939247149
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,47,MOSES W     ,D,349.629812875887,349.629812874055,-1.83268866749131e-09,1.09999999,0.996575052168014,-0.103424937831986
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,48,MOSES E     ,D,14.8226055849443,14.8226055848739,-7.04094560433077e-11,1.1,0.97858166788004,-0.121418332119961
