experiment,period,interface,hours,observations,wape_pct,mae_benchmark_mw,mae_actual_scale_mw,bias_benchmark_mw,wrong_direction_count,month
reference_NY46__paper_roles,month_01,ALL_SEVEN_POOLED,744,5208,11.8156898339,93.1828323806,259.80665313,41.6032328118,18,1
reference_NY46__paper_roles,month_02,ALL_SEVEN_POOLED,672,4704,9.31342596917,68.7611784161,191.715696692,47.7082468678,57,2
reference_NY46__paper_roles,month_03,ALL_SEVEN_POOLED,744,5208,9.95635829218,81.947598584,228.481263944,10.4279567856,24,3
reference_NY46__paper_roles,month_04,ALL_SEVEN_POOLED,720,5040,13.4314320341,90.7143476432,252.924175516,42.5121956276,73,4
reference_NY46__paper_roles,month_05,ALL_SEVEN_POOLED,744,5208,12.7802533568,89.0246144771,248.212965228,50.366057318,2,5
reference_NY46__paper_roles,month_06,ALL_SEVEN_POOLED,720,5040,11.1515261545,88.923854301,247.93203189,28.9387886882,24,6
reference_NY46__paper_roles,month_07,ALL_SEVEN_POOLED,744,5208,11.2814078694,96.603688231,269.34447342,-4.81729840372,117,7
reference_NY46__paper_roles,month_08,ALL_SEVEN_POOLED,744,5208,10.9283807223,86.7262979404,241.804940144,-0.385586728542,211,8
reference_NY46__paper_roles,month_09,ALL_SEVEN_POOLED,720,5040,9.99706210389,74.4230892113,207.50188881,27.9661078242,113,9
reference_NY46__paper_roles,month_10,ALL_SEVEN_POOLED,744,5208,13.1997624374,82.5968754994,230.291537983,22.5997031007,179,10
reference_NY46__paper_roles,month_11,ALL_SEVEN_POOLED,720,5040,11.2446142348,70.363343561,196.182755198,54.6590249211,191,11
reference_NY46__paper_roles,month_12,ALL_SEVEN_POOLED,744,5208,10.0259477619,71.2288700167,198.595962931,38.1458606688,83,12
compact51__paper_roles,month_01,ALL_SEVEN_POOLED,744,5208,17.7681392245,140.126015691,390.690755187,74.8679868415,18,1
compact51__paper_roles,month_02,ALL_SEVEN_POOLED,672,4704,15.5728139596,114.974343776,320.564407512,79.5485239927,57,2
compact51__paper_roles,month_03,ALL_SEVEN_POOLED,744,5208,14.5949613129,120.126455469,334.929209067,57.3469311918,24,3
compact51__paper_roles,month_04,ALL_SEVEN_POOLED,720,5040,20.18213695,136.307832465,380.045131099,77.6347192755,73,4
compact51__paper_roles,month_05,ALL_SEVEN_POOLED,744,5208,19.201937493,133.756744472,372.932344157,92.9361863759,2,5
compact51__paper_roles,month_06,ALL_SEVEN_POOLED,720,5040,16.7887401493,133.875799801,373.264286917,75.7915788621,24,6
compact51__paper_roles,month_07,ALL_SEVEN_POOLED,744,5208,16.4571303017,140.923854829,392.915241294,30.3965857992,117,7
compact51__paper_roles,month_08,ALL_SEVEN_POOLED,744,5208,16.7386813934,132.836136162,370.365560578,39.9561224936,211,8
compact51__paper_roles,month_09,ALL_SEVEN_POOLED,720,5040,15.5952461839,116.098748408,323.699403482,66.1565968448,113,9
compact51__paper_roles,month_10,ALL_SEVEN_POOLED,744,5208,20.5832787007,128.798871667,359.109107546,50.3126325795,179,10
compact51__paper_roles,month_11,ALL_SEVEN_POOLED,720,5040,19.2882177922,120.696314418,336.518054807,85.192869576,191,11
compact51__paper_roles,month_12,ALL_SEVEN_POOLED,744,5208,17.3713235841,123.413743914,344.094624916,77.6340396192,83,12
compact51_marcy__paper_roles,month_01,ALL_SEVEN_POOLED,744,5208,12.1175447715,95.5633703301,266.44392291,6.95919742344,18,1
compact51_marcy__paper_roles,month_02,ALL_SEVEN_POOLED,672,4704,10.0252078495,74.0162758453,206.367636755,14.6156757227,57,2
compact51_marcy__paper_roles,month_03,ALL_SEVEN_POOLED,744,5208,9.88380534799,81.3504385208,226.816298913,-18.883506151,24,3
compact51_marcy__paper_roles,month_04,ALL_SEVEN_POOLED,720,5040,15.0625505672,101.730734674,283.639389583,17.6124242069,73,4
compact51_marcy__paper_roles,month_05,ALL_SEVEN_POOLED,744,5208,14.118883912,98.3492394104,274.211312066,27.3412963823,2,5
compact51_marcy__paper_roles,month_06,ALL_SEVEN_POOLED,720,5040,12.3635728672,98.5888870321,274.879482854,-2.55393392542,24,6
compact51_marcy__paper_roles,month_07,ALL_SEVEN_POOLED,744,5208,12.3985527074,106.169897776,296.016391643,-51.8754114568,117,7
compact51_marcy__paper_roles,month_08,ALL_SEVEN_POOLED,744,5208,12.1159336111,96.1505729787,268.081125288,-38.3165756694,211,8
compact51_marcy__paper_roles,month_09,ALL_SEVEN_POOLED,720,5040,10.4784187612,78.0065469389,217.493065672,-5.55808811268,113,9
compact51_marcy__paper_roles,month_10,ALL_SEVEN_POOLED,744,5208,15.101181324,94.4949122857,263.464913778,-8.92627526501,179,10
compact51_marcy__paper_roles,month_11,ALL_SEVEN_POOLED,720,5040,13.4215795599,83.9857369924,234.163876341,26.2329357881,191,11
compact51_marcy__paper_roles,month_12,ALL_SEVEN_POOLED,744,5208,11.76491886,83.5833076466,233.041847543,11.8925926494,83,12
