timestamp,interfaces,imputed_interface_observations,ambiguous_interface_observations,minimum_sample_count,minimum_distinct_timestamp_count,all_exactly_12_unique_samples
2019-01-08 15:00:00,7,0,0,12,12,True
2019-02-01 15:00:00,7,0,0,12,12,True
2019-03-02 08:00:00,7,0,0,12,12,True
2019-03-02 14:00:00,7,0,0,12,12,True
2019-03-02 15:00:00,7,0,0,12,12,True
2019-03-02 16:00:00,7,0,0,12,12,True
2019-03-21 14:00:00,7,0,0,12,12,True
2019-05-21 14:00:00,7,0,0,12,12,True
2019-05-21 16:00:00,7,0,0,12,12,True
2019-05-21 20:00:00,7,0,0,12,12,True
2019-05-30 09:00:00,7,0,0,12,12,True
2019-06-30 01:00:00,7,0,0,12,12,True
2019-07-03 04:00:00,7,0,0,12,12,True
2019-07-22 04:00:00,7,0,0,12,12,True
2019-07-25 03:00:00,7,0,0,12,12,True
2019-09-02 13:00:00,7,0,0,12,12,True
2019-09-06 02:00:00,7,0,0,12,12,True
2019-09-06 03:00:00,7,0,0,12,12,True
2019-09-08 05:00:00,7,0,0,12,12,True
2019-10-10 16:00:00,7,0,0,12,12,True
2019-10-30 12:00:00,7,0,0,12,12,True
