interface,experiment,period,hours,observations,wape_pct,mae_benchmark_mw,mae_actual_scale_mw,bias_benchmark_mw,wrong_direction_count
Dysinger East,reference_NY46__paper_roles,annual,8760,8760,22.4943225404,75.2897116067,209.918152174,18.6236247592,77
West Central,reference_NY46__paper_roles,annual,8760,8760,46.805804317,78.3545957731,218.463474066,30.3542888343,1006
Total East,reference_NY46__paper_roles,annual,8760,8760,7.23527544919,102.76641187,286.527001166,71.8744016045,0
Moses South,reference_NY46__paper_roles,annual,8760,8760,8.99293495462,54.7683265248,152.701686013,37.6401924834,9
Central East,reference_NY46__paper_roles,annual,8760,8760,9.62992882252,75.9644891947,211.799525623,-11.6068616966,0
UpNY-Coned,reference_NY46__paper_roles,annual,8760,8760,9.91202878218,86.4821821135,241.124311381,38.2772323334,0
Dun/SPR-South,reference_NY46__paper_roles,annual,8760,8760,10.8864600387,107.444975786,299.571485878,23.0008608978,0
Dysinger East,compact51__paper_roles,annual,8760,8760,22.4943225404,75.2897116067,209.918152174,18.6236247592,77
West Central,compact51__paper_roles,annual,8760,8760,46.805804317,78.3545957731,218.463474066,30.3542888342,1006
Total East,compact51__paper_roles,annual,8760,8760,7.23527544919,102.76641187,286.527001166,71.8744016045,0
Moses South,compact51__paper_roles,annual,8760,8760,8.99293495462,54.7683265248,152.701686013,37.6401924834,9
Central East,compact51__paper_roles,annual,8760,8760,49.2340601303,388.376726112,1082.84814688,388.376726112,0
UpNY-Coned,compact51__paper_roles,annual,8760,8760,10.5525079437,92.070345415,256.704885264,-54.7347933992,0
Dun/SPR-South,compact51__paper_roles,annual,8760,8760,11.0184840774,108.747999871,303.204497645,-22.317518522,0
Dysinger East,compact51_marcy__paper_roles,annual,8760,8760,22.4943225404,75.2897116067,209.918152174,18.6236247592,77
West Central,compact51_marcy__paper_roles,annual,8760,8760,46.805804317,78.3545957731,218.463474066,30.3542888343,1006
Total East,compact51_marcy__paper_roles,annual,8760,8760,7.23527544919,102.76641187,286.527001166,71.8744016045,0
Moses South,compact51_marcy__paper_roles,annual,8760,8760,8.99293495462,54.7683265248,152.701686013,37.6401924834,9
Central East,compact51_marcy__paper_roles,annual,8760,8760,7.08584423547,55.8957960938,155.845227454,0.298364015786,0
UpNY-Coned,compact51_marcy__paper_roles,annual,8760,8760,18.5881020531,162.180685935,452.182232915,-150.757765779,0
Dun/SPR-South,compact51_marcy__paper_roles,annual,8760,8760,11.0184840774,108.747999871,303.204497645,-22.317518522,0
