interface,jan8_observed_mw,jan8_modeled_mw,jan8_error_pct,jul3_observed_mw,jul3_modeled_mw,jul3_error_pct
Dysinger East,1471.67833333,1467.33403172,0.295193692536,857.38,844.825259764,1.46431456711
West Central,844.62,875.306104639,3.6331255049,497.0375,504.407090638,1.48270314376
Total East,4738.215,4856.35355752,2.49331356886,4110.18,4234.16051339,3.01642539721
Moses South,1996.77083333,2078.00510013,4.06828191994,1935.28,2029.1764686,4.85182860353
Central East,2725.35583333,2772.48434474,1.7292608486,2132.80416667,2042.69611604,4.22486283713
UpNY-Coned,2106.41666667,2153.1527548,2.21874849688,2833.57416667,2939.87602079,3.75151126693
Dun/SPR-South,2422.56083333,2419.48333333,0.127034993617,3468.36166667,3553.32463198,2.44965702763
