branch_row,branch_key,temperature_c,series_phase_current_amp,subconductor_current_amp,from_terminal_current_amp,to_terminal_current_amp,series_loss_mw,total_conductor_joule_mw,heating_identity_error_mw
82,PERFORM2019:AC:651:858:1,64.322710741115,531.252031889344,265.626015944672,532.724704635376,529.878821732677,0.340295258321029,0.340295258321029,5.55111512312578e-17
83,PERFORM2019:AC:651:858:2,64.322710741115,531.252031889344,265.626015944672,532.724823438946,529.878731542449,0.340295258321029,0.340295258321029,5.55111512312578e-17
84,PERFORM2019:AC:651:902:1,64.3160949040955,530.77158297975,265.385791489875,533.748331567304,528.354413499859,0.786098858747168,0.786098858747168,1.11022302462516e-16
85,PERFORM2019:AC:651:902:2,64.3160949040955,530.77158297975,265.385791489875,533.74844963051,528.354363247364,0.786098858747168,0.786098858747168,1.11022302462516e-16
86,PERFORM2019:AC:858:902:1,64.2846919468527,528.485171497742,264.242585748871,529.878866828384,527.283035839888,0.452161577371931,0.452161577371931,0
87,PERFORM2019:AC:858:902:2,64.2846919468527,528.485171497742,264.242585748871,529.878686447928,527.283136975638,0.452161577371931,0.452161577371931,0
88,PERFORM2019:AC:897:902:1,74.9999999874761,1054.98825227111,527.494126135556,1055.638038944,1054.07492257745,1.47047083809706,1.47047083809706,0
89,PERFORM2019:AC:897:902:2,74.9999999874761,1054.98825227111,527.494126135556,1055.63687951342,1054.07623168057,1.47047083809706,1.47047083809706,0
90,PERFORM2019:AC:774:1519:1,61.588454622937,268.364775078962,134.182387539481,269.422763426902,267.436130772504,0.0442415980865416,0.0442415980865416,0
91,PERFORM2019:AC:774:900:1,61.5724565391206,266.071468382986,133.035734191493,267.436130772502,265.221783093934,0.0845566863224036,0.0845566863224036,0
92,PERFORM2019:AC:900:1519:1,61.5609998243729,264.417006661115,132.208503330557,267.143935825368,262.884343052129,0.128836421088198,0.128836421088198,0
93,NY2025:CEEC:351,61.8675839934347,305.634831354953,152.817415677477,319.078902238956,302.035058726094,0.557819698164575,0.557819698164575,1.11022302462516e-16
94,NY2025:CEEC:352,61.8675839934347,305.634831354953,152.817415677477,319.078902238956,302.035058726094,0.557819698164575,0.557819698164575,1.11022302462516e-16
95,NY2025:CEEC:361,63.1798467615588,440.676325372018,220.338162686009,442.242156312339,439.855994751371,0.45205040392153,0.45205040392153,0
96,NY2025:CEEC:362,63.1798467615588,440.676325372018,220.338162686009,442.242156312339,439.855994751371,0.45205040392153,0.45205040392153,0
97,NY2025:CEEC:14,61.5593193454096,264.173581010963,132.086790505481,279.003026970556,263.433281555894,0.447365749530587,0.447365749530587,1.11022302462516e-16
98,NY2025:CEEC:371,61.8222864024869,299.899131567946,149.949565783973,298.141207711615,301.704902179828,0.04007429871025,0.04007429871025,0
102,NY2025:NYES:1,61.5424296864246,261.71319585366,130.85659792683,263.874853107,260.939418496671,0.134152901487689,0.134152901487689,0
103,NY2025:NYES:2,61.5496850083241,262.773048057733,131.386524028867,260.939418496671,267.488750944279,0.196720056593082,0.196720056593082,5.55111512312578e-17
104,NY2025:SMART_PATH:1,75.0000000029646,482.618671746844,482.618671746844,477.521443119241,483.486511811817,4.27309945464139,4.27309945464139,0
105,NY2025:SMART_PATH:2,74.9919729571502,482.483936259073,482.483936259073,477.384525504876,483.356681809504,4.27374095535216,4.27374095535216,8.88178419700125e-16
106,NY2025:SMART_PATH:3,74.7049156263977,477.641268537739,477.641268537739,477.45298427498,476.329712735836,2.94791706222124,2.94791706222124,8.88178419700125e-16
107,NY2025:SMART_PATH:4,74.7049156263977,477.641268537739,477.641268537739,477.45298427498,476.329712735836,2.94791706222124,2.94791706222124,8.88178419700125e-16
