branch_key,temperature_c,independent_PF_equilibrium_c,heat_residual_w_m,temperature_limit_c,passed
PERFORM2019:AC:651:858:1,64.322710741115,64.3201027229721,-0.0036601183845999,75,1
PERFORM2019:AC:651:858:2,64.322710741115,64.3201027229721,-0.0036601183845999,75,1
PERFORM2019:AC:651:902:1,64.3160949040955,64.3134854157502,-0.00366204616558363,75,1
PERFORM2019:AC:651:902:2,64.3160949040955,64.3134854157502,-0.00366204616558363,75,1
PERFORM2019:AC:858:902:1,64.2846919468527,64.2820750121359,-0.00367185064645881,75,1
PERFORM2019:AC:858:902:2,64.2846919468527,64.2820750121359,-0.00367185064645881,75,1
PERFORM2019:AC:897:902:1,74.9999999874761,74.999999986097,-2.03687378075301e-09,75,1
PERFORM2019:AC:897:902:2,74.9999999874761,74.999999986097,-2.03687378075301e-09,75,1
PERFORM2019:AC:774:1519:1,61.588454622937,61.5851790386671,-0.00452360801229013,75,1
PERFORM2019:AC:774:900:1,61.5724565391206,61.5691770451602,-0.00452855781522565,75,1
PERFORM2019:AC:900:1519:1,61.5609998243729,61.5577175588757,-0.00453206261735772,75,1
NY2025:CEEC:351,61.8675839934347,61.8643772873462,-0.00443611692980994,75,1
NY2025:CEEC:352,61.8675839934347,61.8643772873462,-0.00443611692980994,75,1
NY2025:CEEC:361,63.1798467615588,63.1769607615407,-0.00402389995500663,75,1
NY2025:CEEC:362,63.1798467615588,63.1769607615407,-0.00402389995500663,75,1
NY2025:CEEC:14,61.5593193454096,61.5560374938089,-0.00453144384078641,75,1
NY2025:CEEC:371,61.8222864024869,61.8190637116337,-0.00445699055592996,75,1
NY2025:NYES:1,61.5424296864246,61.5391429365534,-0.00453773106677602,75,1
NY2025:NYES:2,61.5496850083241,61.5464012655633,-0.00453378378207425,75,1
NY2025:SMART_PATH:1,75.0000000029646,75.000000004673,2.36020980537432e-09,75,1
NY2025:SMART_PATH:2,74.9919729571502,74.9919710211771,-2.67448173474349e-06,75,1
NY2025:SMART_PATH:3,74.7049156263977,74.704844594354,-9.80109496602211e-05,75,1
NY2025:SMART_PATH:4,74.7049156263977,74.704844594354,-9.80109496602211e-05,75,1
