iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,13.4607059169991,75.0000000024294,19.7042169850149,1.00000000008446,1
2,6.73042836401976,75.0000000027464,9.58174162544724,1.00000000009548,1
3,3.36525202532977,75.0000000028703,4.71993501229785,1.00000000009979,1
4,1.68264496888311,75.000000002922,2.34172105279392,1.00000000010159,1
5,0.841331970987355,75.0000000029451,1.166231338193,1.00000000010239,1
6,0.420670730794846,75.000000002956,0.581951767229603,1.00000000010277,1
7,0.210337738505139,75.0000000029612,0.290685267459882,1.00000000010295,1
8,0.105170055895492,75.0000000029638,0.145270635521976,1.00000000010304,1
9,0.0525856212844573,75.0000000029651,0.0726177069999832,1.00000000010308,1
10,0.0262931073143591,75.0000000029657,0.0363046529414444,1.00000000010311,1
11,0.013146701983473,75.000000002966,0.0181513783668379,1.00000000010312,1
12,0.00657342515392401,75.0000000029662,0.00907550330404483,1.00000000010312,1
13,0.00328674965869169,75.0000000029662,0.00453773077331476,1.00000000010313,1
