scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,HQ,48,1,185.919702430448,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - HQ_CEDARS,48,1,70.6494869235702,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,ISONE,37,0.4,-178.424907386072,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,ISONE,73,0.6,-267.637361079107,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - NPX_1385,80,1,47.5954438221946,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - NPX_CSC,80,1,122.707003604096,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,ONTARIO,54,1,258.848564905815,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,PJM,66,0.35,94.7394746068881,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,PJM,67,0.15,40.6026319743806,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,PJM,75,0.25,67.6710532906344,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,PJM,81,0.25,67.6710532906344,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - PJM_HTP,81,1,130.143791701313,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - PJM_NEPTUNE,80,1,245.414007208191,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - PJM_VFT,81,1,69.1621293041266,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
