branch_key,project_id,from_bus,to_bus,r_pu,x_pu,b_pu,rate_a_mva,tap,status,electrical_role,parent_row,parameter_template_key,length_miles,parameter_policy,nominal_r_pu,nominal_x_pu,nominal_b_pu,nominal_rate_a_mva,model_branch_row,base_mva,shift_degree,rate_b_mva,rate_c_mva,from_base_kv,to_base_kv,sensitivity_required,parameter_ground_truth_verified,thermal_eligible,dlr_eligible,rating_basis
NY2025:SMART_PATH:1,SMART_PATH,1220,48,0.01156,0.10931,0.41705,575,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1230_1,105.5,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.01156,0.10931,0.41705,575,269,100,0,575,575,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:2,SMART_PATH,1220,48,0.0115685,0.10934,0.41718,575,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1230_2,105.5,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.0115685,0.10934,0.41718,575,270,100,0,575,575,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:3,SMART_PATH,1220,44,0.00815,0.0655,0.2499,453,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1232_1,63.2,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.00815,0.0655,0.2499,453,271,100,0,453,453,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:4,SMART_PATH,1220,44,0.00815,0.0655,0.2499,453,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1232_2,63.2,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.00815,0.0655,0.2499,453,272,100,0,453,453,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
