model_bus,model_bus_name,base_kv,physical_zone,initial_voltage_anchor,reused_parent_bus_id,role,zone_assignment_basis,source_device_identity_verified
1220,ADIRONDACK 345 SPC PROXY,345,E,44,1,replaced_existing_added_zero_injection230_proxy,declared_compact_zone_allocation_not_verified_NYISO_station_zone,0
9120,HAVERSTOCK 230 SPC PROXY,230,D,48,0,new_zero_injection_station_section,declared_compact_zone_allocation_not_verified_NYISO_station_zone,0
9121,HAVERSTOCK 345 SPC PROXY,345,D,48,0,new_zero_injection_station_section,declared_compact_zone_allocation_not_verified_NYISO_station_zone,0
9122,AUSTIN ROAD 345 SPC PROXY,345,E,43,0,new_zero_injection_station_section,declared_compact_zone_allocation_not_verified_NYISO_station_zone,0
9123,WILLIS ANNEX 345 SPC PROXY,345,D,48,0,new_zero_injection_station_section,declared_compact_zone_allocation_not_verified_NYISO_station_zone,0
9124,WILLIS ANNEX 230 SPC PROXY,230,D,48,0,new_zero_injection_station_section,declared_compact_zone_allocation_not_verified_NYISO_station_zone,0
