variant_id,impedance_scale,charging_scale,rating_scale
nominal,1,1,1
impedance_075,0.75,1,1
impedance_125,1.25,1,1
charging_000,1,0,1
charging_150,1,1.5,1
rating_080,1,1,0.8
rating_120,1,1,1.2
