iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,22.1992134681465,74.2010099567618,46.216609913536,0.983309878278804,1
2,11.0996130849966,74.2056369566622,22.7527743131177,0.983407486274647,1
3,5.54980973912625,74.2083257549579,11.2906850304354,0.983464202109863,1
4,2.77490615887358,74.209784002903,5.62431060708379,0.983494959885453,1
5,1.38745362821646,74.2105393484036,2.80694658112742,0.983510891403428,1
6,0.693727061874029,74.2109224096709,1.40217741504784,0.983518970700197,1
7,0.346863647107327,74.2111148170037,0.700765607185918,0.983523028810146,1
8,0.17343187918496,74.2112110277511,0.350302176986156,0.983525058007133,1
9,0.0867159665303348,74.211259032799,0.175130969991317,0.983526070487811,1
10,0.0433579963823618,74.2112829599497,0.0875604697371255,0.983526575137987,1
11,0.0216790045958035,74.2112948797289,0.0437789875494348,0.983526826539254,1
12,0.0108395054288266,74.211300816261,0.0218891850570602,0.983526951747223,1
13,0.00541975424561514,74.2113037725119,0.0109445168633746,0.98352701409779,1
14,0.00270987787168764,74.2113052445593,0.00547224025498227,0.983527045144876,1
