branch_key,temperature_c,independent_PF_equilibrium_c,heat_residual_w_m,temperature_limit_c,passed
PERFORM2019:AC:651:858:1,55.3749851091359,55.3725914908161,-0.00482289455785967,75,1
PERFORM2019:AC:651:858:2,55.3749851091359,55.3725914908161,-0.00482289455785967,75,1
PERFORM2019:AC:651:902:1,55.3701603016125,55.3677659911019,-0.00482430833143077,75,1
PERFORM2019:AC:651:902:2,55.3701603016125,55.3677659911019,-0.00482430833143077,75,1
PERFORM2019:AC:858:902:1,55.3426320894675,55.3402344113927,-0.00483120273720594,75,1
PERFORM2019:AC:858:902:2,55.3426320894675,55.3402344113927,-0.00483120273720594,75,1
PERFORM2019:AC:897:902:1,64.8959197632139,64.8946947689988,-0.00245265927657101,75,1
PERFORM2019:AC:897:902:2,64.8959197632139,64.8946947689988,-0.00245265927657101,75,1
PERFORM2019:AC:774:1519:1,52.8213311993121,52.8186235069665,-0.0054677386581119,75,1
PERFORM2019:AC:774:900:1,52.8106056352367,52.8078966294178,-0.00547044403587371,75,1
PERFORM2019:AC:900:1519:1,52.8034845526457,52.80077468821,-0.00547221312251356,75,1
NY2025:CEEC:351,53.3816326771167,53.3789948123144,-0.00532406448361566,75,1
NY2025:CEEC:352,53.3816326771167,53.3789948123144,-0.00532406448361566,75,1
NY2025:CEEC:361,54.8467891019106,54.8443326347433,-0.00495169436579346,75,1
NY2025:CEEC:362,54.8467891019106,54.8443326347433,-0.00495169436579346,75,1
NY2025:CEEC:14,53.0741166707847,53.0714409609017,-0.0054019268324339,75,1
NY2025:CEEC:371,53.5835861994438,53.5809729247172,-0.00527349446973524,75,1
NY2025:NYES:1,53.0073826210363,53.0046981200107,-0.0054199993113917,75,1
NY2025:NYES:2,53.009721217825,53.0070375057698,-0.00541839500325736,75,1
NY2025:SMART_PATH:1,74.2113840129495,74.2113054254118,-0.000148783559225762,75,1
NY2025:SMART_PATH:2,74.1983787117999,74.1982985595194,-0.000151746542911724,75,1
NY2025:SMART_PATH:3,73.8350574483269,73.8349431139079,-0.000216484690145791,75,1
NY2025:SMART_PATH:4,73.8350574483269,73.8349431139079,-0.000216484690145791,75,1
