Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
04/14/2019 00:00,CENTRAL EAST - VC,23330,1574.87,2185,-9999
04/14/2019 00:00,DYSINGER EAST,23326,354.22,3150,-9999
04/14/2019 00:00,MOSES SOUTH,23319,1463.9,3150,-1600
04/14/2019 00:00,SCH - HQ - NY,23324,812,1500,-1000
04/14/2019 00:00,SCH - HQ_CEDARS,325274,90,199,-100
04/14/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,702,1310,-9999
04/14/2019 00:00,SCH - NE - NY,23318,-599.96,600,-800
04/14/2019 00:00,SCH - NPX_1385,325277,30,100,-100
04/14/2019 00:00,SCH - NPX_CSC,325154,284,330,-330
04/14/2019 00:00,SCH - OH - NY,23317,299.72,2050,-1900
04/14/2019 00:00,SCH - PJ - NY,23316,-35.1,2000,-1300
04/14/2019 00:00,SCH - PJM_HTP,325905,100,660,-660
04/14/2019 00:00,SCH - PJM_NEPTUNE,325305,270,660,-660
04/14/2019 00:00,SCH - PJM_VFT,325658,108,315,-315
04/14/2019 00:00,SPR/DUN-SOUTH,23320,2184.6,4600,-9999
04/14/2019 00:00,TOTAL EAST,23314,2536.36,6800,-9999
04/14/2019 00:00,UPNY CONED,23315,1256.68,5700,-9999
04/14/2019 00:00,WEST CENTRAL,23312,141.21,9999,-9999
04/14/2019 00:05,CENTRAL EAST - VC,23330,1616.62,2185,-9999
04/14/2019 00:05,DYSINGER EAST,23326,230.64,3150,-9999
04/14/2019 00:05,MOSES SOUTH,23319,1514.32,3150,-1600
04/14/2019 00:05,SCH - HQ - NY,23324,689,1500,-1000
04/14/2019 00:05,SCH - HQ_CEDARS,325274,120,199,-100
04/14/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,579,1310,-9999
04/14/2019 00:05,SCH - NE - NY,23318,-599.95,600,-800
04/14/2019 00:05,SCH - NPX_1385,325277,0,100,-100
04/14/2019 00:05,SCH - NPX_CSC,325154,239,330,-330
04/14/2019 00:05,SCH - OH - NY,23317,299.55,2050,-1900
04/14/2019 00:05,SCH - PJ - NY,23316,-107.63,2000,-1300
04/14/2019 00:05,SCH - PJM_HTP,325905,200,660,-660
04/14/2019 00:05,SCH - PJM_NEPTUNE,325305,375,660,-660
04/14/2019 00:05,SCH - PJM_VFT,325658,210,315,-315
04/14/2019 00:05,SPR/DUN-SOUTH,23320,2079.4,4600,-9999
04/14/2019 00:05,TOTAL EAST,23314,2464,6800,-9999
04/14/2019 00:05,UPNY CONED,23315,1130.69,5700,-9999
04/14/2019 00:05,WEST CENTRAL,23312,21.63,9999,-9999
04/14/2019 00:10,CENTRAL EAST - VC,23330,1677.39,2185,-9999
04/14/2019 00:10,DYSINGER EAST,23326,237.6,3150,-9999
04/14/2019 00:10,MOSES SOUTH,23319,1576.87,3150,-1600
04/14/2019 00:10,SCH - HQ - NY,23324,689,1500,-1000
04/14/2019 00:10,SCH - HQ_CEDARS,325274,120,199,-100
04/14/2019 00:10,SCH - HQ_IMPORT_EXPORT,325376,579,1310,-9999
04/14/2019 00:10,SCH - NE - NY,23318,-599.89,600,-800
04/14/2019 00:10,SCH - NPX_1385,325277,0,100,-100
04/14/2019 00:10,SCH - NPX_CSC,325154,239,330,-330
04/14/2019 00:10,SCH - OH - NY,23317,299.43,2050,-1900
04/14/2019 00:10,SCH - PJ - NY,23316,-106.04,2000,-1300
04/14/2019 00:10,SCH - PJM_HTP,325905,200,660,-660
04/14/2019 00:10,SCH - PJM_NEPTUNE,325305,375,660,-660
04/14/2019 00:10,SCH - PJM_VFT,325658,210,315,-315
04/14/2019 00:10,SPR/DUN-SOUTH,23320,2051.31,4600,-9999
04/14/2019 00:10,TOTAL EAST,23314,2461.59,6800,-9999
04/14/2019 00:10,UPNY CONED,23315,1105.12,5700,-9999
04/14/2019 00:10,WEST CENTRAL,23312,34.85,9999,-9999
04/14/2019 00:15,CENTRAL EAST - VC,23330,1799.19,2185,-9999
04/14/2019 00:15,DYSINGER EAST,23326,364.87,3150,-9999
04/14/2019 00:15,MOSES SOUTH,23319,1609.05,3150,-1600
