Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
04/22/2019 00:00,CENTRAL EAST - VC,23330,1777.86,2195,-9999
04/22/2019 00:00,DYSINGER EAST,23326,974.92,3150,-9999
04/22/2019 00:00,MOSES SOUTH,23319,1024.56,3150,-1600
04/22/2019 00:00,SCH - HQ - NY,23324,590,1399,-800
04/22/2019 00:00,SCH - HQ_CEDARS,325274,150,199,-100
04/22/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,480,1310,-9999
04/22/2019 00:00,SCH - NE - NY,23318,-528.99,600,-800
04/22/2019 00:00,SCH - NPX_1385,325277,-58,100,-100
04/22/2019 00:00,SCH - NPX_CSC,325154,75,330,-330
04/22/2019 00:00,SCH - OH - NY,23317,1388.87,2050,-1900
04/22/2019 00:00,SCH - PJ - NY,23316,-98.42,2000,-1300
04/22/2019 00:00,SCH - PJM_HTP,325905,0,660,-660
04/22/2019 00:00,SCH - PJM_NEPTUNE,325305,445,660,-660
04/22/2019 00:00,SCH - PJM_VFT,325658,168,315,-315
04/22/2019 00:00,SPR/DUN-SOUTH,23320,2368.91,4600,-9999
04/22/2019 00:00,TOTAL EAST,23314,3094.85,6800,-9999
04/22/2019 00:00,UPNY CONED,23315,1688.45,5700,-9999
04/22/2019 00:00,WEST CENTRAL,23312,765.62,9999,-9999
04/22/2019 00:05,CENTRAL EAST - VC,23330,1836.29,2195,-9999
04/22/2019 00:05,DYSINGER EAST,23326,1047.77,3150,-9999
04/22/2019 00:05,MOSES SOUTH,23319,974.7,3150,-1600
04/22/2019 00:05,SCH - HQ - NY,23324,536,1399,-800
04/22/2019 00:05,SCH - HQ_CEDARS,325274,150,199,-100
04/22/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,426,1310,-9999
04/22/2019 00:05,SCH - NE - NY,23318,-599.96,600,-800
04/22/2019 00:05,SCH - NPX_1385,325277,-95,100,-100
04/22/2019 00:05,SCH - NPX_CSC,325154,100,330,-330
04/22/2019 00:05,SCH - OH - NY,23317,1354.14,2050,-1900
04/22/2019 00:05,SCH - PJ - NY,23316,-102.56,2000,-1300
04/22/2019 00:05,SCH - PJM_HTP,325905,0,660,-660
04/22/2019 00:05,SCH - PJM_NEPTUNE,325305,520,660,-660
04/22/2019 00:05,SCH - PJM_VFT,325658,104,315,-315
04/22/2019 00:05,SPR/DUN-SOUTH,23320,2415.85,4600,-9999
04/22/2019 00:05,TOTAL EAST,23314,3106.06,6800,-9999
04/22/2019 00:05,UPNY CONED,23315,1687.9,5700,-9999
04/22/2019 00:05,WEST CENTRAL,23312,842.91,9999,-9999
04/22/2019 00:10,CENTRAL EAST - VC,23330,1865.23,2195,-9999
04/22/2019 00:10,DYSINGER EAST,23326,1043.9,3150,-9999
04/22/2019 00:10,MOSES SOUTH,23319,975.05,3150,-1600
04/22/2019 00:10,SCH - HQ - NY,23324,536,1399,-800
04/22/2019 00:10,SCH - HQ_CEDARS,325274,150,199,-100
04/22/2019 00:10,SCH - HQ_IMPORT_EXPORT,325376,426,1310,-9999
04/22/2019 00:10,SCH - NE - NY,23318,-599.96,600,-800
04/22/2019 00:10,SCH - NPX_1385,325277,-95,100,-100
04/22/2019 00:10,SCH - NPX_CSC,325154,100,330,-330
04/22/2019 00:10,SCH - OH - NY,23317,1354.12,2050,-1900
04/22/2019 00:10,SCH - PJ - NY,23316,-101.65,2000,-1300
04/22/2019 00:10,SCH - PJM_HTP,325905,0,660,-660
04/22/2019 00:10,SCH - PJM_NEPTUNE,325305,520,660,-660
04/22/2019 00:10,SCH - PJM_VFT,325658,105,315,-315
04/22/2019 00:10,SPR/DUN-SOUTH,23320,2322.86,4600,-9999
04/22/2019 00:10,TOTAL EAST,23314,3135.4,6800,-9999
04/22/2019 00:10,UPNY CONED,23315,1599.04,5700,-9999
04/22/2019 00:10,WEST CENTRAL,23312,840.75,9999,-9999
04/22/2019 00:15,CENTRAL EAST - VC,23330,1850.5,2195,-9999
04/22/2019 00:15,DYSINGER EAST,23326,1004.88,3150,-9999
04/22/2019 00:15,MOSES SOUTH,23319,998.27,3150,-1600
04/22/2019 00:15,SCH - HQ - NY,23324,536,1399,-800
04/22/2019 00:15,SCH - HQ_CEDARS,325274,150,199,-100
04/22/2019 00:15,SCH - HQ_IMPORT_EXPORT,325376,426,1310,-9999
04/22/2019 00:15,SCH - NE - NY,23318,-598.97,600,-800
04/22/2019 00:15,SCH - NPX_1385,325277,-95,100,-100
04/22/2019 00:15,SCH - NPX_CSC,325154,100,330,-330
04/22/2019 00:15,SCH - OH - NY,23317,1354.06,2050,-1900
04/22/2019 00:15,SCH - PJ - NY,23316,-99.33,2000,-1300
04/22/2019 00:15,SCH - PJM_HTP,325905,0,660,-660
04/22/2019 00:15,SCH - PJM_NEPTUNE,325305,520,660,-660
04/22/2019 00:15,SCH - PJM_VFT,325658,210,315,-315
04/22/2019 00:15,SPR/DUN-SOUTH,23320,2245.63,4600,-9999
04/22/2019 00:15,TOTAL EAST,23314,3129.7,6800,-9999
04/22/2019 00:15,UPNY CONED,23315,1566.38,5700,-9999
04/22/2019 00:15,WEST CENTRAL,23312,805.54,9999,-9999
04/22/2019 00:20,CENTRAL EAST - VC,23330,1828.52,2195,-9999
04/22/2019 00:20,DYSINGER EAST,23326,936.39,3150,-9999
04/22/2019 00:20,MOSES SOUTH,23319,1013.38,3150,-1600
04/22/2019 00:20,SCH - HQ - NY,23324,536,1399,-800
