scenario_id,model_gen_row,generator_key,model_bus,zone,online,pmin_mw,pmax_mw,within_zone_capacity_share,raw_prior_mw,bounded_prior_mw,clipped_prior_mw,sigma_before_floor_mw,sigma_mw,observed_generator_dispatch,solved_pg_mw,deviation_from_bounded_prior_mw,deviation_from_raw_source_assignment_mw,electrical_baseline_qualified
V1_2025_JAN15_EVENING,1,NPCC_S7:GEN_ROW:10:BUS:42,42,F,1,0,568.003995,0.261993979858879,185.208794885496,185.208794885496,0,54.2759219000937,54.2759219000937,0,187.67150462752,2.46270974202375,2.46270974202375,1
V1_2025_JAN15_EVENING,2,NPCC_S7:GEN_ROW:11:BUS:47,47,D,1,0,944.920662,0.959329106258799,431.225610138633,431.225610138633,0,66.040749548065,66.040749548065,0,434.315339209893,3.08972907126025,3.08972907126025,1
V1_2025_JAN15_EVENING,3,NPCC_S7:GEN_ROW:12:BUS:48,48,D,1,0,40.0600457,0.0406708937412013,18.281871001318,18.281871001318,0,13.5978435844578,13.5978435844578,0,18.414889908709,0.133018907391033,0.133018907391033,1
V1_2025_JAN15_EVENING,4,NPCC_S7:GEN_ROW:13:BUS:50,50,C,1,0,1105.24857748821,0.440127659082592,695.174483507096,695.174483507096,0,157.179445009976,157.179445009976,0,715.125740451695,19.9512569445992,19.9512569445992,1
V1_2025_JAN15_EVENING,5,NPCC_S7:GEN_ROW:14:BUS:51,51,C,1,0,292.878562141814,0.116628927262589,184.213494877273,184.213494877273,0,80.9113710781542,80.9113710781542,0,189.491365092426,5.27787021515343,5.27787021515343,1
V1_2025_JAN15_EVENING,6,NPCC_S7:GEN_ROW:15:BUS:53,53,B,1,0,288.8,1,232.362205806193,232.362205806193,0,50,50,0,234.395215784856,2.0330099786629,2.0330099786629,1
V1_2025_JAN15_EVENING,7,NPCC_S7:GEN_ROW:16:BUS:54,54,A,1,0,197.192650893643,0.152531444069959,125.370102165276,125.370102165276,0,48.1510262651506,48.1510262651506,0,127.202408364313,1.83230619903665,1.83230619903665,1
V1_2025_JAN15_EVENING,8,NPCC_S7:GEN_ROW:17:BUS:54,54,A,1,0,197.192650893643,0.152531444069959,125.370102165276,125.370102165276,0,48.1510262651506,48.1510262651506,0,127.202408364313,1.83230619903665,1.83230619903665,1
V1_2025_JAN15_EVENING,9,NPCC_S7:GEN_ROW:18:BUS:55,55,A,1,0,197.192650893643,0.152531444069959,125.370102165276,125.370102165276,0,48.1510262651506,48.1510262651506,0,127.198294247082,1.82819208180557,1.82819208180557,1
V1_2025_JAN15_EVENING,10,NPCC_S7:GEN_ROW:19:BUS:56,56,A,1,0,495.093851384339,0.382962446924767,314.768154128281,314.768154128281,0,76.2963833299813,76.2963833299813,0,319.350969594297,4.58281546601529,4.58281546601529,1
V1_2025_JAN15_EVENING,11,NPCC_S7:GEN_ROW:20:BUS:57,57,A,1,0,14.3166985641929,0.0110741789636393,9.10219500335438,9.10219500335438,0,12.9742309901592,12.9742309901592,0,9.23539422632157,0.133199222967196,0.133199222967196,1
V1_2025_JAN15_EVENING,12,NPCC_S7:GEN_ROW:21:BUS:60,60,A,1,0,59.5351288283759,0.0460513063338303,37.8509297877539,37.8509297877539,0,26.4573799428666,26.4573799428666,0,38.4033478641312,0.5524180763773,0.5524180763773,1
V1_2025_JAN15_EVENING,13,NPCC_S7:GEN_ROW:22:BUS:61,61,A,1,0,132.276368542162,0.102317735567885,84.0979710097156,84.0979710097156,0,39.4367681255156,39.4367681255156,0,85.3202731917745,1.22230218205893,1.22230218205893,1
V1_2025_JAN15_EVENING,14,NPCC_S7:GEN_ROW:23:BUS:65,65,C,1,0,7.481832143219,0.0029793852115399,4.70589051348909,4.70589051348909,0,12.93212068566,12.93212068566,0,4.84280564653375,0.136915133044666,0.136915133044666,1
V1_2025_JAN15_EVENING,15,NPCC_S7:GEN_ROW:24:BUS:68,68,C,1,0,271.054008885173,0.107938041129808,170.48638149574,170.48638149574,0,77.8383616181354,77.8383616181354,0,175.239841406913,4.75345991117311,4.75345991117311,1
V1_2025_JAN15_EVENING,16,NPCC_S7:GEN_ROW:25:BUS:71,71,C,1,0,643.677757785503,0.256322777072914,404.857660012069,404.857660012069,0,119.949935800451,119.949935800451,0,416.277470559894,11.4198105478253,11.4198105478253,1
V1_2025_JAN15_EVENING,17,NPCC_S7:GEN_ROW:26:BUS:72,72,C,1,0,190.859261556085,0.0760032102405563,120.045835187888,120.045835187888,0,65.3164222965643,65.3164222965643,0,123.443062086943,3.39722689905484,3.39722689905484,1
V1_2025_JAN15_EVENING,18,NPCC_S7:GEN_ROW:27:BUS:78,78,I,1,0,565.099092,1,0,0,0,50,50,0,2.17728979234742,2.17728979234742,2.17728979234742,1
V1_2025_JAN15_EVENING,19,NPCC_S7:GEN_ROW:28:BUS:79,79,J,1,0,577.453484,0.144030771991943,178.622064848843,178.622064848843,0,70.5990277554958,70.5990277554958,0,182.974588826988,4.35252397814554,4.35252397814554,1
V1_2025_JAN15_EVENING,20,NPCC_S7:GEN_ROW:29:BUS:80,80,K,1,0,584.929342,0.245260658963372,162.287698772438,162.287698772438,0,49.4143912586071,49.4143912586071,0,164.420415679298,2.13271690685966,2.13271690685966,1
V1_2025_JAN15_EVENING,21,NPCC_S7:GEN_ROW:30:BUS:82,82,J,1,0,619.623976,0.154549105825461,191.666544734138,191.666544734138,0,73.1314735721699,73.1314735721699,0,196.342771757962,4.6762270238244,4.6762270238244,1
V1_2025_JAN15_EVENING,22,NPCC_S7:GEN_ROW:49:BUS:79,79,J,1,0,1012.15942746391,0.25245687792326,313.088433785994,313.088433785994,0,93.4683722610547,93.4683722610547,0,320.717529978384,7.62909619239048,7.62909619239048,1
V1_2025_JAN15_EVENING,23,NPCC_S7:GEN_ROW:50:BUS:82,82,J,1,0,900,0.224481622129668,278.394473006519,278.394473006519,0,88.137651056338,88.137651056338,0,285.186663889012,6.79219088249283,6.79219088249283,1
V1_2025_JAN15_EVENING,24,NPCC_S7:GEN_ROW:51:BUS:81,81,J,1,0,900,0.224481622129668,278.394473006519,278.394473006519,0,88.137651056338,88.137651056338,0,285.151031130345,6.75655812382553,6.75655812382553,1
V1_2025_JAN15_EVENING,25,NPCC_S7:GEN_ROW:52:BUS:43,43,E,1,0,400,0.666666666666667,109.02383807926,109.02383807926,0,40.8248290463863,40.8248290463863,0,110.393328691645,1.36949061238515,1.36949061238515,1
V1_2025_JAN15_EVENING,26,NPCC_S7:GEN_ROW:53:BUS:44,44,E,1,0,200,0.333333333333333,54.5119190396301,54.5119190396301,0,28.8675134594813,28.8675134594813,0,55.1964794960581,0.684560456427995,0.684560456427995,1
V1_2025_JAN15_EVENING,27,NPCC_S7:GEN_ROW:54:BUS:38,38,F,1,0,500,0.2306268812941,163.034764293776,163.034764293776,0,50.9232972170264,50.9232972170264,0,165.190879673347,2.15611537957091,2.15611537957091,1
V1_2025_JAN15_EVENING,28,NPCC_S7:GEN_ROW:55:BUS:42,42,F,1,0,500,0.2306268812941,163.034764293776,163.034764293776,0,50.9232972170264,50.9232972170264,0,165.202619514883,2.16785522110689,2.16785522110689,1
V1_2025_JAN15_EVENING,29,NPCC_S7:GEN_ROW:56:BUS:41,41,F,1,0,300,0.13837612877646,97.8208585762656,97.8208585762656,0,39.4450164111027,39.4450164111027,0,99.130808320411,1.30994974414537,1.30994974414537,1
V1_2025_JAN15_EVENING,30,NPCC_S7:GEN_ROW:57:BUS:37,37,F,1,0,300,0.13837612877646,97.8208585762656,97.8208585762656,0,39.4450164111027,39.4450164111027,0,99.1184989735999,1.29764039733432,1.29764039733432,1
V1_2025_JAN15_EVENING,31,NPCC_S7:GEN_ROW:58:BUS:73,73,G,1,0,508.665473883138,0.23121157903779,186.565001394073,186.565001394073,0,57.4904698919016,57.4904698919016,0,189.409031101125,2.84402970705236,2.84402970705236,1
V1_2025_JAN15_EVENING,32,NPCC_S7:GEN_ROW:59:BUS:76,76,G,1,0,700,0.318181818181818,256.741429645084,256.741429645084,0,67.4417371256082,67.4417371256082,0,260.682616089901,3.94118644481716,3.94118644481716,1
V1_2025_JAN15_EVENING,33,NPCC_S7:GEN_ROW:60:BUS:39,39,G,1,0,600,0.272727272727273,220.064082552929,220.064082552929,0,62.4389157944648,62.4389157944648,0,223.352406874231,3.28832432130162,3.28832432130162,1
V1_2025_JAN15_EVENING,34,NPCC_S7:GEN_ROW:61:BUS:80,80,K,1,0,1200,0.503159560691086,332.938056861791,332.938056861791,0,70.7770356008779,70.7770356008779,0,337.313389236147,4.37533237435593,4.37533237435593,1
V1_2025_JAN15_EVENING,35,NPCC_S7:GEN_ROW:62:BUS:9003,9003,K,1,0,553.039856865977,0.231889409521121,153.440012760068,153.440012760068,0,48.048514089828,48.048514089828,0,155.450053128472,2.01004036840411,2.01004036840411,1
V1_2025_JAN15_EVENING,36,NY2025:GEN:CRICKET_VALLEY:PV73,73,G,1,0,391.334526116862,0.177879330053119,133.70562721506,133.70562721506,0,50.4259177406892,50.4259177406892,0,135.893640900396,2.18801368533607,2.18801368533607,1
V1_2025_JAN15_EVENING,37,NY2025:GEN:SOUTH_FORK:K9003,9003,K,1,0,46.9601431340234,0.0196903708244214,16.528111985471,16.528111985471,0,14.0012384446366,14.0012384446366,0,16.698790071127,0.170678085655961,0.170678085655961,1
