time_s,prescribed_subconductor_current_amp,forecast_temperature_c,actual_scenario_temperature_c,actual_ambient_c,actual_wind_m_s,actual_wind_angle_deg,actual_solar_w_m2,above_assumed_limit
0,1262.50297376246,25,25,25,2,90,800,0
60,1262.50297376246,29.7113083596566,29.7113083596566,25,2,90,800,0
120,1262.50297376246,33.8874069501034,33.8874069501034,25,2,90,800,0
180,1262.50297376246,37.5872166933831,37.5872166933831,25,2,90,800,0
240,1262.50297376246,40.8634993697547,40.8634993697547,25,2,90,800,0
300,1262.50297376246,43.763455717202,43.763455717202,25,2,90,800,0
360,1262.50297376246,46.3292672525066,46.3292672525066,25,2,90,800,0
420,1262.50297376246,48.5985893864638,48.5985893864638,25,2,90,800,0
480,1262.50297376246,50.6050011656354,50.6050011656354,25,2,90,800,0
540,1262.50297376246,52.3784156010561,52.3784156010561,25,2,90,800,0
600,1262.50297376246,53.9454537257047,53.9454537257047,25,2,90,800,0
660,1262.50297376246,55.3297850461327,55.3297850461327,25,2,90,800,0
720,1262.50297376246,56.5524367801736,56.5524367801736,25,2,90,800,0
780,1262.50297376246,57.632074112423,57.632074112423,25,2,90,800,0
840,1262.50297376246,58.5852535961795,58.5852535961795,25,2,90,800,0
900,1262.50297376246,59.4266517512984,59.4266517512984,25,2,90,800,0
960,1262.50297376246,60.1692708332112,60.1692708332112,25,2,90,800,0
1020,1262.50297376246,60.8246236698573,60.8246236698573,25,2,90,800,0
1080,1262.50297376246,61.4028993768577,61.4028993768577,25,2,90,800,0
1140,1262.50297376246,61.9131116666386,61.9131116666386,25,2,90,800,0
1200,1262.50297376246,62.3632313658401,62.3632313658401,40,0.2,0,1000,0
1260,1262.50297376246,62.7603046494495,66.972916190998,40,0.2,0,1000,0
1320,1262.50297376246,63.1105583920531,71.3839127285487,40,0.2,0,1000,0
1380,1262.50297376246,63.4194939286529,75.5956392642717,40,0.2,0,1000,1
1440,1262.50297376246,63.6919704115425,79.6091837540912,40,0.2,0,1000,1
1500,1262.50297376246,63.9322788473128,83.4269590163338,40,0.2,0,1000,1
1560,1262.50297376246,64.1442078003052,87.0524406244203,40,0.2,0,1000,1
1620,1262.50297376246,64.3311016565408,90.4899580523898,40,0.2,0,1000,1
1680,1262.50297376246,64.4959122558358,93.7445227495197,40,0.2,0,1000,1
1740,1262.50297376246,64.6412446196959,96.8216834627468,40,0.2,0,1000,1
1800,1262.50297376246,64.7693974287368,99.7274027370456,40,0.2,0,1000,1
1860,1262.50297376246,64.8823988356998,102.467950593861,40,0.2,0,1000,1
1920,1262.50297376246,64.9820381384063,105.049812621612,40,0.2,0,1000,1
1980,1262.50297376246,65.0698937809578,107.479610470073,40,0.2,0,1000,1
2040,1262.50297376246,65.1473581007853,109.764033216963,40,0.2,0,1000,1
2100,1262.50297376246,65.2156591934383,111.909778381379,40,0.2,0,1000,1
2160,1262.50297376246,65.2758802258954,113.923501560169,40,0.2,0,1000,1
2220,1262.50297376246,65.3289764923026,115.811773800107,40,0.2,0,1000,1
2280,1262.50297376246,65.3757904730433,117.581045915386,40,0.2,0,1000,1
2340,1262.50297376246,65.4170651285518,119.237619032281,40,0.2,0,1000,1
2400,1262.50297376246,65.4534556329805,120.787620700443,40,0.2,0,1000,1
2460,1262.50297376246,65.4855397294022,122.236985959358,40,0.2,0,1000,1
2520,1262.50297376246,65.513826867387,123.591442792729,40,0.2,0,1000,1
2580,1262.50297376246,65.5387662652685,124.85650144495,40,0.2,0,1000,1
2640,1262.50297376246,65.5607540229755,126.03744711375,40,0.2,0,1000,1
2700,1262.50297376246,65.5801393967158,127.13933557179,40,0.2,0,1000,1
2760,1262.50297376246,65.5972303338715,128.166991307813,40,0.2,0,1000,1
2820,1262.50297376246,65.6122983550121,129.125007814708,40,0.2,0,1000,1
2880,1262.50297376246,65.6255828597918,130.017749687325,40,0.2,0,1000,1
2940,1262.50297376246,65.6372949245284,130.849356226957,40,0.2,0,1000,1
3000,1262.50297376246,65.6476206513206,131.623746281735,40,0.2,0,1000,1
3060,1262.50297376246,65.6567241215508,132.344624082726,40,0.2,0,1000,1
3120,1262.50297376246,65.6647500004123,133.015485863981,40,0.2,0,1000,1
3180,1262.50297376246,65.6718258336286,133.639627081241,40,0.2,0,1000,1
3240,1262.50297376246,65.6780640726839,134.220150068258,40,0.2,0,1000,1
3300,1262.50297376246,65.683563860618,134.759971991881,40,0.2,0,1000,1
3360,1262.50297376246,65.6884126066582,135.261832987112,40,0.2,0,1000,1
3420,1262.50297376246,65.6926873746328,135.728304371427,40,0.2,0,1000,1
3480,1262.50297376246,65.6964561071685,136.161796853787,40,0.2,0,1000,1
3540,1262.50297376246,65.6997787050794,136.564568668128,40,0.2,0,1000,1
3600,1262.50297376246,65.7027079790642,136.938733573746,40,0.2,0,1000,1
