scenario_id,vintage,dataset_split,ny_bus_count,branch_records,active_branch_count,boundary_channel_count,omitted_HQ_scope_records,gross_load_mw,net_scheduled_import_mw,accounting_error_mw,electrical_baseline_qualified,interface_targets_used_in_optimizer,proxy_MAE_mw,proxy_max_error_mw,mean_normalized_error_floor100,observed_generator_dispatch_validated,dlr_ready
S1_2025_SUMMER_PEAK_PUBLIC,2025,training,66,125,112,10,1,10902.2197987,564.169198369674,1.81898940354586e-12,1,1,2.0170246104737,3.20732563873162,0.00322815563067019,0,0
S2_2025_WINTER_PEAK_PUBLIC,2025,training,66,125,112,10,1,10902.2197987,2051.4279279295,1.81898940354586e-12,1,1,3.60199686019595,10.0809544312417,0.00642799137359285,0,0
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,training,66,125,112,10,1,10902.2197987,828.130888776122,1.13686837721616e-13,1,1,219.919949268318,773.821322591233,0.295369001370934,0,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,66,125,112,10,1,10902.2197987,433.991666559592,1.81898940354586e-12,1,1,2.01325523151401,3.46041248625124,0.0033644806217314,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019,training,51,92,87,10,1,10902.2197987,1227.88012859369,1.81898940354586e-12,1,0,282.923070764526,529.140938064363,0.852913117231563,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019,training,51,92,87,10,1,10902.2197987,1316.20597265627,1.81898940354586e-12,1,0,832.926499893251,1952.100153179,0.737029526334132,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,51,92,87,10,1,10902.2197987,1395.75707514814,1.81898940354586e-12,1,0,818.204292635905,2455.35746873841,0.510079682383054,0,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,51,92,87,10,1,10902.2197987,955.062074597113,1.81898940354586e-12,1,0,301.144048339179,752.29201088642,0.768322424230605,0,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,51,92,87,10,1,10902.2197987,1915.19211797432,1.81898940354586e-12,1,0,529.042647855011,1490.81945911796,0.615284881532818,0,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,51,92,87,10,1,10902.2197987,1492.45667297216,2.27373675443232e-13,1,0,480.466976524515,732.300476051744,0.615095574993174,0,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025,heldout,66,125,112,10,1,10902.2197987,1223.8781880246,0,1,0,264.036617480883,532.881342160179,0.257192577015503,0,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025,heldout,66,125,112,10,1,10902.2197987,510.846771201875,0,1,0,336.021501865363,1103.42431390547,0.953364990781443,0,0
