source_id,relative_path,source_uri,sha256_lf_normalized,archive_relative_path,archive_sha256,archive_member,daily_archive_match,source_data_class
NYISO:P58C:20190720,System Matpower Format/NY_Lite/nyiso_public_cache/201907_palIntegrated/20190720palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20190701palIntegrated_csv.zip,78023e6015dd393a247551d663c53cbc7ea01d330e21160a2fe853d4e9d0c551,System Matpower Format/NY_Lite/nyiso_public_cache/201907_palIntegrated/20190701palIntegrated_csv.zip,15e32aba8757e1a874413d4ad52d9b4e607d8802a1b36c3222a164f70d06a504,20190720palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20190720,System Matpower Format/NY_Lite/nyiso_public_cache/201907_ExternalLimitsFlows/20190720ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip,8656ef12ab30ea5714fe4d2cd93743e133b3a8c5dcf1245099f93e89868718f2,System Matpower Format/NY_Lite/nyiso_public_cache/201907_ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip,f7fe091f7a2c30adfcd0416df9ff42546449c6363a109187fa9b90e253d0b024,20190720ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20190121,System Matpower Format/NY_Lite/nyiso_public_cache/201901_palIntegrated/20190121palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20190101palIntegrated_csv.zip,73d09fb0f888420c6685d0b748c040e944c60cbbefd15d8987e5aa31326f5be5,System Matpower Format/NY_Lite/nyiso_public_cache/201901_palIntegrated/20190101palIntegrated_csv.zip,e57ad2374c0f3ab6569c0bc33fb2736b7f73166d212026e0a7ccfa27f6db8644,20190121palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20190121,System Matpower Format/NY_Lite/nyiso_public_cache/201901_ExternalLimitsFlows/20190121ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190101ExternalLimitsFlows_csv.zip,555f403dea70f27217ea4b81e09a91962ca654e792acbe0d487957e92e8ccf1a,System Matpower Format/NY_Lite/nyiso_public_cache/201901_ExternalLimitsFlows/20190101ExternalLimitsFlows_csv.zip,f45cdf4194d68abee1650153d15adfa103f4b01a96fd3ed6feed089beff3728b,20190121ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20190421,System Matpower Format/NY_Lite/nyiso_public_cache/201904_palIntegrated/20190421palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20190401palIntegrated_csv.zip,dba7e63fbfb0d65eb09cb317bcf31537c2cf98ca76db1ff2d94a7ed1e9e34a76,System Matpower Format/NY_Lite/nyiso_public_cache/201904_palIntegrated/20190401palIntegrated_csv.zip,127846ffadefecd0794b561e27018c422c4dd0e0610df11263e2fd05005b1017,20190421palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20190421,System Matpower Format/NY_Lite/nyiso_public_cache/201904_ExternalLimitsFlows/20190421ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190401ExternalLimitsFlows_csv.zip,083a4ffd279064d215c5e361d9a9474eb73e56bd7eba1a8f02d21303e350fd4e,System Matpower Format/NY_Lite/nyiso_public_cache/201904_ExternalLimitsFlows/20190401ExternalLimitsFlows_csv.zip,fb67cb780b3e9e45330987bba8eec3e684f17c034d2bb62136f94677c9aeb85e,20190421ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20190717,System Matpower Format/NY_Lite/nyiso_public_cache/201907_palIntegrated/20190717palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20190701palIntegrated_csv.zip,c054627a7bdfda1828dc5db559cda7a0ffbcda26ca9e778a3e7f6b11fe08a595,System Matpower Format/NY_Lite/nyiso_public_cache/201907_palIntegrated/20190701palIntegrated_csv.zip,15e32aba8757e1a874413d4ad52d9b4e607d8802a1b36c3222a164f70d06a504,20190717palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20190717,System Matpower Format/NY_Lite/nyiso_public_cache/201907_ExternalLimitsFlows/20190717ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip,5bdc210c3b7fb1804388bb2d59b1e6e9ad8687b85438fdb75923f7a9215c64a1,System Matpower Format/NY_Lite/nyiso_public_cache/201907_ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip,f7fe091f7a2c30adfcd0416df9ff42546449c6363a109187fa9b90e253d0b024,20190717ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20190727,System Matpower Format/NY_Lite/nyiso_public_cache/201907_palIntegrated/20190727palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20190701palIntegrated_csv.zip,815be83d3bb93b82aa28024ee0c7e98943d0029a900ff0d83b952d7c9460a6c0,System Matpower Format/NY_Lite/nyiso_public_cache/201907_palIntegrated/20190701palIntegrated_csv.zip,15e32aba8757e1a874413d4ad52d9b4e607d8802a1b36c3222a164f70d06a504,20190727palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20190727,System Matpower Format/NY_Lite/nyiso_public_cache/201907_ExternalLimitsFlows/20190727ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip,31468e3078f6fd83df07ebd98f4daca2f51ffa0b70aeba0d15aff5b0882d6e06,System Matpower Format/NY_Lite/nyiso_public_cache/201907_ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip,f7fe091f7a2c30adfcd0416df9ff42546449c6363a109187fa9b90e253d0b024,20190727ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
