scenario_id,timestamp,timestamp_utc,vintage,zone,dataset_split,campaign_role,actual_generation_mw,provenance_class,target_use
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,C,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,D,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,E,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,F,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,G,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,H,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,I,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,J,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,K,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,A,training,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
