zone,zone_name,actual_load_mw,target_load_mw,load_share,actual_load_q_mvar,target_load_q_mvar,source_csv_line,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,target_use,provenance_class,source_field,actual_unit,model_power_scale
G,HUD VL,1646.4478,763.133766267373,0.0699980169504902,NaN,NaN,204,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,543.9729,252.133160811041,0.0231267728468569,NaN,NaN,207,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,972.0962,450.569665360907,0.0413282499968156,NaN,NaN,202,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,7463.9296,3459.55499275624,0.317325742521607,NaN,NaN,208,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,3175.7688,1471.97889003126,0.135016438597833,NaN,NaN,205,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,1271.7308,1250.96160698433,0.114743752197465,NaN,NaN,155,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,527.5507,518.935038325492,0.0475990255110588,NaN,NaN,148,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,949.7365,934.225937007796,0.0856913504091336,NaN,NaN,146,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,540.6355,531.806144722434,0.04877962053066,NaN,NaN,154,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,330.9498,325.544913781394,0.029860424738475,NaN,NaN,151,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,619.0873,608.976713996068,0.0558580477407622,NaN,NaN,145,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,479.3444,471.516016536629,0.0432495423173227,NaN,NaN,149,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,202.8777,199.564415372565,0.0183049341379415,NaN,NaN,152,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,525.6723,517.087315299078,0.0474295441521677,NaN,NaN,147,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,4399.7185,4327.86476905229,0.396970970037529,NaN,NaN,153,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,1235.9213,1215.73692762192,0.111512788227484,NaN,NaN,150,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025-04-20 13:00,2025-04-20T17:00:00Z,2025,training,2025_target,0.983668561761916,NYISO:P58C:20250420,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2605.5934,933.986786519434,0.08566941446464,NaN,NaN,199,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1725.8589,618.641960022222,0.056744587014838,NaN,NaN,192,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2399.6671,860.171569150202,0.0788987550271891,NaN,NaN,190,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,471.3904,168.972029516236,0.0154988646932604,NaN,NaN,198,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,1158.8415,415.391998103143,0.0381015981857818,NaN,NaN,195,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,2098.469,752.205742431129,0.0689956500896105,NaN,NaN,189,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,2262.1703,810.88521680194,0.0743779919845894,NaN,NaN,193,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,642.3058,230.237430792078,0.0211183992841102,NaN,NaN,196,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,1374.3688,492.648737521584,0.0451879293041155,NaN,NaN,191,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,10416.4838,3733.8359205215,0.342484006877822,NaN,NaN,197,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,5259.3626,1885.24240732053,0.172922803074043,NaN,NaN,194,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,2025-07-29T21:00:00Z,2025,training,2025_target,0.358454541111224,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2156.9006,829.945765539074,0.0761263101334682,NaN,NaN,188,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1538.0801,591.832125251815,0.0542854699482748,NaN,NaN,181,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2289.9895,881.156548731982,0.0808235905165894,NaN,NaN,179,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,524.2467,201.722939278163,0.0185029235332622,NaN,NaN,187,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,1229.9202,473.256422637636,0.0434091800913854,NaN,NaN,184,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,2177.7606,837.972407410816,0.0768625493599695,NaN,NaN,178,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,2005.4355,771.664072645135,0.0707804545214865,NaN,NaN,182,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,551.0056,212.019396957058,0.0194473603423717,NaN,NaN,185,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,1245.1721,479.125144553438,0.0439474853195098,NaN,NaN,180,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,9811.9387,3775.49942533002,0.346305568502684,NaN,NaN,186,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,4802.7324,1848.02555036487,0.169509107730999,NaN,NaN,183,S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,heldout,2025_target,0.384786283400855,NYISO:P58C:20250717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2443.7707,1116.520173912,0.102412187107541,NaN,NaN,199,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1638.8578,748.768203118663,0.068680343723023,NaN,NaN,192,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2118.732,968.015133790137,0.0887906455440905,NaN,NaN,190,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,569.0966,260.011233789131,0.0238493846748655,NaN,NaN,198,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,987.4678,451.158416699447,0.0413822528833297,NaN,NaN,195,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,1626.1442,742.959560399832,0.0681475492255644,NaN,NaN,189,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,1663.7559,760.143751136354,0.0697237594885947,NaN,NaN,193,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,440.2643,201.149793965221,0.0184503521006985,NaN,NaN,196,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,916.1313,418.565898348084,0.0383927224066785,NaN,NaN,191,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,7961.4641,3637.46700192704,0.333644621837543,NaN,NaN,197,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,3496.4236,1597.46063161409,0.146526181008071,NaN,NaN,194,S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,heldout,2025_target,0.456884180627912,NYISO:P58C:20250727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
