zone,zone_name,actual_load_mw,target_load_mw,load_share,actual_load_q_mvar,target_load_q_mvar,source_csv_line,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,target_use,provenance_class,source_field,actual_unit,model_power_scale
I,DUNWOD,941,414.880086647176,0.0380546433944257,NaN,NaN,202,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.440892759455022,NYISO:P58C:20190121,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,7673.9,3383.36694678189,0.310337436710396,NaN,NaN,208,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.440892759455022,NYISO:P58C:20190121,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,3390.2,1494.71463310442,0.137101861887122,NaN,NaN,205,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.440892759455022,NYISO:P58C:20190121,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,1299.6,1185.54148575366,0.108743128247609,NaN,NaN,56,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,777.3,709.080791686917,0.0650400381554836,NaN,NaN,49,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,1261.8,1151.05897716525,0.105580239475864,NaN,NaN,47,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,457.9,417.712716471683,0.0383144647773008,NaN,NaN,55,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,507.7,463.142053183388,0.0424814452226155,NaN,NaN,52,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,944.2,861.332926168515,0.0790052798487169,NaN,NaN,46,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,708.1,645.954082842539,0.0592497761712311,NaN,NaN,50,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,179.5,163.746304011066,0.0150195379504815,NaN,NaN,53,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,437.4,399.011885094375,0.0365991415016191,NaN,NaN,48,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,3908.2,3565.19947262422,0.327015923220457,NaN,NaN,54,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,1469.4,1340.43910369839,0.122951025428622,NaN,NaN,51,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P58C:20190421,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2275.6,846.157749701454,0.0776133452934375,NaN,NaN,188,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1552.6,577.317859987027,0.0529541571025624,NaN,NaN,181,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2289.8,851.437869250479,0.0780976612993994,NaN,NaN,179,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,571.2,212.394668056544,0.0194817818736208,NaN,NaN,187,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,1088.6,404.784376131571,0.0371286200063439,NaN,NaN,184,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,1889,702.404635782232,0.0644276714973209,NaN,NaN,178,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,1951.2,725.53304676458,0.0665491120304778,NaN,NaN,182,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,573.4,213.212714747238,0.0195568167477839,NaN,NaN,185,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,1311.8,487.778931296523,0.0447412490578007,NaN,NaN,180,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,10771.1,4005.11941369719,0.367367333226466,NaN,NaN,186,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,5045.4,1876.07853328516,0.172082251864787,NaN,NaN,183,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.371839404860896,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2004.8,898.029067096454,0.0823712128059954,NaN,NaN,100,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1416.4,634.461477771058,0.0581956234130147,NaN,NaN,93,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2152.9,964.368903906602,0.0884561971518493,NaN,NaN,91,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,562.7,252.055544720259,0.0231196535544362,NaN,NaN,99,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,1120.8,502.050567838042,0.0460503069198721,NaN,NaN,96,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,1812.8,812.024687167025,0.074482509265118,NaN,NaN,90,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
