interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,scenario_id,vintage,dataset_split,campaign_role,timestamp,timestamp_utc,scale_factor_gamma,actual_observed_flow_mw,model_proxy_in_observation_scale_mw,observation_scale_residual_mw,observation_scale_is_uniform_shape_rescaling,near_zero_target,normalized_absolute_error_with_100mw_floor,electrically_qualified,generation_dispatch_observed,generator_dispatch_validation_passed
Central_East,1464.80571823053,1538.58550750867,-73.7797892781352,73.7797892781352,1,0,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,training,2025_target,2025-04-20 13:00,2025-04-20T17:00:00Z,0.983668561761916,1564.13,1489.12527569938,-75.0047243006153,1,0,0.0479529989838538,1,0,0
Total_East_proxy,2750.60268180049,3050.49392362235,-299.891241821862,299.891241821862,1,0,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,training,2025_target,2025-04-20 13:00,2025-04-20T17:00:00Z,0.983668561761916,3101.14,2796.26978915916,-304.870210840841,1,0,0.0983090769332701,1,0,0
UPNY_ConEd,2957.26304222857,3731.0843648198,-773.821322591233,773.821322591233,1,0,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,training,2025_target,2025-04-20 13:00,2025-04-20T17:00:00Z,0.983668561761916,3793.03,3006.36124522635,-786.668754773649,1,0,0.207398505884122,1,0,0
Dunwoodie_South,3047.04987771365,3049.65780534485,-2.60792763120207,2.60792763120207,1,0,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,training,2025_target,2025-04-20 13:00,2025-04-20T17:00:00Z,0.983668561761916,3100.29,3097.63877403571,-2.65122596429313,1,0,0.000855154183735435,1,0,0
Dysinger_East,56.7959377646957,56.2522711365844,0.543666628111353,0.543666628111353,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,156.93,158.446696165784,1.51669616578427,1,1,0.00543666628111353,1,0,0
West_Central,-292.255489114611,-289.781820125136,-2.4736689894749,2.4736689894749,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,-808.42,-815.320928027879,-6.90092802787886,1,0,0.00853631531614614,1,0,0
Moses_South,778.612408749836,777.591851487167,1.02055726266906,1.02055726266906,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,2169.29,2172.13710373456,2.84710373456363,1,0,0.00131245879276797,1,0,0
Central_East,887.793461976106,889.243271952491,-1.4498099763855,1.4498099763855,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,2480.77,2476.72538677822,-4.04461322177988,1,0,0.00163038621951244,1,0,0
Total_East_proxy,1064.24478753436,1061.49143259267,2.75335494168894,2.75335494168894,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,2961.3,2968.98118303971,7.68118303970547,1,0,0.0025938550770626,1,0,0
UPNY_ConEd,1929.36590318499,1932.82631567124,-3.46041248625124,3.46041248625124,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,5392.11,5382.45630032717,-9.65369967283388,1,0,0.00179033804444529,1,0,0
Dunwoodie_South,1064.5638125568,1062.17249622078,2.3913163360171,2.3913163360171,1,0,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,training,2025_target,2025-07-29 17:00,2025-07-29T21:00:00Z,0.358454541111224,2963.2,2969.87118438116,6.67118438116007,1,0,0.00225134462107184,1,0,0
Dysinger_East,91.514441788045,542.193272731521,-450.678830943476,450.678830943476,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,1511.71,255.154948895703,-1256.5550511043,1,0,0.83121435401254,1,0,0
West_Central,-405.449096397033,123.69184166733,-529.140938064363,529.140938064363,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,344.87,-1130.44828171053,-1475.31828171053,1,0,4.27789683564976,1,0,0
