"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"08/25/2026 07:00:00","EDT","N.Y.C.",61761,5842.4404
"08/25/2026 07:00:00","EDT","NORTH",61755,573.0968
"08/25/2026 07:00:00","EDT","WEST",61752,1620.9777
"08/25/2026 08:00:00","EDT","CAPITL",61757,1285.0825
"08/25/2026 08:00:00","EDT","CENTRL",61754,1665.2793
"08/25/2026 08:00:00","EDT","DUNWOD",61760,641.4805
"08/25/2026 08:00:00","EDT","GENESE",61753,1065.1085
"08/25/2026 08:00:00","EDT","HUD VL",61758,943.3559
"08/25/2026 08:00:00","EDT","LONGIL",61762,2259.0114
"08/25/2026 08:00:00","EDT","MHK VL",61756,776.0702
"08/25/2026 08:00:00","EDT","MILLWD",61759,248.7521
"08/25/2026 08:00:00","EDT","N.Y.C.",61761,6161.2983
"08/25/2026 08:00:00","EDT","NORTH",61755,564.7049
"08/25/2026 08:00:00","EDT","WEST",61752,1653.7186
"08/25/2026 09:00:00","EDT","CAPITL",61757,1258.1796
"08/25/2026 09:00:00","EDT","CENTRL",61754,1641.575
"08/25/2026 09:00:00","EDT","DUNWOD",61760,648.064
"08/25/2026 09:00:00","EDT","GENESE",61753,1052.9956
"08/25/2026 09:00:00","EDT","HUD VL",61758,923.4064
"08/25/2026 09:00:00","EDT","LONGIL",61762,2294.2955
"08/25/2026 09:00:00","EDT","MHK VL",61756,751.2686
"08/25/2026 09:00:00","EDT","MILLWD",61759,245.585
"08/25/2026 09:00:00","EDT","N.Y.C.",61761,6351.3122
"08/25/2026 09:00:00","EDT","NORTH",61755,553.0631
"08/25/2026 09:00:00","EDT","WEST",61752,1653.3337
"08/25/2026 10:00:00","EDT","CAPITL",61757,1269.0059
"08/25/2026 10:00:00","EDT","CENTRL",61754,1625.5577
"08/25/2026 10:00:00","EDT","DUNWOD",61760,656.4197
"08/25/2026 10:00:00","EDT","GENESE",61753,1049.1884
"08/25/2026 10:00:00","EDT","HUD VL",61758,935.9044
"08/25/2026 10:00:00","EDT","LONGIL",61762,2344.5088
"08/25/2026 10:00:00","EDT","MHK VL",61756,698.44
"08/25/2026 10:00:00","EDT","MILLWD",61759,251.6912
"08/25/2026 10:00:00","EDT","N.Y.C.",61761,6473.7983
"08/25/2026 10:00:00","EDT","NORTH",61755,544.4927
"08/25/2026 10:00:00","EDT","WEST",61752,1626.9249
"08/25/2026 11:00:00","EDT","CAPITL",61757,1242.0778
"08/25/2026 11:00:00","EDT","CENTRL",61754,1521.2859
"08/25/2026 11:00:00","EDT","DUNWOD",61760,674.703
"08/25/2026 11:00:00","EDT","GENESE",61753,1032.8598
"08/25/2026 11:00:00","EDT","HUD VL",61758,975.4964
"08/25/2026 11:00:00","EDT","LONGIL",61762,2473.0576
"08/25/2026 11:00:00","EDT","MHK VL",61756,659.7382
"08/25/2026 11:00:00","EDT","MILLWD",61759,258.9138
"08/25/2026 11:00:00","EDT","N.Y.C.",61761,6652.5626
"08/25/2026 11:00:00","EDT","NORTH",61755,526.8473
"08/25/2026 11:00:00","EDT","WEST",61752,1608.2517
"08/25/2026 12:00:00","EDT","CAPITL",61757,1148.9873
"08/25/2026 12:00:00","EDT","CENTRL",61754,1499.9144
"08/25/2026 12:00:00","EDT","DUNWOD",61760,702.7046
"08/25/2026 12:00:00","EDT","GENESE",61753,994.3562
"08/25/2026 12:00:00","EDT","HUD VL",61758,958.6855
"08/25/2026 12:00:00","EDT","LONGIL",61762,2639.6025
"08/25/2026 12:00:00","EDT","MHK VL",61756,625.9564
"08/25/2026 12:00:00","EDT","MILLWD",61759,265.6915
"08/25/2026 12:00:00","EDT","N.Y.C.",61761,6848.6488
"08/25/2026 12:00:00","EDT","NORTH",61755,525.2475
"08/25/2026 12:00:00","EDT","WEST",61752,1600.5309
"08/25/2026 13:00:00","EDT","CAPITL",61757,1115.6728
"08/25/2026 13:00:00","EDT","CENTRL",61754,1472.2317
"08/25/2026 13:00:00","EDT","DUNWOD",61760,720.7074
"08/25/2026 13:00:00","EDT","GENESE",61753,963.0849
"08/25/2026 13:00:00","EDT","HUD VL",61758,1009.6547
"08/25/2026 13:00:00","EDT","LONGIL",61762,2836.4569
"08/25/2026 13:00:00","EDT","MHK VL",61756,619.2805
"08/25/2026 13:00:00","EDT","MILLWD",61759,272.5613
"08/25/2026 13:00:00","EDT","N.Y.C.",61761,6922.5332
"08/25/2026 13:00:00","EDT","NORTH",61755,518.3596
"08/25/2026 13:00:00","EDT","WEST",61752,1643.6314
"08/25/2026 14:00:00","EDT","CAPITL",61757,1190.7647
"08/25/2026 14:00:00","EDT","CENTRL",61754,1485.3023
"08/25/2026 14:00:00","EDT","DUNWOD",61760,730.9993
"08/25/2026 14:00:00","EDT","GENESE",61753,948.2987
"08/25/2026 14:00:00","EDT","HUD VL",61758,1056.946
"08/25/2026 14:00:00","EDT","LONGIL",61762,2923.8028
"08/25/2026 14:00:00","EDT","MHK VL",61756,632.847
"08/25/2026 14:00:00","EDT","MILLWD",61759,283.8766
"08/25/2026 14:00:00","EDT","N.Y.C.",61761,6966.216
"08/25/2026 14:00:00","EDT","NORTH",61755,525.8927
"08/25/2026 14:00:00","EDT","WEST",61752,1665.4307
"08/25/2026 15:00:00","EDT","CAPITL",61757,1253.1914
"08/25/2026 15:00:00","EDT","CENTRL",61754,1500.1439
"08/25/2026 15:00:00","EDT","DUNWOD",61760,767.8718
"08/25/2026 15:00:00","EDT","GENESE",61753,961.573
"08/25/2026 15:00:00","EDT","HUD VL",61758,1174.4867
"08/25/2026 15:00:00","EDT","LONGIL",61762,3021.3611
"08/25/2026 15:00:00","EDT","MHK VL",61756,665.8227
"08/25/2026 15:00:00","EDT","MILLWD",61759,299.726
"08/25/2026 15:00:00","EDT","N.Y.C.",61761,7081.6221
"08/25/2026 15:00:00","EDT","NORTH",61755,509.8669
"08/25/2026 15:00:00","EDT","WEST",61752,1668.5575
"08/25/2026 16:00:00","EDT","CAPITL",61757,1303.1455
"08/25/2026 16:00:00","EDT","CENTRL",61754,1508.9734
"08/25/2026 16:00:00","EDT","DUNWOD",61760,811.7741
"08/25/2026 16:00:00","EDT","GENESE",61753,975.8594
"08/25/2026 16:00:00","EDT","HUD VL",61758,1244.8033
"08/25/2026 16:00:00","EDT","LONGIL",61762,3222.1261
"08/25/2026 16:00:00","EDT","MHK VL",61756,716.6468
"08/25/2026 16:00:00","EDT","MILLWD",61759,323.7233
"08/25/2026 16:00:00","EDT","N.Y.C.",61761,7211.9185
"08/25/2026 16:00:00","EDT","NORTH",61755,505.3019
"08/25/2026 16:00:00","EDT","WEST",61752,1724.6839
"08/25/2026 17:00:00","EDT","CAPITL",61757,1487.6086
"08/25/2026 17:00:00","EDT","CENTRL",61754,1579.4963
"08/25/2026 17:00:00","EDT","DUNWOD",61760,842.0857
"08/25/2026 17:00:00","EDT","GENESE",61753,1064.3402
"08/25/2026 17:00:00","EDT","HUD VL",61758,1364.3772
"08/25/2026 17:00:00","EDT","LONGIL",61762,3367.048
"08/25/2026 17:00:00","EDT","MHK VL",61756,789.7604
"08/25/2026 17:00:00","EDT","MILLWD",61759,326.5682
"08/25/2026 17:00:00","EDT","N.Y.C.",61761,7258.7887
"08/25/2026 17:00:00","EDT","NORTH",61755,527.0804
"08/25/2026 17:00:00","EDT","WEST",61752,1788.1683
"08/25/2026 18:00:00","EDT","CAPITL",61757,1572.3041
"08/25/2026 18:00:00","EDT","CENTRL",61754,1763.6526
"08/25/2026 18:00:00","EDT","DUNWOD",61760,835.111
"08/25/2026 18:00:00","EDT","GENESE",61753,1179.665
"08/25/2026 18:00:00","EDT","HUD VL",61758,1395.8736
"08/25/2026 18:00:00","EDT","LONGIL",61762,3386.4289
"08/25/2026 18:00:00","EDT","MHK VL",61756,856.0822
"08/25/2026 18:00:00","EDT","MILLWD",61759,332.7609
"08/25/2026 18:00:00","EDT","N.Y.C.",61761,7059.8817
"08/25/2026 18:00:00","EDT","NORTH",61755,565.7795
"08/25/2026 18:00:00","EDT","WEST",61752,1845.7938
"08/25/2026 19:00:00","EDT","CAPITL",61757,1602.2917
"08/25/2026 19:00:00","EDT","CENTRL",61754,1891.9772
"08/25/2026 19:00:00","EDT","DUNWOD",61760,807.8028
"08/25/2026 19:00:00","EDT","GENESE",61753,1230.4041
"08/25/2026 19:00:00","EDT","HUD VL",61758,1388.3561
"08/25/2026 19:00:00","EDT","LONGIL",61762,3277.3757
"08/25/2026 19:00:00","EDT","MHK VL",61756,912.9555
"08/25/2026 19:00:00","EDT","MILLWD",61759,323.7392
"08/25/2026 19:00:00","EDT","N.Y.C.",61761,6864.2585
"08/25/2026 19:00:00","EDT","NORTH",61755,574.6099
"08/25/2026 19:00:00","EDT","WEST",61752,1897.2896
"08/25/2026 20:00:00","EDT","CAPITL",61757,1599.1968
"08/25/2026 20:00:00","EDT","CENTRL",61754,1898.4905
"08/25/2026 20:00:00","EDT","DUNWOD",61760,790.9251
"08/25/2026 20:00:00","EDT","GENESE",61753,1235.2714
"08/25/2026 20:00:00","EDT","HUD VL",61758,1361.4459
"08/25/2026 20:00:00","EDT","LONGIL",61762,3161.4748
"08/25/2026 20:00:00","EDT","MHK VL",61756,915.7911
"08/25/2026 20:00:00","EDT","MILLWD",61759,328.0624
"08/25/2026 20:00:00","EDT","N.Y.C.",61761,6759.0346
"08/25/2026 20:00:00","EDT","NORTH",61755,575.3077
"08/25/2026 20:00:00","EDT","WEST",61752,1904.5187
"08/25/2026 21:00:00","EDT","CAPITL",61757,1522.3363
"08/25/2026 21:00:00","EDT","CENTRL",61754,1808.3154
"08/25/2026 21:00:00","EDT","DUNWOD",61760,757.2846
"08/25/2026 21:00:00","EDT","GENESE",61753,1173.3977
"08/25/2026 21:00:00","EDT","HUD VL",61758,1288.8135
"08/25/2026 21:00:00","EDT","LONGIL",61762,2978.3805
"08/25/2026 21:00:00","EDT","MHK VL",61756,867.346
"08/25/2026 21:00:00","EDT","MILLWD",61759,308.4974
"08/25/2026 21:00:00","EDT","N.Y.C.",61761,6576.871
"08/25/2026 21:00:00","EDT","NORTH",61755,527.878
"08/25/2026 21:00:00","EDT","WEST",61752,1834.4731
"08/25/2026 22:00:00","EDT","CAPITL",61757,1429.4454
"08/25/2026 22:00:00","EDT","CENTRL",61754,1691.7293
"08/25/2026 22:00:00","EDT","DUNWOD",61760,714.7537
"08/25/2026 22:00:00","EDT","GENESE",61753,1090.7819
"08/25/2026 22:00:00","EDT","HUD VL",61758,1195.5413
"08/25/2026 22:00:00","EDT","LONGIL",61762,2772.6883
"08/25/2026 22:00:00","EDT","MHK VL",61756,801.3971
"08/25/2026 22:00:00","EDT","MILLWD",61759,282.6163
"08/25/2026 22:00:00","EDT","N.Y.C.",61761,6309.1346
"08/25/2026 22:00:00","EDT","NORTH",61755,555.9631
"08/25/2026 22:00:00","EDT","WEST",61752,1749.4962
"08/25/2026 23:00:00","EDT","CAPITL",61757,1340.2866
"08/25/2026 23:00:00","EDT","CENTRL",61754,1597.089
"08/25/2026 23:00:00","EDT","DUNWOD",61760,666.4299
"08/25/2026 23:00:00","EDT","GENESE",61753,1023.0397
"08/25/2026 23:00:00","EDT","HUD VL",61758,1105.0266
"08/25/2026 23:00:00","EDT","LONGIL",61762,2530.85
"08/25/2026 23:00:00","EDT","MHK VL",61756,745.2598
"08/25/2026 23:00:00","EDT","MILLWD",61759,259.3843
"08/25/2026 23:00:00","EDT","N.Y.C.",61761,5974.2387
"08/25/2026 23:00:00","EDT","NORTH",61755,561.6983
"08/25/2026 23:00:00","EDT","WEST",61752,1657.728
