source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1272,50,C,assumed_same_zone_source_distance_aggregation,1237,0.162990961903637,115,0
1273,65,C,assumed_same_zone_source_distance_aggregation,29,0.200558678581903,115,0
1274,53,B,assumed_same_zone_source_distance_aggregation,128,0.100907506272797,115,0
1275,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0958164814059811,115,0
1276,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0997336342713766,115,0
1277,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0761262778356009,115,0
1278,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0695731064531107,115,0
1279,58,A,assumed_same_zone_source_distance_aggregation,1246,0.150324983999389,115,0
1280,57,A,assumed_same_zone_source_distance_aggregation,37,0.0397963838152639,115,0
1281,57,A,assumed_same_zone_source_distance_aggregation,37,0.0493841307607637,115,0
1282,56,A,assumed_same_zone_source_distance_aggregation,41,0.0507108596702096,115,0
1283,57,A,assumed_same_zone_source_distance_aggregation,37,0.0913512730628108,115,0
1284,57,A,assumed_same_zone_source_distance_aggregation,37,0.0914142934990671,115,0
1285,44,E,assumed_same_zone_source_distance_aggregation,1287,0.0248928001936297,115,0
1286,44,E,assumed_same_zone_source_distance_aggregation,1287,0.00423962524928087,115,0
1287,44,E,assumed_same_zone_source_distance_aggregation,1287,0,115,0
1288,45,E,assumed_same_zone_source_distance_aggregation,1548,0.111353550971181,115,0
1289,72,C,assumed_same_zone_source_distance_aggregation,1173,0.0326462271234477,115,0
1290,72,C,assumed_same_zone_source_distance_aggregation,339,0.00594713376341915,115,0
1291,43,E,assumed_same_zone_source_distance_aggregation,573,0.106080995456745,115,0
1292,68,C,assumed_same_zone_source_distance_aggregation,27,0.0103905588736567,115,0
1293,68,C,assumed_same_zone_source_distance_aggregation,27,0.0134465857059997,115,0
1294,68,C,assumed_same_zone_source_distance_aggregation,27,0.0480962910196866,115,0
1295,68,C,assumed_same_zone_source_distance_aggregation,27,0.0414506006868468,115,0
1296,61,A,assumed_same_zone_source_distance_aggregation,1296,0,230,0
1297,57,A,assumed_same_zone_source_distance_aggregation,37,0.135879686877973,115,0
1298,61,A,assumed_same_zone_source_distance_aggregation,1330,0.00561729472255106,115,0
