GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN,MODEL,STARTUP,SHUTDOWN,NCOST,LINEAR,FIXED,GenType,GenFuel,GenID,FuelType,EIAPlantCode,EIAPC-IDorPC-UC,Supplemental_ID
6,2.744616,-0.209143,1.8,-1.5,1.02,100,1,2.8,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2685,2685-1,1
6,2.744616,-0.209143,1.8,-1.5,1.02,100,1,2.8,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2685,2685-2,2
6,2.94066,-0.209143,2,-1.7,1.02,100,1,3,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,3,WAT (Water),2685,2685-3,3
6,2.94066,-0.209143,2,-1.7,1.02,100,1,3,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,4,WAT (Water),2685,2685-4,4
15,7.841761,-1.256166,5.2,-4.4,1.02,100,1,8,7,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2548,2548-1,1
15,7.841761,-1.256166,5.2,-4.4,1.02,100,1,8,7,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2548,2548-2,2
17,0,0,11.7,-9.9,1.01,100,0,18.000001,10.5,0,0,0,0,0,0,0,101,303,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,1,NG (Natural Gas),2511,2511-3,3
17,11.4,-9.9,11.7,-9.9,1.01,100,1,18.000001,11.4,0,0,0,0,0,0,0,102.5,307.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,2,NG (Natural Gas),2511,2511-4,4
17,11,-9.9,11.7,-9.9,1.01,100,1,18.000001,11,0,0,0,0,0,0,0,100.5,301.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,3,NG (Natural Gas),2511,2511-5,5
17,11.2,-9.9,11.7,-9.9,1.01,100,1,18.000001,11.2,0,0,0,0,0,0,0,99.5,298.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,4,NG (Natural Gas),2511,2511-6,6
