Eastern Date Hour,Gen Name,Gen PTID,DAM Gen LBMP,DAM Gen Losses,DAM Gen Congestion,DAM Gen Price Version,,AVG,20.09338858
1/1/2020 0:00,BETHLEHEM___GRP,23843,20.97,0.34,-14.04,1,,,
1/1/2020 0:00,BETHLEHEM___GS1,323560,20.97,0.34,-14.04,1,,,
1/1/2020 0:00,BETHLEHEM___GS2,323561,20.97,0.34,-14.04,1,,,
1/1/2020 0:00,BETHLEHEM___GS3,323562,20.97,0.34,-14.04,1,,,
1/1/2020 0:00,CPV_VALLEY___CC1,323721,16.47,0.36,-9.52,1,,,
1/1/2020 0:00,CPV_VALLEY___CC2,323722,16.47,0.36,-9.52,1,,,
1/1/2020 0:00,INDIAN POINT___3,23531,17.85,0.47,-10.79,1,,,
1/1/2020 0:00,NIAGARA_115E_LBMP,323715,7.92,-0.34,-1.67,1,,,
1/1/2020 0:00,NIAGARA_115W_LBMP,323714,7.99,-0.26,-1.66,1,,,
1/1/2020 0:00,NIAGARA_230_LBMP,323716,8,-0.24,-1.64,1,,,
1/1/2020 0:00,NIAGARA____,23760,7.93,-0.32,-1.67,1,,,
1/1/2020 0:00,NINE_MILE_2,23744,7.12,-0.15,-0.69,1,,,
1/1/2020 0:00,NORTHPORT___1,23551,18.72,0.82,-11.31,1,,,
1/1/2020 0:00,NORTHPORT___2,23552,18.72,0.82,-11.31,1,,,
1/1/2020 0:00,NORTHPORT___3,23553,18.6,0.71,-11.31,1,,,
1/1/2020 0:00,NORTHPORT___4,23650,18.6,0.71,-11.31,1,,,
1/1/2020 0:00,NORTHPORT___IC,23718,18.72,0.82,-11.31,1,,,
1/1/2020 1:00,BETHLEHEM___GRP,23843,18.96,0.3,-12.71,1,,,
1/1/2020 1:00,BETHLEHEM___GS1,323560,18.96,0.3,-12.71,1,,,
1/1/2020 1:00,BETHLEHEM___GS2,323561,18.96,0.3,-12.71,1,,,
1/1/2020 1:00,BETHLEHEM___GS3,323562,18.96,0.3,-12.71,1,,,
1/1/2020 1:00,CPV_VALLEY___CC1,323721,14.91,0.34,-8.61,1,,,
1/1/2020 1:00,CPV_VALLEY___CC2,323722,14.91,0.34,-8.61,1,,,
1/1/2020 1:00,INDIAN POINT___3,23531,16.14,0.42,-9.77,1,,,
1/1/2020 1:00,NIAGARA_115E_LBMP,323715,7.16,-0.31,-1.51,1,,,
1/1/2020 1:00,NIAGARA_115W_LBMP,323714,7.22,-0.24,-1.51,1,,,
1/1/2020 1:00,NIAGARA_230_LBMP,323716,7.22,-0.23,-1.49,1,,,
1/1/2020 1:00,NIAGARA____,23760,7.17,-0.3,-1.51,1,,,
1/1/2020 1:00,NINE_MILE_2,23744,6.43,-0.14,-0.62,1,,,
1/1/2020 1:00,NORTHPORT___1,23551,16.52,0.72,-9.84,1,,,
1/1/2020 1:00,NORTHPORT___2,23552,16.52,0.72,-9.84,1,,,
1/1/2020 1:00,NORTHPORT___3,23553,16.41,0.61,-9.84,1,,,
1/1/2020 1:00,NORTHPORT___4,23650,16.41,0.61,-9.84,1,,,
1/1/2020 1:00,NORTHPORT___IC,23718,16.52,0.72,-9.84,1,,,
1/1/2020 2:00,BETHLEHEM___GRP,23843,17.32,0.3,-11.09,1,,,
1/1/2020 2:00,BETHLEHEM___GS1,323560,17.32,0.3,-11.09,1,,,
1/1/2020 2:00,BETHLEHEM___GS2,323561,17.32,0.3,-11.09,1,,,
1/1/2020 2:00,BETHLEHEM___GS3,323562,17.32,0.3,-11.09,1,,,
1/1/2020 2:00,CPV_VALLEY___CC1,323721,13.78,0.33,-7.51,1,,,
1/1/2020 2:00,CPV_VALLEY___CC2,323722,13.78,0.33,-7.51,1,,,
1/1/2020 2:00,INDIAN POINT___3,23531,14.86,0.4,-8.52,1,,,
1/1/2020 2:00,NIAGARA_115E_LBMP,323715,6.95,-0.3,-1.32,1,,,
1/1/2020 2:00,NIAGARA_115W_LBMP,323714,7.04,-0.21,-1.31,1,,,
1/1/2020 2:00,NIAGARA_230_LBMP,323716,7.02,-0.21,-1.3,1,,,
1/1/2020 2:00,NIAGARA____,23760,6.96,-0.29,-1.32,1,,,
1/1/2020 2:00,NINE_MILE_2,23744,6.34,-0.14,-0.54,1,,,
1/1/2020 2:00,NORTHPORT___1,23551,15.17,0.65,-8.59,1,,,
1/1/2020 2:00,NORTHPORT___2,23552,15.17,0.65,-8.59,1,,,
1/1/2020 2:00,NORTHPORT___3,23553,15.07,0.55,-8.59,1,,,
1/1/2020 2:00,NORTHPORT___4,23650,15.07,0.55,-8.59,1,,,
1/1/2020 2:00,NORTHPORT___IC,23718,15.17,0.65,-8.59,1,,,
1/1/2020 3:00,BETHLEHEM___GRP,23843,16.47,0.29,-10.45,1,,,
1/1/2020 3:00,BETHLEHEM___GS1,323560,16.47,0.29,-10.45,1,,,
1/1/2020 3:00,BETHLEHEM___GS2,323561,16.47,0.29,-10.45,1,,,
1/1/2020 3:00,BETHLEHEM___GS3,323562,16.47,0.29,-10.45,1,,,
1/1/2020 3:00,CPV_VALLEY___CC1,323721,13.12,0.31,-7.08,1,,,
1/1/2020 3:00,CPV_VALLEY___CC2,323722,13.12,0.31,-7.08,1,,,
1/1/2020 3:00,INDIAN POINT___3,23531,14.14,0.38,-8.04,1,,,
1/1/2020 3:00,NIAGARA_115E_LBMP,323715,6.7,-0.27,-1.24,1,,,
1/1/2020 3:00,NIAGARA_115W_LBMP,323714,6.78,-0.18,-1.24,1,,,
1/1/2020 3:00,NIAGARA_230_LBMP,323716,6.76,-0.18,-1.22,1,,,
1/1/2020 3:00,NIAGARA____,23760,6.71,-0.26,-1.24,1,,,
1/1/2020 3:00,NINE_MILE_2,23744,6.1,-0.14,-0.51,1,,,
1/1/2020 3:00,NORTHPORT___1,23551,14.4,0.58,-8.1,1,,,
1/1/2020 3:00,NORTHPORT___2,23552,14.4,0.58,-8.1,1,,,
1/1/2020 3:00,NORTHPORT___3,23553,14.3,0.49,-8.1,1,,,
1/1/2020 3:00,NORTHPORT___4,23650,14.3,0.49,-8.1,1,,,
1/1/2020 3:00,NORTHPORT___IC,23718,14.4,0.58,-8.1,1,,,
1/1/2020 4:00,BETHLEHEM___GRP,23843,16.97,0.28,-11.46,1,,,
1/1/2020 4:00,BETHLEHEM___GS1,323560,16.97,0.28,-11.46,1,,,
1/1/2020 4:00,BETHLEHEM___GS2,323561,16.97,0.28,-11.46,1,,,
1/1/2020 4:00,BETHLEHEM___GS3,323562,16.97,0.28,-11.46,1,,,
1/1/2020 4:00,CPV_VALLEY___CC1,323721,13.27,0.28,-7.76,1,,,
1/1/2020 4:00,CPV_VALLEY___CC2,323722,13.27,0.28,-7.76,1,,,
1/1/2020 4:00,INDIAN POINT___3,23531,14.37,0.34,-8.81,1,,,
1/1/2020 4:00,NIAGARA_115E_LBMP,323715,6.37,-0.22,-1.36,1,,,
1/1/2020 4:00,NIAGARA_115W_LBMP,323714,6.44,-0.14,-1.36,1,,,
