Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
07/23/2025 00:00,CENTRAL EAST - VC,23330,1149.61,3065,-9999
07/23/2025 00:00,DYSINGER EAST,23326,74.72,2850,-9999
07/23/2025 00:00,MOSES SOUTH,23319,265.08,3150,-1600
07/23/2025 00:00,SCH - HQ - NY,23324,-231,1500,-980
07/23/2025 00:00,SCH - HQ_CEDARS,325274,0,270,-40
07/23/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-231,1310,-9999
07/23/2025 00:00,SCH - NE - NY,23318,-369.72,1400,-1600
07/23/2025 00:00,SCH - NPX_1385,325277,27,125,-125
07/23/2025 00:00,SCH - NPX_CSC,325154,330,330,-330
07/23/2025 00:00,SCH - OH - NY,23317,890.48,2000,-1600
07/23/2025 00:00,SCH - PJ - NY,23316,643.4,2000,-1050
07/23/2025 00:00,SCH - PJM_HTP,325905,660,660,-660
07/23/2025 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
07/23/2025 00:00,SCH - PJM_VFT,325658,315,315,-315
07/23/2025 00:00,SPR/DUN-SOUTH,23320,2030.37,4600,-9999
07/23/2025 00:00,TOTAL EAST,23314,1487.24,7550,-9999
07/23/2025 00:00,UPNY CONED,23315,3200.57,6615,-9999
07/23/2025 00:00,WEST CENTRAL,23312,-324.68,9999,-9999
07/23/2025 00:05,CENTRAL EAST - VC,23330,1227.8,3065,-9999
07/23/2025 00:05,DYSINGER EAST,23326,234.03,2850,-9999
07/23/2025 00:05,MOSES SOUTH,23319,133.31,3150,-1600
07/23/2025 00:05,SCH - HQ - NY,23324,-253,1500,-980
07/23/2025 00:05,SCH - HQ_CEDARS,325274,0,270,-40
07/23/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,-253,1310,-9999
07/23/2025 00:05,SCH - NE - NY,23318,-342.66,1400,-1600
07/23/2025 00:05,SCH - NPX_1385,325277,-18,125,-125
07/23/2025 00:05,SCH - NPX_CSC,325154,330,330,-330
07/23/2025 00:05,SCH - OH - NY,23317,894.46,2000,-1600
07/23/2025 00:05,SCH - PJ - NY,23316,901.69,2000,-1050
07/23/2025 00:05,SCH - PJM_HTP,325905,660,660,-660
07/23/2025 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
07/23/2025 00:05,SCH - PJM_VFT,325658,315,315,-315
07/23/2025 00:05,SPR/DUN-SOUTH,23320,2075.65,4600,-9999
07/23/2025 00:05,TOTAL EAST,23314,1724.27,7550,-9999
07/23/2025 00:05,UPNY CONED,23315,3355.11,6615,-9999
07/23/2025 00:05,WEST CENTRAL,23312,-154.27,9999,-9999
07/23/2025 00:10,CENTRAL EAST - VC,23330,1259.88,3065,-9999
07/23/2025 00:10,DYSINGER EAST,23326,325.02,2850,-9999
07/23/2025 00:10,MOSES SOUTH,23319,81.82,3150,-1600
07/23/2025 00:10,SCH - HQ - NY,23324,-253,1500,-980
07/23/2025 00:10,SCH - HQ_CEDARS,325274,0,270,-40
07/23/2025 00:10,SCH - HQ_IMPORT_EXPORT,325376,-253,1310,-9999
07/23/2025 00:10,SCH - NE - NY,23318,-337.64,1400,-1600
07/23/2025 00:10,SCH - NPX_1385,325277,-18,125,-125
07/23/2025 00:10,SCH - NPX_CSC,325154,330,330,-330
07/23/2025 00:10,SCH - OH - NY,23317,898.07,2000,-1600
07/23/2025 00:10,SCH - PJ - NY,23316,894.95,2000,-1050
07/23/2025 00:10,SCH - PJM_HTP,325905,660,660,-660
07/23/2025 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
07/23/2025 00:10,SCH - PJM_VFT,325658,315,315,-315
07/23/2025 00:10,SPR/DUN-SOUTH,23320,2045.19,4600,-9999
