scenario_id,vintage,campaign_role,dataset_split,timestamp,timestamp_utc,input_coverage_qualified,status,skip_reason,solver_attempt_count,electrical_baseline_qualified,ny_bus_count,generator_record_count,source_prior_total_benchmark_mw,unrepresented_prior_total_mw,load_boundary_accounting_error_mw,gross_load_benchmark_mw,scheduled_import_benchmark_mw,internal_interface_targets_used,observed_zonal_generation_validated,dlr_ready
S1_2019_SUMMER_PEAK_PUBLIC,2019,revisited_diagnostic,source_only_prediction,2019-07-20 16:00,2019-07-20T20:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,51,35,9744.98237978785,720.435190261826,1.81898940354586e-12,10902.2197987,1167.7625412471,0,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019,revisited_diagnostic,source_only_prediction,2019-01-21 18:00,2019-01-21T23:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,51,35,7911.37136746592,747.356650361836,0,8868.85604434447,933.510199308108,0,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,revisited_diagnostic,source_only_prediction,2019-04-21 04:00,2019-04-21T08:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,51,35,3928.696351273,745.976175912286,0,4286.40812175727,569.299768185107,0,0,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,revisited_diagnostic,source_only_prediction,2019-07-17 16:00,2019-07-17T20:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,51,35,9466.32155708879,725.868562989112,0,10515.868849519,1056.81647908315,0,0,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,revisited_diagnostic,source_only_prediction,2019-07-17 08:00,2019-07-17T12:00:00Z,0,skipped_missing_source_or_boundary_coverage,snapshot_boundary_coverage_unqualified; ten_nonoverlapping_boundary_channels_not_fully_covered,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,revisited_diagnostic,source_only_prediction,2019-07-27 02:00,2019-07-27T06:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,51,35,5267.55255010349,727.67577492547,0,6074.01651928139,808.754924142521,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,2025,revisited_diagnostic,source_only_prediction,2025-07-29 18:00,2025-07-29T22:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,10281.2177511852,8.41600437481465,1.81898940354586e-12,10902.2197987,579.886615973168,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,2025,revisited_diagnostic,source_only_prediction,2025-01-22 18:00,2025-01-22T23:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,6777.82505267902,10.820228491762,0,8367.92367528293,1596.16222064125,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,revisited_diagnostic,source_only_prediction,2025-04-20 13:00,2025-04-20T17:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,3740.54231072967,8.1315623317376,5.6843418860808e-14,3942.95320450423,286.360492167209,0,0,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,revisited_diagnostic,source_only_prediction,2025-07-29 17:00,2025-07-29T21:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,10344.8604061101,8.67169734980036,1.13686837721616e-13,10820.2258946016,429.77270772048,0,0,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025,revisited_diagnostic,source_only_prediction,2025-07-17 16:00,2025-07-17T20:00:00Z,0,skipped_missing_source_or_boundary_coverage,snapshot_boundary_coverage_unqualified; ten_nonoverlapping_boundary_channels_not_fully_covered,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025,revisited_diagnostic,source_only_prediction,2025-07-27 17:00,2025-07-27T21:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,8084.4080250292,7.57219720753448,0,8489.15167611794,386.619834473804,0,0,0
V1_2025_JAN15_EVENING,2025,calendar_selected_unseen_validation,source_only_prediction,2025-01-15 18:00,2025-01-15T23:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,6667.56951460109,11.3947173230667,2.27373675443232e-13,7933.09053779488,1269.93745863483,0,0,0
V2_2025_APR15_MIDDAY,2025,calendar_selected_unseen_validation,source_only_prediction,2025-04-15 13:00,2025-04-15T17:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,5223.08559162724,5.43258106450447,7.105427357601e-14,5322.96708859025,110.232176592578,0,0,0
V3_2025_JUL15_EVENING,2025,calendar_selected_unseen_validation,source_only_prediction,2025-07-15 18:00,2025-07-15T22:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,8903.65776384464,8.0277161599241,0,9900.67112023258,928.913136367996,0,0,0
V4_2025_JUL25_NIGHT,2025,calendar_selected_unseen_validation,source_only_prediction,2025-07-25 04:00,2025-07-25T08:00:00Z,1,bounded_source_prior_reconstruction_passed,,1,1,66,37,5972.00204098338,11.5870258384604,9.09494701772928e-13,6727.1788229159,1182.09916312685,0,0,0
