scenario_id,attempt_index,solver,opf_start,optimizer_called,bounded_audit_pass,independent_pf_audit_pass,hardware_frozen,electrical_baseline_qualified,solver_or_replay_error,internal_interface_targets_used,bounds_relaxed
S1_2019_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S2_2019_WINTER_PEAK_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S2_2025_WINTER_PEAK_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,MIPS,0,1,1,1,1,1, |  | ,0,0
V1_2025_JAN15_EVENING,1,MIPS,0,1,1,1,1,1, |  | ,0,0
V2_2025_APR15_MIDDAY,1,MIPS,0,1,1,1,1,1, |  | ,0,0
V3_2025_JUL15_EVENING,1,MIPS,0,1,1,1,1,1, |  | ,0,0
V4_2025_JUL25_NIGHT,1,MIPS,0,1,1,1,1,1, |  | ,0,0
