scenario_id,interface_name,model_flow_mw,previous_operator_model_flow_mw,campaign_role,vintage,electrical_baseline_qualified,internal_interface_targets_used,actual_flow_mw,target_flow_mw,target_coverage_qualified,backward_hold_mean_mw,linear_mean_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,scale_factor_gamma,residual_mw,absolute_residual_mw,previous_operator_absolute_residual_mw,normalized_absolute_error_floor100,observation_scale_residual_mw,used_in_prior,used_in_optimizer,exact_public_operator,methodology_freeze_sha256
S1_2019_SUMMER_PEAK_PUBLIC,Dysinger_East,613.673313529298,510.521633506632,revisited_diagnostic,2019,1,0,1482.8173333333334,531.8305646076483,True,1480.9575,1481.8874166666665,1479.124,1486.5106666666668,0.358662225381536,81.84274892164967,81.84274892164967,21.3089311010163,0.15388876527250403,228.1889285513337,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2019_SUMMER_PEAK_PUBLIC,West_Central,197.472027260614,94.3203472379475,revisited_diagnostic,2019,1,0,310.0936666666667,111.21888456338692,True,307.66333333333336,308.87850000000003,306.85116666666664,313.3361666666667,0.358662225381536,86.25314269722708,86.25314269722708,16.89853732543942,0.7755260541933314,240.4857177403422,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2019_SUMMER_PEAK_PUBLIC,Moses_South,851.54178652375,851.54178652375,revisited_diagnostic,2019,1,0,2168.7616666666668,777.8528856888357,True,2166.1543333333334,2167.458,2168.5583333333334,2168.965,0.358662225381536,73.6889008349143,73.6889008349143,73.6889008349143,0.09473372432070921,205.45486984732187,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2019_SUMMER_PEAK_PUBLIC,Central_East,1191.87873645933,1191.87873645933,revisited_diagnostic,2019,1,0,2400.1305,860.8361463360986,True,2389.7693333333336,2394.9499166666665,2398.5805,2401.6804999999995,0.358662225381536,331.0425901232313,331.0425901232313,331.0425901232313,0.38455935143083714,922.9926284293708,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2019_SUMMER_PEAK_PUBLIC,Total_East_proxy,1557.62027077116,1804.36566218109,revisited_diagnostic,2019,1,0,4377.2165,1569.9422108667784,True,4345.4975,4361.357,4376.288166666667,4378.144833333334,0.358662225381536,-12.321940095618402,12.321940095618402,234.4234513143117,0.007848658383938447,-34.355276981038706,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2019_SUMMER_PEAK_PUBLIC,UPNY_ConEd,1477.46753702874,1477.46753702874,revisited_diagnostic,2019,1,0,3535.8261666666663,1268.1672814989324,True,3525.8685000000005,3530.8473333333336,3527.667,3543.985333333333,0.358662225381536,209.3002555298076,209.3002555298076,209.3002555298076,0.16504151982412094,583.5581243805622,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2019_SUMMER_PEAK_PUBLIC,Dunwoodie_South,844.533931136384,844.533931136384,revisited_diagnostic,2019,1,0,2936.577,1053.2392418242348,True,2944.7920000000004,2940.6845000000003,2927.962,2945.192,0.358662225381536,-208.70531068785078,208.70531068785078,208.70531068785078,0.1981556539104718,-581.8993356934515,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,Dysinger_East,760.778844806405,635.056560823656,revisited_diagnostic,2019,1,0,2256.480833333333,809.3144372141163,True,2266.0391666666665,2261.26,2256.480833333333,2256.480833333333,0.358662225381536,-48.535592407711306,48.535592407711306,174.2578763904603,0.059971242542990105,-135.32395934944176,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,West_Central,440.417944588885,314.695660606136,revisited_diagnostic,2019,1,0,1349.2308333333333,483.91813323671767,True,1361.6275,1355.4291666666666,1349.2308333333333,1349.2308333333333,0.358662225381536,-43.50018864783266,43.50018864783266,169.22247263058165,0.08989162765379102,-121.28455568901417,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,Moses_South,518.768095726993,518.768095726993,revisited_diagnostic,2019,1,0,1060.32,380.2967308165503,True,1059.815833333333,1060.0679166666666,1060.32,1060.32,0.358662225381536,138.47136491044273,138.47136491044273,138.47136491044273,0.3641140028028254,386.0773594518918,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,Central_East,1485.78624446379,1485.78624446379,revisited_diagnostic,2019,1,0,2732.7825,980.1458529337174,True,2728.685833333333,2730.7341666666666,2732.7825,2732.7825,0.358662225381536,505.6403915300725,505.6403915300725,505.6403915300725,0.515882804601599,1409.7955004661692,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,Total_East_proxy,2023.59102086567,1750.19723589063,revisited_diagnostic,2019,1,0,4722.581666666667,1693.81165011271,True,4660.885,4691.733333333334,4722.581666666667,4722.581666666667,0.358662225381536,329.7793707529602,329.7793707529602,56.38558577792014,0.19469660084757118,919.4705977250574,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,UPNY_ConEd,1397.85578996956,1397.85578996956,revisited_diagnostic,2019,1,0,2654.6116666666667,952.108927890455,True,2651.155,2652.883333333333,2654.6116666666667,2654.6116666666667,0.358662225381536,445.746862079105,445.746862079105,445.746862079105,0.46816792598166923,1242.8040382700756,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,Dunwoodie_South,873.55298943289,873.55298943289,revisited_diagnostic,2019,1,0,2546.810833333333,913.4448411091377,True,2544.721666666667,2545.76625,2546.810833333333,2546.810833333333,0.358662225381536,-39.89185167624771,39.89185167624771,39.89185167624771,0.04367187801707828,-111.22401204590682,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Dysinger_East,726.071217049176,586.672409454573,revisited_diagnostic,2019,1,0,925.8366666666668,332.0626392064901,True,924.3841666666668,925.1104166666668,925.8366666666668,925.8366666666668,0.358662225381536,394.0085778426859,394.0085778426859,254.6097702480829,1.1865489558964666,1098.5505301639985,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,West_Central,684.559091690025,545.160284095422,revisited_diagnostic,2019,1,0,757.6,271.7225019490517,True,754.8633333333333,756.2316666666667,757.6,757.6,0.358662225381536,412.83658974097324,412.83658974097324,273.43778214637024,1.5193316224446534,1151.0456371640696,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Moses_South,357.259910227655,357.259910227655,revisited_diagnostic,2019,1,0,855.1891666666667,306.724049638848,True,860.205,857.6970833333334,855.1891666666667,855.1891666666667,0.358662225381536,50.535860588807,50.535860588807,50.535860588807,0.16476002011681318,140.9009843036807,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Central_East,1291.58892369687,1291.58892369687,revisited_diagnostic,2019,1,0,1882.13,675.0489342573504,True,1883.4383333333333,1882.7841666666664,1882.13,1882.13,0.358662225381536,616.5399894395197,616.5399894395197,616.5399894395197,0.9133263651735131,1718.9989516840242,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Total_East_proxy,1690.45334489905,1414.79574973892,revisited_diagnostic,2019,1,0,3579.438333333333,1283.8093182493096,True,3587.58,3583.5091666666667,3579.438333333333,3579.438333333333,0.358662225381536,406.64402664974045,406.64402664974045,130.98643148961037,0.31674799432385187,1133.7799128892443,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,UPNY_ConEd,1322.3298106398,1322.3298106398,revisited_diagnostic,2019,1,0,1446.5308333333332,518.8159677663411,True,1459.2808333333332,1452.9058333333332,1446.5308333333332,1446.5308333333332,0.358662225381536,803.5138428734588,803.5138428734588,803.5138428734588,1.5487453987448143,2240.307972267502,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
