scenario_id,vintage,timestamp_local_requested,timestamp_utc_requested,scale_factor_gamma,fuel_category,source_timestamp,source_time_zone,source_generation_mw,source_csv_line,source_id,source_sha256
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 14:50:00,EDT,9479.0,1241,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 14:55:00,EDT,9444.0,1248,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:00:00,EDT,9404.0,1255,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:05:00,EDT,9386.0,1262,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:10:00,EDT,9390.0,1269,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:15:00,EDT,9402.0,1276,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:20:00,EDT,9439.0,1283,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:25:00,EDT,9453.0,1290,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:30:00,EDT,9475.0,1297,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,Dual Fuel,2019-07-20 15:35:00,EDT,9540.0,1304,NYISO:P63:20190720,667f047faf5033e5790047f100e51fd047ae3f0637f1aa35101d2522f3679383
