interface,source_branch_row,stable_key,from_bus,to_bus,coefficient,ny_only_branch_row,metered_quantity,origin
Dysinger East,33,NYGRID2019:BRANCH:33:F53:T55:PAR1,53,55,-1.0,30,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Dysinger East,35,NYGRID2019:BRANCH:35:F54:T52:PAR1,54,52,1.0,32,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Dysinger East,38,NYGRID2019:BRANCH:38:F54:T62:PAR1,54,62,1.0,35,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Dysinger East,48,NYGRID2019:BRANCH:48:F58:T62:PAR1,58,62,1.0,43,DC_from_terminal_PF,released_if_map_semantic_operator_correction
West Central,29,NYGRID2019:BRANCH:29:F50:T52:PAR1,50,52,-1.0,26,DC_from_terminal_PF,released_if_map_semantic_operator_correction
West Central,30,NYGRID2019:BRANCH:30:F51:T53:PAR1,51,53,-1.0,27,DC_from_terminal_PF,released_if_map_semantic_operator_correction
West Central,34,NYGRID2019:BRANCH:34:F53:T65:PAR1,53,65,1.0,31,DC_from_terminal_PF,released_if_map_semantic_operator_correction
West Central,51,NYGRID2019:BRANCH:51:F62:T63:PAR1,62,63,1.0,46,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Total East,3,NYGRID2019:BRANCH:3:F37:T38:PAR1,37,38,-1.0,1,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Total East,6,NYGRID2019:BRANCH:6:F37:T43:PAR1,37,43,-1.0,4,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Total East,8,NYGRID2019:BRANCH:8:F38:T77:PAR1,38,77,1.0,6,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Total East,12,NYGRID2019:BRANCH:12:F40:T44:PAR1,40,44,-1.0,10,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Total East,14,NYGRID2019:BRANCH:14:F41:T45:PAR1,41,45,-1.0,12,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Moses South,19,NYGRID2019:BRANCH:19:F44:T48:PAR1,44,48,-1.0,17,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Moses South,24,NYGRID2019:BRANCH:24:F46:T49:PAR1,46,49,-1.0,22,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Moses South,25,NYGRID2019:BRANCH:25:F47:T48:PAR1,47,48,-1.0,23,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Central East,3,NYGRID2019:BRANCH:3:F37:T38:PAR1,37,38,-1.0,1,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Central East,6,NYGRID2019:BRANCH:6:F37:T43:PAR1,37,43,-1.0,4,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Central East,12,NYGRID2019:BRANCH:12:F40:T44:PAR1,40,44,-1.0,10,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Central East,14,NYGRID2019:BRANCH:14:F41:T45:PAR1,41,45,-1.0,12,DC_from_terminal_PF,released_if_map_semantic_operator_correction
UpNY-Coned,66,NYGRID2019:BRANCH:66:F73:T74:PAR1,73,74,1.0,59,DC_from_terminal_PF,released_if_map_semantic_operator_correction
UpNY-Coned,67,NYGRID2019:BRANCH:67:F74:T77:PAR1,74,77,-1.0,60,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Dun/SPR-South,74,NYGRID2019:BRANCH:74:F78:T81:PAR1,78,81,1.0,66,DC_from_terminal_PF,released_if_map_semantic_operator_correction
Dun/SPR-South,75,NYGRID2019:BRANCH:75:F78:T82:PAR1,78,82,1.0,67,DC_from_terminal_PF,released_if_map_semantic_operator_correction
