source_branch_row,stable_key,from_bus,to_bus,parallel_ordinal,role,ny_only_row,r_pu,x_pu,b_pu,rate_a,tap,shift_deg,status,physical_circuit_identity_verified,identity_scope
1,NYGRID2019:BRANCH:1:F29:T37:PAR1,29,37,1,NY_external_crossing,,0.0035,0.0411,0.0,200.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
2,NYGRID2019:BRANCH:2:F35:T73:PAR1,35,73,1,NY_external_crossing,,0.0023,0.0363,0.0,1400.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
3,NYGRID2019:BRANCH:3:F37:T38:PAR1,37,38,1,NY_internal,1,0.0016,0.0163,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
4,NYGRID2019:BRANCH:4:F37:T39:PAR1,37,39,1,NY_internal,2,0.0008,0.0074,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
5,NYGRID2019:BRANCH:5:F37:T40:PAR1,37,40,1,NY_internal,3,0.0009,0.0315,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
6,NYGRID2019:BRANCH:6:F37:T43:PAR1,37,43,1,NY_internal,4,0.0013,0.0188,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
7,NYGRID2019:BRANCH:7:F38:T69:PAR1,38,69,1,NY_internal,5,0.0043,0.0485,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
8,NYGRID2019:BRANCH:8:F38:T77:PAR1,38,77,1,NY_internal,6,0.02,0.0147,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
9,NYGRID2019:BRANCH:9:F39:T73:PAR1,39,73,1,NY_internal,7,0.0019,0.0183,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
10,NYGRID2019:BRANCH:10:F39:T73:PAR2,39,73,2,NY_internal,8,0.0019,0.0183,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
11,NYGRID2019:BRANCH:11:F40:T41:PAR1,40,41,1,NY_internal,9,0.0,0.0161,0.0,0.0,1.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
12,NYGRID2019:BRANCH:12:F40:T44:PAR1,40,44,1,NY_internal,10,0.008,0.053,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
13,NYGRID2019:BRANCH:13:F41:T42:PAR1,41,42,1,NY_internal,11,0.0018,0.0089,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
14,NYGRID2019:BRANCH:14:F41:T45:PAR1,41,45,1,NY_internal,12,0.0776,0.2241,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
15,NYGRID2019:BRANCH:15:F43:T38:PAR1,43,38,1,NY_internal,13,0.02,0.0427,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
16,NYGRID2019:BRANCH:16:F43:T44:PAR1,43,44,1,NY_internal,14,0.0,0.011,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
17,NYGRID2019:BRANCH:17:F43:T50:PAR1,43,50,1,NY_internal,15,0.0025,0.0268,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
18,NYGRID2019:BRANCH:18:F44:T45:PAR1,44,45,1,NY_internal,16,0.0,0.0205,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
19,NYGRID2019:BRANCH:19:F44:T48:PAR1,44,48,1,NY_internal,17,0.015,0.105,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
20,NYGRID2019:BRANCH:20:F45:T46:PAR1,45,46,1,NY_internal,18,0.1235,0.3548,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
21,NYGRID2019:BRANCH:21:F45:T51:PAR1,45,51,1,NY_internal,19,0.0605,0.1896,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
22,NYGRID2019:BRANCH:22:F45:T71:PAR1,45,71,1,NY_internal,20,0.1751,0.5575,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
23,NYGRID2019:BRANCH:23:F46:T47:PAR1,46,47,1,NY_internal,21,0.0632,0.121,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
24,NYGRID2019:BRANCH:24:F46:T49:PAR1,46,49,1,NY_internal,22,0.164,0.578,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
25,NYGRID2019:BRANCH:25:F47:T48:PAR1,47,48,1,NY_internal,23,0.0,0.033,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
26,NYGRID2019:BRANCH:26:F48:T100:PAR1,48,100,1,NY_external_crossing,,0.001,0.1595,0.0,450.0,1.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
27,NYGRID2019:BRANCH:27:F49:T48:PAR1,49,48,1,NY_internal,24,0.0156,0.1536,0.0,0.0,1.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
28,NYGRID2019:BRANCH:28:F50:T51:PAR1,50,51,1,NY_internal,25,0.0,0.0207,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
29,NYGRID2019:BRANCH:29:F50:T52:PAR1,50,52,1,NY_internal,26,0.002,0.022,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
30,NYGRID2019:BRANCH:30:F51:T53:PAR1,51,53,1,NY_internal,27,0.0844,0.2161,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
31,NYGRID2019:BRANCH:31:F51:T72:PAR1,51,72,1,NY_internal,28,0.0051,0.0232,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
32,NYGRID2019:BRANCH:32:F52:T53:PAR1,52,53,1,NY_internal,29,0.0014,0.0388,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
33,NYGRID2019:BRANCH:33:F53:T55:PAR1,53,55,1,NY_internal,30,0.03,0.107,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
34,NYGRID2019:BRANCH:34:F53:T65:PAR1,53,65,1,NY_internal,31,0.035,0.08,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
35,NYGRID2019:BRANCH:35:F54:T52:PAR1,54,52,1,NY_internal,32,0.002,0.0233,0.0,0.0,1.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
36,NYGRID2019:BRANCH:36:F54:T55:PAR1,54,55,1,NY_internal,33,0.0,0.013,0.0,0.0,1.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
37,NYGRID2019:BRANCH:37:F54:T56:PAR1,54,56,1,NY_internal,34,0.01,0.008,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
38,NYGRID2019:BRANCH:38:F54:T62:PAR1,54,62,1,NY_internal,35,0.008,0.069,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
39,NYGRID2019:BRANCH:39:F54:T102:PAR1,54,102,1,NY_external_crossing,,0.0016,0.0248,0.0,650.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
40,NYGRID2019:BRANCH:40:F54:T103:PAR1,54,103,1,NY_external_crossing,,0.0016,0.0248,0.0,650.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
41,NYGRID2019:BRANCH:41:F55:T57:PAR1,55,57,1,NY_internal,36,0.0074,0.04,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
42,NYGRID2019:BRANCH:42:F55:T59:PAR1,55,59,1,NY_internal,37,0.016,0.0817,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
43,NYGRID2019:BRANCH:43:F56:T57:PAR1,56,57,1,NY_internal,38,0.0,0.142,0.0,0.0,1.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
44,NYGRID2019:BRANCH:44:F56:T58:PAR1,56,58,1,NY_internal,39,0.002,0.015,0.0,0.0,0.0,0.0,1,False,pinned_reduced_model_record_not_owner_circuit_identifier
