timestamp,source_branch_row,stable_key,ny_bus,external_bus,ny_injection_mw,source_pf_mw,pf_to_ny_injection_sign,basis
2019-07-17T16:00:00,26,NYGRID2019:BRANCH:26:F48:T100:PAR1,48,100,220.95045069828032,-220.95045069828032,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-17T16:00:00,39,NYGRID2019:BRANCH:39:F54:T102:PAR1,54,102,156.275857161571,-156.275857161571,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-17T16:00:00,40,NYGRID2019:BRANCH:40:F54:T103:PAR1,54,103,179.77452547346786,-179.77452547346786,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-17T16:00:00,58,NYGRID2019:BRANCH:58:F66:T134:PAR1,66,134,1938.2888221769108,-1938.2888221769108,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-17T16:00:00,61,NYGRID2019:BRANCH:61:F67:T138:PAR1,67,138,-477.73691691743744,477.73691691743744,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-17T16:00:00,70,NYGRID2019:BRANCH:70:F75:T124:PAR1,75,124,-468.86023859281715,468.86023859281715,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,1,NYGRID2019:BRANCH:1:F29:T37:PAR1,37,29,-676.7967808451526,-676.7967808451526,1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,2,NYGRID2019:BRANCH:2:F35:T73:PAR1,73,35,-552.5586037702393,-552.5586037702393,1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,26,NYGRID2019:BRANCH:26:F48:T100:PAR1,48,100,88.74284950722391,-88.74284950722391,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,39,NYGRID2019:BRANCH:39:F54:T102:PAR1,54,102,269.5801707995173,-269.5801707995173,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
