weather_scenario,synthetic_electrothermal_qualified,independent_PF_pass,iterations,max_conductor_temperature_c,max_heat_residual_w_m,max_Joule_identity_error_mw,max_ampacity_fraction,dispatch_L1_change_from_source_electrical_reference_mw,solver_error
static_reference,1,1,14,74.9999999757922,0.00560315872102812,8.88178419700125e-16,0.999999999506053,216.628992531874,
windy_mild,1,1,15,49.2170438062236,0.00884530282638796,1.77635683940025e-15,0.670466588292713,1.47436004325422,
hot_low_wind,1,1,13,74.9999999998453,0.0047742091878451,4.44089209850063e-16,1.00000000011992,724.568086502481,
cool_windy,1,1,15,31.7581179681645,0.00950417395848208,7.105427357601e-15,0.647248772073915,2.5410493528717,
