weather_scenario,saved_qualified,passed,fresh_P_adjustment_mw,fresh_VM_adjustment_pu,fresh_max_heat_residual_w_m,fresh_max_ampacity_fraction
static_reference,1,1,1.00367338973228e-06,9.95357130051389e-11,0.00560315872102812,0.999999999506053
windy_mild,1,1,2.53323742072098e-06,3.90528276383861e-10,0.00884530282638796,0.670466588292713
hot_low_wind,1,1,1.06479548662719e-05,1.38282274519952e-10,0.0047742091878451,1.00000000011992
cool_windy,1,1,2.77091317002487e-07,4.96331864496824e-11,0.00950417395848208,0.647248772073915
