branch_row,branch_key,conductor_code,circuits,bundle_count,equipment_limit_mva,declared_asset_kind,full_branch_row,source_class,equipment_limit_policy,reference_resistance_policy,multiplicity_policy,declared_planning_length_miles,conductor_choice_basis,physical_conductor_verified,observed_weather
82,PERFORM2019:AC:651:858:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,247,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
83,PERFORM2019:AC:651:858:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,248,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
84,PERFORM2019:AC:651:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,249,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
85,PERFORM2019:AC:651:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,250,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
86,PERFORM2019:AC:858:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,251,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
87,PERFORM2019:AC:858:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,252,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
88,PERFORM2019:AC:897:902:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,253,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
89,PERFORM2019:AC:897:902:2,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,254,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
90,PERFORM2019:AC:774:1519:1,CARDINAL_954_ACSR,1,2,1216,assumed_overhead_AC,255,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
91,PERFORM2019:AC:774:900:1,CARDINAL_954_ACSR,1,2,1725,assumed_overhead_AC,256,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
