model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,160.236592293099,0,-160.236592293099,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,152.028750227271,38.1019963878868,0,0,152.028750227271,38.1019963878868,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,593.012191770134,91.6110780174004,0,0,593.012191770134,91.6110780174004,0.798175598482101,0.154484307892461
42,F,204.597757,149.947368629697,12.4591066103665,0,0,149.947368629697,12.4591066103665,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,451.158416699447,25.9185330803689,0,0,451.158416699447,25.9185330803689,1,0.0574488519353842
46,D,26.5861492,7.87912830023259,-12.5953913160122,0,0,7.87912830023259,-12.5953913160122,0.0303030303168461,-1.59857675063375
47,D,610.325512,180.877380089071,29.6362148612052,0,0,180.877380089071,29.6362148612052,0.695652174150916,0.163846993176323
48,D,0,0,0,-407.08380493947,0,407.08380493947,0,0,0.250623624353469
49,D,240.431262,71.2547253998272,5.03815652640489,0,0,71.2547253998272,5.03815652640489,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,457.413744538197,40.5999496965877,0,0,457.413744538197,40.5999496965877,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,748.768203118663,175.451909105777,0,0,748.768203118663,175.451909105777,1,0.234320726194048
54,A,20,8.51911294149064,0,-314.866301921532,0,323.385414863023,0,0.00763005733397711,0
55,A,939,399.972352602986,56.2261454138383,0,0,399.972352602986,56.2261454138383,0.358231191830225,0.140575079872204
56,A,198.818159,84.6877175670122,18.7420484712794,0,0,84.6877175670122,18.7420484712794,0.0758496976102888,0.221307752879856
57,A,277.420687,118.168908242946,-2.55573388244719,0,0,118.168908242946,-2.55573388244719,0.105836787372066,-0.0216278031205366
58,A,97.0972405,41.359117906329,16.1863145888322,0,0,41.359117906329,16.1863145888322,0.0370428755992982,0.391360246741513
59,A,814.923268,347.121167937032,84.3392181207574,0,0,347.121167937032,84.3392181207574,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,116.691796714203,3.40764517659626,0,0,116.691796714203,3.40764517659626,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,89.4803906776315,13.5333165655292,0,0,89.4803906776315,13.5333165655292,0.0924369749543922,0.151243378164109
65,C,105.188677,56.9420665980082,0,0,0,56.9420665980082,0,0.058823529313079,0
66,C,0,0,0,-23.7497534774001,0,23.7497534774001,0,0,0.250623624353469
67,C,0,0,0,-10.1784657760286,0,10.1784657760286,0,0,0.250623624353469
68,C,243.899021,132.030506448627,22.194639167468,0,0,132.030506448627,22.194639167468,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,232.148425527674,28.690631118922,0,0,232.148425527674,28.690631118922,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,380.071875568177,95.2549909697171,240.354888439648,0,139.716987128529,95.2549909697171,0.5,0.250623624353469
74,H,117.903792,201.149793965221,0,0,0,201.149793965221,0,1,0
75,G,0,0,0,-16.9641096267144,0,16.9641096267144,0,0,0.250623624353469
76,G,0,228.043125340906,57.1529945818302,0,0,228.043125340906,57.1529945818302,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,418.565898348084,108.631930030999,0,0,418.565898348084,108.631930030999,1,0.259533637259334
79,J,0,1636.86015086717,410.235823570095,0,0,1636.86015086717,410.235823570095,0.45,0.250623624353469
80,K,809.143671,1597.46063161409,49.3565200120713,486.581652368726,0,1110.87897924537,49.3565200120713,1,0.0308968615784922
81,J,0,363.746700192704,91.1635163489099,396.516073841546,0,-32.7693736488423,91.1635163489099,0.1,0.250623624353469
82,J,0,1636.86015086717,410.235823570095,0,0,1636.86015086717,410.235823570095,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
9101,F,0,0,0,0,0,0,0,0,0
9102,F,0,0,0,0,0,0,0,0,0
9103,F,0,0,0,0,0,0,0,0,0
9104,G,0,0,0,0,0,0,0,0,0
1220,E,0,0,0,0,0,0,0,0,0
1130,J,0,0,0,0,0,0,0,0,0
557,J,0,0,0,0,0,0,0,0,0
1529,J,0,0,0,0,0,0,0,0,0
1493,J,0,0,0,0,0,0,0,0,0
601,J,0,0,0,0,0,0,0,0,0
1129,J,0,0,0,0,0,0,0,0,0
9111,J,0,0,0,0,0,0,0,0,0
9112,J,0,0,0,0,0,0,0,0,0
9113,J,0,0,0,0,0,0,0,0,0
9114,J,0,0,0,0,0,0,0,0,0
