SEQUENCE_NUMBER,CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_FUEL_TYPE,CAMD_LATITUDE,CAMD_LONGITUDE,CAMD_STATUS,CAMD_STATUS_DATE,CAMD_RETIRE_YEAR,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,EIA_NAMEPLATE_CAPACITY,EIA_BOILER_ID,EIA_UNIT_TYPE,EIA_FUEL_TYPE,EIA_LATITUDE,EIA_LONGITUDE,EIA_RETIRE_YEAR,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
5386,NY,Astoria Gas Turbine Power,55243,CT2-1A,2-1,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-1A,2-1,NY,Astoria Gas Turbines,55243,2-1,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5387,NY,Astoria Gas Turbine Power,55243,CT2-1B,2-1,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-1B,2-1,NY,Astoria Gas Turbines,55243,2-1,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5388,NY,Astoria Gas Turbine Power,55243,CT2-2A,2-2,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-2A,2-2,NY,Astoria Gas Turbines,55243,2-2,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5389,NY,Astoria Gas Turbine Power,55243,CT2-2B,2-2,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-2B,2-2,NY,Astoria Gas Turbines,55243,2-2,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5390,NY,Astoria Gas Turbine Power,55243,CT2-3A,2-3,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-3A,2-3,NY,Astoria Gas Turbines,55243,2-3,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5391,NY,Astoria Gas Turbine Power,55243,CT2-3B,2-3,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-3B,2-3,NY,Astoria Gas Turbines,55243,2-3,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5392,NY,Astoria Gas Turbine Power,55243,CT2-4A,2-4,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-4A,2-4,NY,Astoria Gas Turbines,55243,2-4,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5393,NY,Astoria Gas Turbine Power,55243,CT2-4B,2-4,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT2-4B,2-4,NY,Astoria Gas Turbines,55243,2-4,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,2-4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5394,NY,Astoria Gas Turbine Power,55243,CT3-1A,3-1,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-1A,3-1,NY,Astoria Gas Turbines,55243,3-1,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5395,NY,Astoria Gas Turbine Power,55243,CT3-1B,3-1,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-1B,3-1,NY,Astoria Gas Turbines,55243,3-1,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
