source_excel_row,facility_id,unit_id,nyiso_name,nyiso_ptid,zone,epa_facility_name,source_id,source_sha256
74,7909,VB01,Vernon Blvd 2,24162,J,Vernon Boulevard,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
75,7909,VB02,Vernon Blvd 3,24163,J,Vernon Boulevard,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
76,55243,CT2-1A,Astoria GT 2-1,24094,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
77,55243,CT2-1B,Astoria GT 2-1,24094,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
78,55243,CT2-2A,Astoria GT 2-2,24095,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
79,55243,CT2-2B,Astoria GT 2-2,24095,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
80,55243,CT2-3A,Astoria GT 2-3,24096,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
81,55243,CT2-3B,Astoria GT 2-3,24096,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
82,55243,CT2-4A,Astoria GT 2-4,24097,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
83,55243,CT2-4B,Astoria GT 2-4,24097,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
84,55243,CT3-1A,Astoria GT 3-1,24098,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
85,55243,CT3-1B,Astoria GT 3-1,24098,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
86,55243,CT3-2A,Astoria GT 3-2,24099,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
87,55243,CT3-2B,Astoria GT 3-2,24099,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
88,55243,CT3-3A,Astoria GT 3-3,24100,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
89,55243,CT3-3B,Astoria GT 3-3,24100,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
90,55243,CT3-4A,Astoria GT 3-4,24101,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
91,55243,CT3-4B,Astoria GT 3-4,24101,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
92,55243,CT4-1A,Astoria GT 4-1,24102,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
93,55243,CT4-1B,Astoria GT 4-1,24102,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
94,55243,CT4-2A,Astoria GT 4-2,24103,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
95,55243,CT4-2B,Astoria GT 4-2,24103,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
96,55243,CT4-3A,Astoria GT 4-3,24104,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
97,55243,CT4-3B,Astoria GT 4-3,24104,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
98,55243,CT4-4A,Astoria GT 4-4,24105,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
99,55243,CT4-4B,Astoria GT 4-4,24105,J,Astoria Gas Turbine Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
100,2500,CT02-1,Ravenswood 2-1  (IIFO - 4/1/18),24244,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
101,2500,CT02-2,Ravenswood 2-2  (IIFO - 4/1/18),24245,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
102,2500,CT02-3,Ravenswood 2-3  (IIFO - 4/1/18),24246,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
103,2500,CT02-4,Ravenswood 2-4  (IIFO - 4/1/18),24247,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
104,2500,CT03-1,Ravenswood 3-1  (IIFO - 4/1/18),24248,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
