source_excel_row,facility_id,unit_id,nyiso_name,nyiso_ptid,zone,epa_facility_name,source_id,source_sha256
139,8007,U00005,Holtsville 05,23694,K,Holtsville Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
140,8007,U00006,Holtsville 06,23695,K,Holtsville Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
141,8007,U00007,Holtsville 07,23696,K,Holtsville Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
142,8007,U00008,Holtsville 08,23697,K,Holtsville Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
143,8007,U00009,Holtsville 09,23698,K,Holtsville Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
144,8007,U00010,Holtsville 10,23699,K,Holtsville Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
145,55969,U-01,Greenport GT1,23814,K,"Hawkeye Energy Greenport, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
146,55699,2,Far Rockaway GT2,23815,K,Bayswater Peaking Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
147,55699,1,Far Rockaway GT1,24212,K,Bayswater Peaking Facility,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
148,6082,1,Somerset,23543,A,Somerset Operating Company  (Kintigh),NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
149,50472,R1B01,American Ref-Fuel 1,24010,A,Covanta Niagara,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
150,50472,R1B02,American Ref-Fuel 2,24010,A,Covanta Niagara,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
151,2535,1,Cayuga 1,23584,C,"Cayuga Operating Company, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
152,2535,2,Cayuga 2  (IIFO - 7/1/18),23585,C,"Cayuga Operating Company, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
153,2594,5,Oswego 5,23606,C,Oswego Harbor Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
154,2594,6,Oswego 6,23613,C,Oswego Harbor Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
155,2527,6,Greenidge 4,23583,C,Greenidge Generation LLC,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
156,10464,E0001,Fort Drum,23780,E,"Black River Generation, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
157,10464,E0002,Fort Drum,23781,E,"Black River Generation, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
158,10464,E0003,Fort Drum,23782,E,"Black River Generation, LLC",NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
159,8006,1,Roseton 1,23587,G,Roseton Generating LLC,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
160,8006,2,Roseton 2,23588,G,Roseton Generating LLC,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
161,2625,2,Bowline 2,23595,G,Bowline Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
162,2625,1,Bowline 1,23526,G,Bowline Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
163,2480,1,Danskammer 1,23586,G,Danskammer Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
164,2480,2,Danskammer 2,23589,G,Danskammer Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
165,2480,3,Danskammer 3,23590,G,Danskammer Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
166,2480,4,Danskammer 4,23591,G,Danskammer Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
167,8906,31RH,Astoria 3,23516,J,Astoria Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
168,8906,32SH,Astoria 3,23516,J,Astoria Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
169,8906,51RH,Astoria 5,23518,J,Astoria Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
170,8906,52SH,Astoria 5,23518,J,Astoria Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
171,2500,10,Ravenswood ST 01,23533,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
172,2500,30,Ravenswood ST 02,23534,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
173,2500,20,Ravenswood ST 03,23535,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
174,2490,20,Arthur Kill ST 2,23512,J,Arthur Kill,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
175,2493,70,East River 7,23524,J,East River,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
176,2493,60,East River 6,23660,J,East River,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
177,8906,20,Astoria 2,24149,J,Astoria Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
178,2490,30,Arthur Kill ST 3,23513,J,Arthur Kill,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
179,2517,3,Port Jefferson 3,23555,K,Port Jefferson Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
180,2517,4,Port Jefferson 4,23616,K,Port Jefferson Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
181,2511,10,Barrett ST 01,23545,K,E F Barrett,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
182,2511,20,Barrett ST 02,23546,K,E F Barrett,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
183,2516,1,Northport 1,23551,K,Northport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
184,2516,2,Northport 2,23552,K,Northport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
185,2516,4,Northport 4,23650,K,Northport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
186,2516,3,Northport 3,23553,K,Northport,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
