State,Facility Name,Facility ID,Unit ID,Associated Stacks,Date,Hour,Operating Time,Gross Load (MW),Steam Load (1000 lb/hr),SO2 Mass (lbs),SO2 Mass Measure Indicator,SO2 Rate (lbs/mmBtu),SO2 Rate Measure Indicator,CO2 Mass (short tons),CO2 Mass Measure Indicator,CO2 Rate (short tons/mmBtu),CO2 Rate Measure Indicator,NOx Mass (lbs),NOx Mass Measure Indicator,NOx Rate (lbs/mmBtu),NOx Rate Measure Indicator,Heat Input (mmBtu),Heat Input Measure Indicator,Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code,source_row_number,source_record_sha256,source_record_base64
NY,Danskammer Generating Station,2480,1,,2019-01-21,18,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",500,a2ee8e31e20f8fbe254a3c89691a387f37755536ae86ff3d8a4f5eaa7c9f6ae5,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjEiLCwiMjAxOS0wMS0yMSIsMTgsMCwsLCwsLCwsLCwsLCwsLCwsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwiUmVzaWR1YWwgT2lsIiwiVGFuZ2VudGlhbGx5LWZpcmVkIiwsLCwsIkFSUCwgQ1NOT1gsIENTT1NHMiwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,1,,2019-04-21,3,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2645,4b909018e02435ff82d30cb0ea7fe9525940b652025d3768f3b185957fd4022c,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjEiLCwiMjAxOS0wNC0yMSIsMywwLCwsLCwsLCwsLCwsLCwsLCwiUGlwZWxpbmUgTmF0dXJhbCBHYXMiLCJSZXNpZHVhbCBPaWwiLCJUYW5nZW50aWFsbHktZmlyZWQiLCwsLCwiQVJQLCBDU05PWCwgQ1NPU0cyLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,1,,2019-07-17,7,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",4737,fe3f9a4bdc5394cfbdc2c74329d9d5e30a61618793133c526e4d32734a520f3b,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjEiLCwiMjAxOS0wNy0xNyIsNywwLCwsLCwsLCwsLCwsLCwsLCwiUGlwZWxpbmUgTmF0dXJhbCBHYXMiLCJSZXNpZHVhbCBPaWwiLCJUYW5nZW50aWFsbHktZmlyZWQiLCwsLCwiQVJQLCBDU05PWCwgQ1NPU0cyLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,1,,2019-07-17,15,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",4745,ad75d823229462e0ef95eb6183f41ac4890ad90b301212e992f96a262e3c4b6c,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjEiLCwiMjAxOS0wNy0xNyIsMTUsMCwsLCwsLCwsLCwsLCwsLCwsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwiUmVzaWR1YWwgT2lsIiwiVGFuZ2VudGlhbGx5LWZpcmVkIiwsLCwsIkFSUCwgQ1NOT1gsIENTT1NHMiwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,1,,2019-07-20,15,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",4817,6b4a7cc899eae0aef0888f505c27b261efe9a9ca21f0166fb4f7bd1c11bff22c,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjEiLCwiMjAxOS0wNy0yMCIsMTUsMCwsLCwsLCwsLCwsLCwsLCwsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwiUmVzaWR1YWwgT2lsIiwiVGFuZ2VudGlhbGx5LWZpcmVkIiwsLCwsIkFSUCwgQ1NOT1gsIENTT1NHMiwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,1,,2019-07-27,1,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",4971,8b3d7a249856e5bd4f3b275566296ca7c9ce68801460527dd9704c5fc903c2ec,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjEiLCwiMjAxOS0wNy0yNyIsMSwwLCwsLCwsLCwsLCwsLCwsLCwiUGlwZWxpbmUgTmF0dXJhbCBHYXMiLCJSZXNpZHVhbCBPaWwiLCJUYW5nZW50aWFsbHktZmlyZWQiLCwsLCwiQVJQLCBDU05PWCwgQ1NPU0cyLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,2,,2019-01-21,18,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",9260,7a6cc7eba90e3baf204dcab07c9998405078a3957646364a65983131d1bbd2e2,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjIiLCwiMjAxOS0wMS0yMSIsMTgsMCwsLCwsLCwsLCwsLCwsLCwsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwiUmVzaWR1YWwgT2lsIiwiVGFuZ2VudGlhbGx5LWZpcmVkIiwsLCwsIkFSUCwgQ1NOT1gsIENTT1NHMiwgQ1NTTzJHMSwgUkdHSSIK
NY,Danskammer Generating Station,2480,2,,2019-04-21,3,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",11405,8c1ca38262f04e0b139ed927fc001b543b69cc7c5b22b69ce7e01e4b3f0124b7,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjIiLCwiMjAxOS0wNC0yMSIsMywwLCwsLCwsLCwsLCwsLCwsLCwiUGlwZWxpbmUgTmF0dXJhbCBHYXMiLCJSZXNpZHVhbCBPaWwiLCJUYW5nZW50aWFsbHktZmlyZWQiLCwsLCwiQVJQLCBDU05PWCwgQ1NPU0cyLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,2,,2019-07-17,7,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",13497,00ab0b12294d69ce832273b9c8654d85bdd374d9026381be913e1f4bab37fd16,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjIiLCwiMjAxOS0wNy0xNyIsNywwLCwsLCwsLCwsLCwsLCwsLCwiUGlwZWxpbmUgTmF0dXJhbCBHYXMiLCJSZXNpZHVhbCBPaWwiLCJUYW5nZW50aWFsbHktZmlyZWQiLCwsLCwiQVJQLCBDU05PWCwgQ1NPU0cyLCBDU1NPMkcxLCBSR0dJIgo=
NY,Danskammer Generating Station,2480,2,,2019-07-17,15,0,,,,,,,,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",13505,9a565125638816b8308d4ee2d43877ea85074c4b2a4f24bbd90b82c8c799bc72,Ik5ZIiwiRGFuc2thbW1lciBHZW5lcmF0aW5nIFN0YXRpb24iLDI0ODAsIjIiLCwiMjAxOS0wNy0xNyIsMTUsMCwsLCwsLCwsLCwsLCwsLCwsIlBpcGVsaW5lIE5hdHVyYWwgR2FzIiwiUmVzaWR1YWwgT2lsIiwiVGFuZ2VudGlhbGx5LWZpcmVkIiwsLCwsIkFSUCwgQ1NOT1gsIENTT1NHMiwgQ1NTTzJHMSwgUkdHSSIK
