scenario_id,vintage,timestamp_utc_requested,epa_source_unit_rows,annual_reporting_unit_count,gross_value_present_rows,gross_blank_rows,reported_offline_gross_blank_rows,gross_source_total_mwh,gross_zone_mapped_mwh,gross_zone_unmatched_mwh,mapped_share_of_present_gross,complete_NYISO_generation_coverage,observed_net_generation
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20T20:00:00Z,310,310,155,155,142,16210.3,16210.3,0.0,1.0,False,False
S2_2019_WINTER_PEAK_PUBLIC,2019,2019-01-21T23:00:00Z,231,310,65,166,147,10135.0,10135.0,0.0,1.0,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,2019-04-21T08:00:00Z,310,310,18,292,215,2377.0,2377.0,0.0,1.0,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,2019-07-17T20:00:00Z,310,310,161,149,134,16578.09,16578.09,0.0,1.0,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,2019-07-17T12:00:00Z,310,310,77,233,218,9579.65,9579.65,0.0,1.0,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,2019-07-27T06:00:00Z,310,310,40,270,260,5913.95,5913.95,0.0,1.0,False,False
S1_2025_SUMMER_PEAK_PUBLIC,2025,2025-07-29T22:00:00Z,234,234,167,67,58,20022.58,20022.58,0.0,1.0,False,False
S2_2025_WINTER_PEAK_PUBLIC,2025,2025-01-22T23:00:00Z,225,234,63,162,149,10523.6,10523.6,0.0,1.0,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,2025-04-20T17:00:00Z,234,234,21,213,199,2741.0,2741.0,0.0,1.0,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,2025-07-29T21:00:00Z,234,234,151,83,74,19954.9,19954.9,0.0,1.0,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025,2025-07-17T20:00:00Z,234,234,125,109,97,15943.99,15943.99,0.0,1.0,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025,2025-07-27T21:00:00Z,234,234,92,142,131,14287.16,14287.16,0.0,1.0,False,False
V1_2025_JAN15_EVENING,2025,2025-01-15T23:00:00Z,225,234,70,155,143,10062.4,10062.4,0.0,1.0,False,False
V2_2025_APR15_MIDDAY,2025,2025-04-15T17:00:00Z,234,234,38,196,180,6044.4,6044.4,0.0,1.0,False,False
V3_2025_JUL15_EVENING,2025,2025-07-15T22:00:00Z,234,234,120,114,102,15949.2,15949.2,0.0,1.0,False,False
V4_2025_JUL25_NIGHT,2025,2025-07-25T08:00:00Z,234,234,70,164,154,10441.0,10441.0,0.0,1.0,False,False
