scenario_id,vintage,source_time_zone,scale_factor_gamma,timestamp_local_requested,timestamp_utc_requested,interval_start_utc,interval_end_utc,epa_date,epa_hour,epa_timestamp_lst,time_alignment_policy
S1_2019_SUMMER_PEAK_PUBLIC,2019,EDT,0.358662225381536,2019-07-20 16:00,2019-07-20T20:00:00Z,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,2019-07-20,15,2019-07-20 15:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S2_2019_WINTER_PEAK_PUBLIC,2019,EST,0.358662225381536,2019-01-21 18:00,2019-01-21T23:00:00Z,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,2019-01-21,18,2019-01-21 18:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,EDT,0.358662225381536,2019-04-21 04:00,2019-04-21T08:00:00Z,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,2019-04-21,3,2019-04-21 03:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,EDT,0.358662225381536,2019-07-17 16:00,2019-07-17T20:00:00Z,2019-07-17T20:00:00Z,2019-07-17T21:00:00Z,2019-07-17,15,2019-07-17 15:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,EDT,0.358662225381536,2019-07-17 08:00,2019-07-17T12:00:00Z,2019-07-17T12:00:00Z,2019-07-17T13:00:00Z,2019-07-17,7,2019-07-17 07:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,EDT,0.358662225381536,2019-07-27 02:00,2019-07-27T06:00:00Z,2019-07-27T06:00:00Z,2019-07-27T07:00:00Z,2019-07-27,1,2019-07-27 01:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S1_2025_SUMMER_PEAK_PUBLIC,2025,EDT,0.355758660106238,2025-07-29 18:00,2025-07-29T22:00:00Z,2025-07-29T22:00:00Z,2025-07-29T23:00:00Z,2025-07-29,17,2025-07-29 17:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S2_2025_WINTER_PEAK_PUBLIC,2025,EST,0.355758660106238,2025-01-22 18:00,2025-01-22T23:00:00Z,2025-01-22T23:00:00Z,2025-01-23T00:00:00Z,2025-01-22,18,2025-01-22 18:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,EDT,0.355758660106238,2025-04-20 13:00,2025-04-20T17:00:00Z,2025-04-20T17:00:00Z,2025-04-20T18:00:00Z,2025-04-20,12,2025-04-20 12:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,EDT,0.355758660106238,2025-07-29 17:00,2025-07-29T21:00:00Z,2025-07-29T21:00:00Z,2025-07-29T22:00:00Z,2025-07-29,16,2025-07-29 16:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025,EDT,0.355758660106238,2025-07-17 16:00,2025-07-17T20:00:00Z,2025-07-17T20:00:00Z,2025-07-17T21:00:00Z,2025-07-17,15,2025-07-17 15:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025,EDT,0.355758660106238,2025-07-27 17:00,2025-07-27T21:00:00Z,2025-07-27T21:00:00Z,2025-07-27T22:00:00Z,2025-07-27,16,2025-07-27 16:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
V1_2025_JAN15_EVENING,2025,EST,0.355758660106238,2025-01-15 18:00,2025-01-15T23:00:00Z,2025-01-15T23:00:00Z,2025-01-16T00:00:00Z,2025-01-15,18,2025-01-15 18:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
V2_2025_APR15_MIDDAY,2025,EDT,0.355758660106238,2025-04-15 13:00,2025-04-15T17:00:00Z,2025-04-15T17:00:00Z,2025-04-15T18:00:00Z,2025-04-15,12,2025-04-15 12:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
V3_2025_JUL15_EVENING,2025,EDT,0.355758660106238,2025-07-15 18:00,2025-07-15T22:00:00Z,2025-07-15T22:00:00Z,2025-07-15T23:00:00Z,2025-07-15,17,2025-07-15 17:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
V4_2025_JUL25_NIGHT,2025,EDT,0.355758660106238,2025-07-25 04:00,2025-07-25T08:00:00Z,2025-07-25T08:00:00Z,2025-07-25T09:00:00Z,2025-07-25,3,2025-07-25 03:00,NYISO_hour_beginning_UTC_matched_to_EPA_fixed_EST_hour_0_to_23
