scenario_id,vintage,zone,interval_start_utc,interval_end_utc,fuel_category,grid_eligible_gross_clock_hour_mw,all_reported_gross_clock_hour_mw,source_unit_rows,gross_present_rows,gross_missing_rows,grid_eligible_present_rows,zonal_generation_observed,net_generation_observed,geographic_mapping_and_gross_share_proxy
S1_2019_SUMMER_PEAK_PUBLIC,2019,A,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,820.0,820.0,13,7,6,7,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,B,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,80.0,80.0,2,2,0,2,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,C,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,1233.0,1233.0,14,11,3,11,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,D,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,0,0,3,0,3,0,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,E,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,79.0,79.0,6,2,4,2,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,F,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,2437.0,2437.0,14,13,1,13,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,G,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,1689.0,1689.0,12,6,6,6,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,H,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,0,0,0,0,0,0,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,I,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,0,0,0,0,0,0,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,J,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,6444.4,6444.4,142,56,86,55,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,K,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,3427.9,3427.9,79,58,21,58,False,False,True
S1_2019_SUMMER_PEAK_PUBLIC,2019,UNMAPPED,2019-07-20T20:00:00Z,2019-07-20T21:00:00Z,Combined Fossil,0,0,25,0,25,0,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,A,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,987.0,987.0,12,7,5,7,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,B,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,46.0,46.0,2,1,1,1,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,C,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,1721.0,1721.0,14,8,6,8,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,D,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,151.0,151.0,3,1,2,1,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,E,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,0,0,6,0,6,0,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,F,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,677.0,677.0,14,4,10,4,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,G,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,675.0,675.0,12,2,10,2,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,H,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,0,0,0,0,0,0,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,I,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,0,0,0,0,0,0,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,J,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,3887.0,3887.0,69,19,50,19,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,K,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,1991.0,1991.0,79,23,56,23,False,False,True
S2_2019_WINTER_PEAK_PUBLIC,2019,UNMAPPED,2019-01-21T23:00:00Z,2019-01-22T00:00:00Z,Combined Fossil,0,0,20,0,20,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,A,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,0,0,13,0,13,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,B,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,0,0,2,0,2,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,C,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,274.0,274.0,14,1,13,1,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,D,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,0,0,3,0,3,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,E,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,0,0,6,0,6,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,F,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,111.0,111.0,14,1,13,1,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,G,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,628.0,628.0,12,2,10,2,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,H,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,0,0,0,0,0,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,I,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,0,0,0,0,0,0,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,J,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,1050.0,1050.0,142,10,132,10,False,False,True
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,K,2019-04-21T08:00:00Z,2019-04-21T09:00:00Z,Combined Fossil,314.0,314.0,79,4,75,4,False,False,True
