State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Program Code,Primary Rep Info,EPA Region,NERC Region,County,County Code,FIPS Code,Source Category,Latitude,Longitude,Owner/Operator,SO2 Phase,NOx Phase,Unit Type,Primary Fuel Type,Secondary Fuel Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Commercial Operation Date,Operating Status,Max Hourly HI Rate (mmBtu/hr),Associated Generators & Nameplate Capacity (MWe)
NY,Danskammer Generating Station,2480,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",608967,2,NPCC,Orange County,NY071,071,Electric Utility,41.573,-73.9646,"Danskammer Energy, LLC (Owner)|Danskammer Energy, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,Residual Oil,,,,,1951-01-01,Operating,1654,1 (72)
NY,Danskammer Generating Station,2480,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",608967,2,NPCC,Orange County,NY071,071,Electric Utility,41.573,-73.9646,"Danskammer Energy, LLC (Owner)|Danskammer Energy, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,Residual Oil,,,,,1954-01-01,Operating,955.7,2 (73.5)
NY,Danskammer Generating Station,2480,3,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",608967,2,NPCC,Orange County,NY071,071,Electric Utility,41.573,-73.9646,"Danskammer Energy, LLC (Owner)|Danskammer Energy, LLC (Operator)",Phase 2,Phase 2 Group 1,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,1959-10-01,Operating,3260,3 (147.1)
NY,Danskammer Generating Station,2480,4,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",608967,2,NPCC,Orange County,NY071,071,Electric Utility,41.573,-73.9646,"Danskammer Energy, LLC (Owner)|Danskammer Energy, LLC (Operator)",Phase 2,Phase 2 Group 1,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,1967-09-01,Operating,2419,4 (239.4)
NY,Arthur Kill,2490,20,CS0002,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",607083,2,NPCC,Richmond County,NY085,085,Electric Utility,40.5915,-74.2027,"Arthur Kill Power, LLC (Owner)|NRG Energy, Inc (Operator)",Phase 2,,Dry bottom wall-fired boiler,Pipeline Natural Gas,,,,,,1959-08-01,Operating,3717,"2 (376.2), GT1 (16.3)"
NY,Arthur Kill,2490,30,CS0002,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",607083,2,NPCC,Richmond County,NY085,085,Electric Utility,40.5915,-74.2027,"Arthur Kill Power, LLC (Owner)|NRG Energy, Inc (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,,,,,,1969-06-01,Operating,5502,3 (535.5)
NY,Arthur Kill,2490,CT0001,,2019,SIPNOX,607083,2,NPCC,Richmond County,NY085,085,Electric Utility,40.5915,-74.2027,"Arthur Kill Power, LLC (Owner)|Arthur Kill Power, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,,,,,,1970-06-01,Operating,235,GT1 (16.3)
NY,East River,2493,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",607301,2,,New York County,NY061,061,Cogeneration,40.7281,-73.9742,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Ammonia Injection|Selective Catalytic Reduction,,,2005-03-08,Operating,3165,1 (180)
NY,East River,2493,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",607301,2,,New York County,NY061,061,Cogeneration,40.7281,-73.9742,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Ammonia Injection|Selective Catalytic Reduction,,,2005-03-13,Operating,3165,2 (180)
NY,East River,2493,60,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS, RGGI",607301,2,,New York County,NY061,061,Cogeneration,40.7281,-73.9742,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",Phase 2,,Dry bottom wall-fired boiler,Pipeline Natural Gas,Residual Oil,,,,,1951-09-01,Operating,1930,6 (156.3)
NY,East River,2493,70,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS, RGGI",607301,2,,New York County,NY061,061,Electric Utility,40.7281,-73.9742,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",Phase 2,,Dry bottom wall-fired boiler,Pipeline Natural Gas,Residual Oil,,,,,1955-01-01,Operating,1982,7 (200)
NY,Gowanus Generating Station,2494,CT01-1,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT11 (20)
NY,Gowanus Generating Station,2494,CT01-2,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT12 (20)
NY,Gowanus Generating Station,2494,CT01-3,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT13 (20)
NY,Gowanus Generating Station,2494,CT01-4,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT14 (20)
NY,Gowanus Generating Station,2494,CT01-5,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT15 (20)
NY,Gowanus Generating Station,2494,CT01-6,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT16 (20)
NY,Gowanus Generating Station,2494,CT01-7,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT17 (20)
NY,Gowanus Generating Station,2494,CT01-8,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT18 (20)
NY,Gowanus Generating Station,2494,CT02-1,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT21 (20)
NY,Gowanus Generating Station,2494,CT02-2,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT22 (20)
NY,Gowanus Generating Station,2494,CT02-3,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT23 (20)
NY,Gowanus Generating Station,2494,CT02-4,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT24 (20)
NY,Gowanus Generating Station,2494,CT02-5,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT25 (20)
NY,Gowanus Generating Station,2494,CT02-6,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT26 (20)
NY,Gowanus Generating Station,2494,CT02-7,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT27 (20)
NY,Gowanus Generating Station,2494,CT02-8,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT28 (20)
NY,Gowanus Generating Station,2494,CT03-1,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT31 (20)
NY,Gowanus Generating Station,2494,CT03-2,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT32 (20)
NY,Gowanus Generating Station,2494,CT03-3,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT33 (20)
NY,Gowanus Generating Station,2494,CT03-4,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT34 (20)
NY,Gowanus Generating Station,2494,CT03-5,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT35 (20)
NY,Gowanus Generating Station,2494,CT03-6,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT36 (20)
NY,Gowanus Generating Station,2494,CT03-7,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT37 (20)
NY,Gowanus Generating Station,2494,CT03-8,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,Pipeline Natural Gas,,,,,1971-06-01,Operating,299,GT38 (20)
NY,Gowanus Generating Station,2494,CT04-1,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT41 (20)
NY,Gowanus Generating Station,2494,CT04-2,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT42 (20)
NY,Gowanus Generating Station,2494,CT04-3,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT43 (20)
NY,Gowanus Generating Station,2494,CT04-4,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT44 (20)
