zone,target_load_mw,external_import_mw,generation_prior_mw,target_generation_mw,target_native_net_injection_mw,target_effective_net_injection_mw,pmin_mw,pmax_mw,at_pmin,at_pmax,prior_source,initial_dc_generation_mw,final_actual_generation_mw,dc_to_ac_generation_change_mw,final_generation_error_mw,loss_participation_factor
A,930.721354169113,877.916709748932,857.077191968856,1289.51120956265,358.789855393534,1236.70656514247,0,1292.8,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1219.84477367334,1289.51120956265,69.6664358893029,4.54747350886464e-13,0.00043909954864531
B,693.312159348906,0,233.642958658125,286.871682543475,-406.440476805431,-406.440476805431,0,288.8,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,246.020024651642,286.871682543475,40.8516578918326,0,0.000257457366449411
C,1131.40543191626,326.340990880306,1470.07671807356,1920.05102675409,788.645594837833,1114.98658571814,0,2511.2,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1514.87550420376,1920.05102675409,405.175522550335,0,0.0789266608131136
D,257.652139346724,-164.080120401418,202.397628706384,368.511126078815,110.858986732091,-53.2211336693269,0,984.9807077,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,355.838937968074,368.511126078815,12.6721881107415,0,0.0823073163826294
E,620.716578688692,0,536.424010317583,192.475499710726,-428.241078977966,-428.241078977966,0,600,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,535.64241894306,192.475499710726,-343.166919232334,0,0.0544102239250364
F,871.041660003481,38.1333323888855,1101.99685336745,1416.27633650161,545.234676498126,583.368008887012,0,2168.003995,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1400.76901295069,1416.27633650161,15.5073235509162,-2.27373675443232e-13,0.100366162526443
G,763.133766267374,220.370494023481,1005.31761436784,896.523491779261,133.389725511888,353.760219535369,0,2200,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,858.503298850414,896.523491779261,38.0201929288471,0,0.174032355460769
H,252.133160811041,0,0,0,-252.133160811041,-252.133160811041,0,0,1,1,scaled_PERFORM_2019_on_peak_zonal_PG,0,0,0,0,0
I,450.569665360907,0,19.2553331782035,1.36785827514832,-449.201807085759,-449.201807085759,0,565.099092,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,0.000103322651281351,1.36785827514832,1.36775495249704,0,0.0752660088871559
J,3459.55499275624,163.170495440153,2675.0913564774,2374.3487998347,-1085.20619292154,-922.035697481389,0,4197.07746,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,2351.09435232854,2374.40872009085,23.2544475061645,0.059920256148871,0.243359784463948
K,1471.97889003126,0,1339.08823150425,957.102010357351,-514.87687967391,-514.87687967391,0,2384.929342,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,957.779469727492,957.102010357351,-0.677459370140696,0,0.19063493062581
