interface_name,operator_kind,complete_NY_partition,exact_public_operator,metering_convention
Dysinger_East,full_A_export_partition,1,0,uniform_upstream_terminal_AC_proxy
West_Central,full_AB_export_partition,1,0,uniform_upstream_terminal_AC_proxy
Moses_South,full_D_export_partition,1,0,uniform_upstream_terminal_AC_proxy
Central_East,partial_E_to_F_corridor_proxy,0,0,uniform_upstream_terminal_AC_proxy
Total_East_proxy,full_A_to_E_export_partition,1,0,uniform_upstream_terminal_AC_proxy
UPNY_ConEd,source_six_circuit_local_partition,1,0,uniform_upstream_terminal_AC_proxy
Dunwoodie_South,partial_I_to_J_corridor_proxy,0,0,uniform_upstream_terminal_AC_proxy
