iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,14.4349761127253,74.9999999994936,20.8175387663886,0.999999999982395,1
2,7.21747596975916,74.9999999997208,10.1046616818028,0.999999999990294,1
3,3.6087319544442,74.9999999996827,4.97219048713374,0.999999999988967,1
4,1.80436296865491,74.9999999996079,2.4654144737885,0.999999999986366,1
5,0.902179978491638,74.9999999996067,1.22744800711303,0.999999999986327,1
6,0.451089234848347,74.9999999998762,0.612398714389691,0.999999999995694,1
7,0.225544243059751,74.99999999987,0.305867399458748,0.999999999995482,1
8,0.112771933746188,74.9999999998651,0.152851001324803,0.999999999995309,1
9,0.0563858755251516,74.9999999998429,0.0764050314802116,0.99999999999454,1
10,0.0281928894347203,74.999999999849,0.0381975294661459,0.999999999994751,1
11,0.0140964214805734,74.9999999998425,0.0190975761224994,0.999999999994524,1
12,0.00704819859660688,74.9999999998469,0.00954852426545294,0.999999999994679,1
13,0.0035240937593457,74.9999999998413,0.00477420918645244,0.999999999994482,1
