scenario_id,timestamp,operator_role,DC_raw_prior_REF42_WAPE_pct,bounded_AC_WAPE_pct,AC_minus_DC_WAPE_percentage_points,DC_MAE_public_mw,AC_MAE_public_mw,DC_reference_adjustment_benchmark_mw,DC_nodal_residual_mw,DC_max_generator_P_bound_violation_mw,raw_reference_PF_branch_loss_mw,bounded_AC_branch_loss_mw,incremental_effect
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,current_roles,15.181275779,12.9706583798,-2.2106173992,375.689260555,320.983369682,23.9744775704,2.84217094304e-12,3.23790829358,148.522511507,125.618373378,bounded_P_dispatch_Q_voltage_and_AC_losses_combined
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,paper_roles,19.271405534,20.100219665,0.828814130955,476.90722442,497.417791024,23.9744775704,2.84217094304e-12,3.23790829358,148.522511507,125.618373378,bounded_P_dispatch_Q_voltage_and_AC_losses_combined
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,current_roles,35.567161511,32.9254548674,-2.6417066436,584.792390317,541.357663535,-211.587997701,1.70530256582e-12,178.34960603,98.9897439818,206.536325995,bounded_P_dispatch_Q_voltage_and_AC_losses_combined
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,paper_roles,35.3698406839,30.1385188485,-5.23132183532,581.548057251,495.535087123,-211.587997701,1.70530256582e-12,178.34960603,98.9897439818,206.536325995,bounded_P_dispatch_Q_voltage_and_AC_losses_combined
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,current_roles,11.9230629283,11.8576244401,-0.0654384881333,293.156200284,291.547243035,-10.5251223349,7.84439180279e-12,0,223.497775723,178.83555896,bounded_P_dispatch_Q_voltage_and_AC_losses_combined
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,paper_roles,19.6208154043,19.7139418416,0.0931264372941,482.423327377,484.713057178,-10.5251223349,7.84439180279e-12,0,223.497775723,178.83555896,bounded_P_dispatch_Q_voltage_and_AC_losses_combined
