operator_role,interface_name,points,DC_WAPE_pct,AC_WAPE_pct,AC_minus_DC_WAPE_percentage_points,DC_MAE_public_mw,AC_MAE_public_mw,DC_wrong_direction_count,AC_wrong_direction_count
current_roles,ALL_7,21,19.0591623089,17.5426610829,-1.51650122608,417.879283719,384.629425417,0,0
current_roles,Dysinger East,3,23.7416951625,18.6337728246,-5.10792233785,369.072428228,289.668102314,0,0
current_roles,West Central,3,45.5932104851,35.2920126408,-10.3011978443,367.094562302,284.154280765,0,0
current_roles,Total East,3,5.18162212775,9.77511661675,4.593494489,219.097889839,413.3275972,0,0
current_roles,Moses South,3,14.4710981307,13.0170675017,-1.45403062896,196.975835174,177.184047784,0,0
current_roles,Central East,3,33.5660174659,25.5534801072,-8.01253735868,784.837113169,597.488801855,0,0
current_roles,UpNY-Coned,3,9.44096171112,10.9856672323,1.54470552122,240.344838099,279.669433386,0,0
current_roles,Dun/SPR-South,3,29.7357551558,25.8854811381,-3.85027401777,747.732319219,650.913714618,0,0
paper_roles,ALL_7,21,23.4261078518,22.4650802254,-0.961027626418,513.626203016,492.555311775,0,0
paper_roles,Dysinger East,3,23.7416951625,18.7486741425,-4.99302101997,369.072428228,291.454280938,0,0
paper_roles,West Central,3,45.5932104851,35.2920126408,-10.3011978443,367.094562302,284.154280765,0,0
paper_roles,Total East,3,4.51422971419,5.25929485306,0.745065138864,190.878103467,222.382176071,0,0
paper_roles,Moses South,3,46.24288589,46.3346103003,0.091724410307,629.442975701,630.69149825,0,0
paper_roles,Central East,3,43.0081770771,34.416950866,-8.59122621114,1005.61270261,804.733549018,0,0
paper_roles,UpNY-Coned,3,8.89584233275,13.8828249765,4.98698264375,226.467371719,353.424303946,0,0
paper_roles,Dun/SPR-South,3,32.0853611896,34.2420474413,2.15668625168,806.815277082,861.047093438,0,0
