operator_role,interface_name,branch_key,branch_row,from_bus,to_bus,metered_terminal,coefficient,exact_public_metering
current_roles,Dysinger East,NPCC_S7:BRANCH_ROW:59,27,53,55,PT,1,False
current_roles,Dysinger East,NPCC_S7:BRANCH_ROW:73,38,62,63,PF,1,False
current_roles,Dysinger East,NPCC_S7:BRANCH_ROW:222,63,54,52,PF,1,False
current_roles,West Central,NPCC_S7:BRANCH_ROW:55,23,50,52,PT,1,False
current_roles,West Central,NPCC_S7:BRANCH_ROW:56,24,51,53,PT,1,False
current_roles,West Central,NPCC_S7:BRANCH_ROW:60,28,53,65,PF,1,False
current_roles,West Central,NPCC_S7:BRANCH_ROW:73,38,62,63,PF,1,False
current_roles,Total East,NPCC_S7:BRANCH_ROW:36,4,37,43,PT,1,False
current_roles,Total East,NPCC_S7:BRANCH_ROW:37,5,38,69,PT,1,False
current_roles,Total East,NPCC_S7:BRANCH_ROW:40,8,40,44,PT,1,False
current_roles,Total East,NPCC_S7:BRANCH_ROW:42,10,41,45,PT,1,False
current_roles,Moses South,NPCC_S7:BRANCH_ROW:47,15,44,48,PT,1,False
current_roles,Moses South,NPCC_S7:BRANCH_ROW:48,16,45,46,PT,1,False
current_roles,Central East,NPCC_S7:BRANCH_ROW:36,4,37,43,PT,1,False
current_roles,Central East,NPCC_S7:BRANCH_ROW:40,8,40,44,PT,1,False
current_roles,Central East,NPCC_S7:BRANCH_ROW:42,10,41,45,PT,1,False
current_roles,UpNY-Coned,PERFORM2019:AC:651:858:1,82,73,858,PF,1,False
current_roles,UpNY-Coned,PERFORM2019:AC:651:858:2,83,73,858,PF,1,False
current_roles,UpNY-Coned,PERFORM2019:AC:651:902:1,84,73,9002,PF,1,False
current_roles,UpNY-Coned,PERFORM2019:AC:651:902:2,85,73,9002,PF,1,False
current_roles,UpNY-Coned,PERFORM2019:AC:774:900:1,91,774,77,PF,1,False
current_roles,UpNY-Coned,PERFORM2019:AC:900:1519:1,92,76,77,PF,1,False
current_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:95,57,78,79,PF,1,False
current_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:97,59,78,81,PF,1,False
current_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:98,60,78,82,PF,1,False
current_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:239,74,78,81,PF,1,False
current_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:240,75,78,79,PF,1,False
current_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:241,76,78,82,PF,1,False
paper_roles,Dysinger East,NPCC_S7:BRANCH_ROW:59,27,53,55,PT,1,False
paper_roles,Dysinger East,NPCC_S7:BRANCH_ROW:62,30,54,62,PF,1,False
paper_roles,Dysinger East,NPCC_S7:BRANCH_ROW:70,36,58,62,PF,1,False
paper_roles,Dysinger East,NPCC_S7:BRANCH_ROW:222,63,54,52,PF,1,False
paper_roles,West Central,NPCC_S7:BRANCH_ROW:55,23,50,52,PT,1,False
paper_roles,West Central,NPCC_S7:BRANCH_ROW:56,24,51,53,PT,1,False
paper_roles,West Central,NPCC_S7:BRANCH_ROW:60,28,53,65,PF,1,False
paper_roles,West Central,NPCC_S7:BRANCH_ROW:73,38,62,63,PF,1,False
paper_roles,Total East,NPCC_S7:BRANCH_ROW:33,1,37,38,PT,1,False
paper_roles,Total East,NPCC_S7:BRANCH_ROW:36,4,37,43,PT,1,False
paper_roles,Total East,NPCC_S7:BRANCH_ROW:40,8,40,44,PT,1,False
paper_roles,Total East,NPCC_S7:BRANCH_ROW:42,10,41,45,PT,1,False
paper_roles,Total East,NPCC_S7:BRANCH_ROW:234,69,38,39,PF,1,False
paper_roles,Moses South,NPCC_S7:BRANCH_ROW:47,15,44,48,PT,1,False
paper_roles,Moses South,NPCC_S7:BRANCH_ROW:52,20,46,49,PT,1,False
paper_roles,Moses South,NPCC_S7:BRANCH_ROW:53,21,47,48,PT,1,False
paper_roles,Central East,NPCC_S7:BRANCH_ROW:33,1,37,38,PT,1,False
paper_roles,Central East,NPCC_S7:BRANCH_ROW:36,4,37,43,PT,1,False
paper_roles,Central East,NPCC_S7:BRANCH_ROW:40,8,40,44,PT,1,False
paper_roles,Central East,NPCC_S7:BRANCH_ROW:42,10,41,45,PT,1,False
paper_roles,UpNY-Coned,NPCC_S7:BRANCH_ROW:90,53,74,77,PT,1,False
paper_roles,UpNY-Coned,PERFORM2019:AC:897:902:1,88,9002,74,PF,1,False
paper_roles,UpNY-Coned,PERFORM2019:AC:897:902:2,89,9002,74,PF,1,False
paper_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:97,59,78,81,PF,1,False
paper_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:98,60,78,82,PF,1,False
paper_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:239,74,78,81,PF,1,False
paper_roles,Dun/SPR-South,NPCC_S7:BRANCH_ROW:241,76,78,82,PF,1,False
