"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/28/2025 00:00:00","EST","CAPITL",61757,1381.1348
"01/28/2025 00:00:00","EST","CENTRL",61754,1766.4044
"01/28/2025 00:00:00","EST","DUNWOD",61760,649.6431
"01/28/2025 00:00:00","EST","GENESE",61753,1088.3752
"01/28/2025 00:00:00","EST","HUD VL",61758,1112.596
"01/28/2025 00:00:00","EST","LONGIL",61762,2064.7121
"01/28/2025 00:00:00","EST","MHK VL",61756,1007.918
"01/28/2025 00:00:00","EST","MILLWD",61759,307.6404
"01/28/2025 00:00:00","EST","N.Y.C.",61761,5091.1959
"01/28/2025 00:00:00","EST","NORTH",61755,688.3831
"01/28/2025 00:00:00","EST","WEST",61752,1729.7567
"01/28/2025 01:00:00","EST","CAPITL",61757,1357.4237
"01/28/2025 01:00:00","EST","CENTRL",61754,1749.7059
"01/28/2025 01:00:00","EST","DUNWOD",61760,603.203
"01/28/2025 01:00:00","EST","GENESE",61753,1072.6847
"01/28/2025 01:00:00","EST","HUD VL",61758,1078.6555
"01/28/2025 01:00:00","EST","LONGIL",61762,1981.91
"01/28/2025 01:00:00","EST","MHK VL",61756,990.599
"01/28/2025 01:00:00","EST","MILLWD",61759,303.9136
"01/28/2025 01:00:00","EST","N.Y.C.",61761,4930.5429
"01/28/2025 01:00:00","EST","NORTH",61755,679.5063
"01/28/2025 01:00:00","EST","WEST",61752,1691.8736
"01/28/2025 02:00:00","EST","CAPITL",61757,1343.1724
"01/28/2025 02:00:00","EST","CENTRL",61754,1755.8813
"01/28/2025 02:00:00","EST","DUNWOD",61760,631.5975
"01/28/2025 02:00:00","EST","GENESE",61753,1061.4135
"01/28/2025 02:00:00","EST","HUD VL",61758,1059.4751
"01/28/2025 02:00:00","EST","LONGIL",61762,1936.4479
"01/28/2025 02:00:00","EST","MHK VL",61756,981.1669
"01/28/2025 02:00:00","EST","MILLWD",61759,298.8925
"01/28/2025 02:00:00","EST","N.Y.C.",61761,4756.7991
"01/28/2025 02:00:00","EST","NORTH",61755,676.3022
"01/28/2025 02:00:00","EST","WEST",61752,1648.0009
"01/28/2025 03:00:00","EST","CAPITL",61757,1345.4048
"01/28/2025 03:00:00","EST","CENTRL",61754,1766.5002
"01/28/2025 03:00:00","EST","DUNWOD",61760,622.3628
"01/28/2025 03:00:00","EST","GENESE",61753,1058.7692
"01/28/2025 03:00:00","EST","HUD VL",61758,1058.2886
"01/28/2025 03:00:00","EST","LONGIL",61762,1911.43
"01/28/2025 03:00:00","EST","MHK VL",61756,971.8255
"01/28/2025 03:00:00","EST","MILLWD",61759,296.86
"01/28/2025 03:00:00","EST","N.Y.C.",61761,4704.9433
"01/28/2025 03:00:00","EST","NORTH",61755,678.9136
"01/28/2025 03:00:00","EST","WEST",61752,1623.617
"01/28/2025 04:00:00","EST","CAPITL",61757,1368.1753
"01/28/2025 04:00:00","EST","CENTRL",61754,1806.7807
"01/28/2025 04:00:00","EST","DUNWOD",61760,625.4413
"01/28/2025 04:00:00","EST","GENESE",61753,1076.4697
"01/28/2025 04:00:00","EST","HUD VL",61758,1074.0253
"01/28/2025 04:00:00","EST","LONGIL",61762,1940.4546
"01/28/2025 04:00:00","EST","MHK VL",61756,968.0495
"01/28/2025 04:00:00","EST","MILLWD",61759,303.9602
"01/28/2025 04:00:00","EST","N.Y.C.",61761,4752.9318
"01/28/2025 04:00:00","EST","NORTH",61755,689.2528
"01/28/2025 04:00:00","EST","WEST",61752,1638.7789
"01/28/2025 05:00:00","EST","CAPITL",61757,1452.1273
"01/28/2025 05:00:00","EST","CENTRL",61754,1903.3181
"01/28/2025 05:00:00","EST","DUNWOD",61760,667.8053
"01/28/2025 05:00:00","EST","GENESE",61753,1132.7118
