"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/09/2025 00:00:00","EST","CAPITL",61757,1473.2083
"01/09/2025 00:00:00","EST","CENTRL",61754,1972.9749
"01/09/2025 00:00:00","EST","DUNWOD",61760,726.8128
"01/09/2025 00:00:00","EST","GENESE",61753,1169.8872
"01/09/2025 00:00:00","EST","HUD VL",61758,1238.6834
"01/09/2025 00:00:00","EST","LONGIL",61762,2376.6678
"01/09/2025 00:00:00","EST","MHK VL",61756,1124.7063
"01/09/2025 00:00:00","EST","MILLWD",61759,397.958
"01/09/2025 00:00:00","EST","N.Y.C.",61761,5715.1415
"01/09/2025 00:00:00","EST","NORTH",61755,754.591
"01/09/2025 00:00:00","EST","WEST",61752,1834.0591
"01/09/2025 01:00:00","EST","CAPITL",61757,1446.0717
"01/09/2025 01:00:00","EST","CENTRL",61754,1971.3506
"01/09/2025 01:00:00","EST","DUNWOD",61760,697.1323
"01/09/2025 01:00:00","EST","GENESE",61753,1157.5911
"01/09/2025 01:00:00","EST","HUD VL",61758,1214.2146
"01/09/2025 01:00:00","EST","LONGIL",61762,2291.5278
"01/09/2025 01:00:00","EST","MHK VL",61756,1098.873
"01/09/2025 01:00:00","EST","MILLWD",61759,384.3386
"01/09/2025 01:00:00","EST","N.Y.C.",61761,5533.3356
"01/09/2025 01:00:00","EST","NORTH",61755,750.7936
"01/09/2025 01:00:00","EST","WEST",61752,1779.9499
"01/09/2025 02:00:00","EST","CAPITL",61757,1433.5621
"01/09/2025 02:00:00","EST","CENTRL",61754,1966.6274
"01/09/2025 02:00:00","EST","DUNWOD",61760,669.5295
"01/09/2025 02:00:00","EST","GENESE",61753,1152.0794
"01/09/2025 02:00:00","EST","HUD VL",61758,1199.4195
"01/09/2025 02:00:00","EST","LONGIL",61762,2224.7742
"01/09/2025 02:00:00","EST","MHK VL",61756,1084.3432
"01/09/2025 02:00:00","EST","MILLWD",61759,375.2177
"01/09/2025 02:00:00","EST","N.Y.C.",61761,5391.1609
"01/09/2025 02:00:00","EST","NORTH",61755,725.9655
"01/09/2025 02:00:00","EST","WEST",61752,1753.137
"01/09/2025 03:00:00","EST","CAPITL",61757,1429.2548
"01/09/2025 03:00:00","EST","CENTRL",61754,1966.7392
"01/09/2025 03:00:00","EST","DUNWOD",61760,661.1918
"01/09/2025 03:00:00","EST","GENESE",61753,1150.458
"01/09/2025 03:00:00","EST","HUD VL",61758,1193.5985
"01/09/2025 03:00:00","EST","LONGIL",61762,2201.4602
"01/09/2025 03:00:00","EST","MHK VL",61756,1091.4601
"01/09/2025 03:00:00","EST","MILLWD",61759,371.6303
"01/09/2025 03:00:00","EST","N.Y.C.",61761,5327.9793
"01/09/2025 03:00:00","EST","NORTH",61755,730.0776
"01/09/2025 03:00:00","EST","WEST",61752,1747.3259
"01/09/2025 04:00:00","EST","CAPITL",61757,1460.3503
"01/09/2025 04:00:00","EST","CENTRL",61754,1973.8909
"01/09/2025 04:00:00","EST","DUNWOD",61760,668.5162
"01/09/2025 04:00:00","EST","GENESE",61753,1173.1562
"01/09/2025 04:00:00","EST","HUD VL",61758,1205.5712
"01/09/2025 04:00:00","EST","LONGIL",61762,2236.376
"01/09/2025 04:00:00","EST","MHK VL",61756,1109.8155
"01/09/2025 04:00:00","EST","MILLWD",61759,376.0554
"01/09/2025 04:00:00","EST","N.Y.C.",61761,5366.4037
"01/09/2025 04:00:00","EST","NORTH",61755,758.1803
"01/09/2025 04:00:00","EST","WEST",61752,1765.7756
"01/09/2025 05:00:00","EST","CAPITL",61757,1530.7691
"01/09/2025 05:00:00","EST","CENTRL",61754,2038.2344
"01/09/2025 05:00:00","EST","DUNWOD",61760,700.3792
"01/09/2025 05:00:00","EST","GENESE",61753,1230.2837
"01/09/2025 05:00:00","EST","HUD VL",61758,1249.0912
"01/09/2025 05:00:00","EST","LONGIL",61762,2354.2188
"01/09/2025 05:00:00","EST","MHK VL",61756,1163.3537
"01/09/2025 05:00:00","EST","MILLWD",61759,394.8881
"01/09/2025 05:00:00","EST","N.Y.C.",61761,5598.1426
"01/09/2025 05:00:00","EST","NORTH",61755,774.8887
"01/09/2025 05:00:00","EST","WEST",61752,1837.9205
"01/09/2025 06:00:00","EST","CAPITL",61757,1683.2753
"01/09/2025 06:00:00","EST","CENTRL",61754,2192.9817
"01/09/2025 06:00:00","EST","DUNWOD",61760,766.6638
"01/09/2025 06:00:00","EST","GENESE",61753,1328.2345
"01/09/2025 06:00:00","EST","HUD VL",61758,1337.631
"01/09/2025 06:00:00","EST","LONGIL",61762,2545.5246
"01/09/2025 06:00:00","EST","MHK VL",61756,1239.1177
"01/09/2025 06:00:00","EST","MILLWD",61759,424.1816
"01/09/2025 06:00:00","EST","N.Y.C.",61761,6088.072
