iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,23.0518590159557,74.9999999769005,47.3429748530438,0.999999999522184,1
2,11.5259175238709,74.9999999763753,23.3001665536493,0.99999999951132,1
3,5.762952724536,74.9999999760867,11.560733228165,0.999999999505351,1
4,2.881473332527,74.9999999759397,5.75848914806214,0.99999999950231,1
5,1.44073514877661,74.999999975864,2.87384745814574,0.999999999500745,1
6,0.72036681505724,74.9999999758244,1.43559100590782,0.999999999499925,1
7,0.360183027751894,74.999999975807,0.717468166690003,0.999999999499566,1
8,0.180091323981877,74.9999999757975,0.358654868948096,0.999999999499368,1
9,0.0900455670465945,74.9999999757916,0.179308903203573,0.999999999499247,1
10,0.0450227360575042,74.9999999757881,0.0896504503025284,0.999999999499174,1
11,0.0225113442994456,74.9999999757886,0.0448245400150711,0.999999999499185,1
12,0.0112556602861957,74.999999975786,0.0224122562514717,0.999999999499131,1
13,0.00562782421432928,74.9999999757888,0.0112062034254468,0.999999999499189,1
14,0.00281390914341273,74.9999999757869,0.0056031599075741,0.999999999499149,1
