branch_row,branch_key,temperature_c,series_phase_current_amp,subconductor_current_amp,from_terminal_current_amp,to_terminal_current_amp,series_loss_mw,total_conductor_joule_mw,heating_identity_error_mw
82,PERFORM2019:AC:651:858:1,55.7152973474826,633.498313329426,316.749156664713,635.550247581597,631.447611676393,0.469647560543249,0.469647560543248,5.55111512312578e-17
83,PERFORM2019:AC:651:858:2,55.7152973474826,633.498313329426,316.749156664713,635.550406685054,631.447469448239,0.469647560543249,0.469647560543248,5.55111512312578e-17
84,PERFORM2019:AC:651:902:1,55.7023770516609,632.334254187916,316.167127093958,636.771275923896,627.918006488807,1.08285864579576,1.08285864579576,0
85,PERFORM2019:AC:651:902:2,55.7023770516609,632.334254187916,316.167127093958,636.771434363596,627.917888462271,1.08285864579576,1.08285864579576,0
86,PERFORM2019:AC:858:902:1,55.6659316666246,629.0386705323,314.51933526615,631.447682790937,626.64297738971,0.621713234752033,0.621713234752033,1.11022302462516e-16
87,PERFORM2019:AC:858:902:2,55.6659316666246,629.0386705323,314.51933526615,631.447398334629,626.643214108939,0.621713234752033,0.621713234752033,1.11022302462516e-16
88,PERFORM2019:AC:897:902:1,66.1864594692213,1252.90808951509,626.454044757543,1254.56238059685,1250.87472571418,2.01365753146549,2.01365753146549,0
89,PERFORM2019:AC:897:902:2,66.1864594692213,1252.90808951509,626.454044757543,1254.55966215997,1250.87783046795,2.01365753146549,2.01365753146549,0
90,PERFORM2019:AC:774:1519:1,52.2973810566461,92.6619973649435,46.3309986824718,95.6949989775894,89.9765431836086,0.00510537679638603,0.00510537679638603,0
91,PERFORM2019:AC:774:900:1,52.286900542796,85.8650457776859,42.9325228888429,89.976543183607,83.4435858603109,0.00852386583839975,0.00852386583839975,0
92,PERFORM2019:AC:900:1519:1,52.2886132167606,87.0120941960708,43.5060470980354,95.0346558388927,82.6696427385916,0.0135049009869716,0.0135049009869716,3.46944695195361e-18
93,NY2025:CEEC:351,53.6890962496062,411.35894764022,205.67947382011,423.539166156745,404.409068778855,0.981988669964838,0.981988669964838,2.22044604925031e-16
94,NY2025:CEEC:352,53.6890962496062,411.35894764022,205.67947382011,423.539166156745,404.409068778855,0.981988669964838,0.981988669964838,2.22044604925031e-16
95,NY2025:CEEC:361,55.4640147737503,610.448490806771,305.224245403385,611.669174916548,609.324775052136,0.84447681603149,0.84447681603149,1.11022302462516e-16
96,NY2025:CEEC:362,55.4640147737503,610.448490806771,305.224245403385,611.669174916548,609.324775052136,0.84447681603149,0.84447681603149,1.11022302462516e-16
97,NY2025:CEEC:14,53.307239633777,353.895195764137,176.947597882068,368.327417222829,347.770567047712,0.779978751437247,0.779978751437246,1.11022302462516e-16
98,NY2025:CEEC:371,53.7262272344296,416.519012020124,208.259506010062,415.868301924931,417.198497842599,0.075142675789914,0.075142675789914,1.38777878078145e-17
102,NY2025:NYES:1,53.396886623531,368.201128055891,184.100564027945,370.315218072214,366.834016648284,0.258066815078823,0.258066815078823,5.55111512312578e-17
103,NY2025:NYES:2,53.3882640295494,366.849848523182,183.424924261591,366.834016648288,368.467855764781,0.372608379080696,0.372608379080696,0
126,NY2025_SPC:MH2,74.9999999757922,732.368112056646,732.368112056646,732.335865247915,732.395982675719,0.441791518271533,0.441791518271533,0
127,NY2025_SPC:MH3,74.9999999757922,732.368112056646,732.368112056646,732.335865247915,732.395982675719,0.441791518271533,0.441791518271533,0
128,NY2025_SPC:HA2,60.5986479651768,911.982001246198,455.991000623099,909.219561928686,906.651895690116,13.6539440786135,13.6539440786135,0
129,NY2025_SPC:HW2,51.9509789778193,68.6752246961651,34.3376123480825,80.899542992279,67.0453742956093,0.031406714337952,0.031406714337952,0
130,NY2025_SPC:LINE11,60.458660768266,904.747694462772,452.373847231386,905.794586573596,901.611865840609,6.82014204159811,6.82014204159812,8.88178419700125e-16
131,NY2025_SPC:LINE13,60.4886150498807,906.300865950876,453.150432975438,906.651895690119,905.794586573595,1.86808818121415,1.86808818121415,2.22044604925031e-16
